comparing_sets	compound_name	max_tc	mean_tc
all vs all	glutathione	0.78947	0.29386
all vs all	ticagrelor	0.66316	0.36469
all vs all	gluconate	0.67857	0.23307
all vs all	dexketoprofen	1.00000	0.22267
all vs all	atovaquone	0.60000	0.26760
all vs all	brimonidine	0.82609	0.27750
all vs all	tropicamide	0.72500	0.32792
all vs all	bortezomib	0.58571	0.31825
all vs all	droxidopa	0.80645	0.28851
all vs all	dihydrotachysterol	0.96970	0.27157
all vs all	methylsulfonylmethane	0.68293	0.33153
all vs all	ceritinib	0.72727	0.33672
all vs all	trifluridine	0.95385	0.36393
all vs all	azithromycin	0.87931	0.39149
all vs all	daclatasvir	0.80597	0.36257
all vs all	phenylpropanolamine	0.84211	0.21991
all vs all	rimantadine	0.66667	0.17927
all vs all	felbamate	0.67500	0.28331
all vs all	cephalothin	0.87143	0.36733
all vs all	ergonovine	0.85714	0.38280
all vs all	benzthiazide	0.90278	0.29740
all vs all	loracarbef	0.83607	0.33893
all vs all	methylfolic_acid	0.87692	0.38413
all vs all	isocarboxazid	0.61017	0.29293
all vs all	potassium_nitrate	0.91304	0.12017
all vs all	phentermine	0.70000	0.20201
all vs all	nystatin	0.98000	0.36349
all vs all	acetylcysteine	0.78788	0.26397
all vs all	methimazole	0.63636	0.20429
all vs all	alfacalcidol	0.97368	0.29552
all vs all	famciclovir	0.71642	0.35626
all vs all	norgestimate	0.68000	0.30353
all vs all	aluminum_phosphate	0.80000	0.11880
all vs all	lincomycin	0.95385	0.38707
all vs all	stavudine	0.88525	0.35299
all vs all	cetostearyl_alcohol	1.00000	0.19843
all vs all	bezafibrate	0.65000	0.34867
all vs all	piracetam	0.84444	0.33206
all vs all	felbinac	0.60000	0.20831
all vs all	spirapril	0.87719	0.39162
all vs all	mephobarbital	0.84000	0.33906
all vs all	ixabepilone	0.63291	0.35060
all vs all	metipranolol	0.91111	0.35492
all vs all	penbutolol	0.83673	0.34402
all vs all	sodium_citrate	0.95652	0.19648
all vs all	aclidinium	0.72881	0.35414
