comparing_sets	compound_name	max_tc	mean_tc
all vs all	trifluridine	0.95385	0.37190
all vs all	tirofiban	0.74026	0.36342
all vs all	prasugrel	0.80769	0.35871
all vs all	oxandrolone	0.80488	0.32937
all vs all	cilazapril	0.75758	0.40491
all vs all	manganese	0.60000	0.07457
all vs all	netilmicin	0.79310	0.37825
all vs all	alosetron	0.78947	0.37761
all vs all	dasatinib	0.70130	0.38415
all vs all	milrinone	0.65854	0.26726
all vs all	canagliflozin	0.75472	0.31176
all vs all	dydrogesterone	1.00000	0.26739
all vs all	mercaptopurine	0.68966	0.19505
all vs all	exemestane	0.93750	0.26126
all vs all	pancuronium	1.00000	0.38850
all vs all	diethylpropion	0.60526	0.26219
all vs all	pridinol	0.94444	0.32270
all vs all	magnesium_carbonate	1.00000	0.12172
all vs all	benzocaine	0.66667	0.25055
all vs all	glycerin	0.90909	0.19988
all vs all	tolbutamide	0.88710	0.28579
all vs all	alfentanil	0.73077	0.38574
all vs all	vinorelbine	0.91892	0.42113
all vs all	primaquine	0.67308	0.35070
all vs all	crizotinib	0.67606	0.34914
all vs all	citrulline	0.83333	0.27599
all vs all	lymecycline	0.82667	0.39877
all vs all	docetaxel	0.96610	0.34757
all vs all	oxatomide	0.87037	0.35914
all vs all	iohexol	0.92453	0.35465
all vs all	sodium_sulfate	0.93103	0.13721
all vs all	hydrocortisone	0.93750	0.33538
all vs all	cromolyn	0.76596	0.31505
all vs all	procaterol	0.75472	0.35417
all vs all	amcinonide	0.94444	0.33758
all vs all	carnitine	1.00000	0.27263
all vs all	primidone	0.82609	0.32768
all vs all	clobazam	0.80392	0.33060
all vs all	nebivolol	0.70909	0.33720
all vs all	hydrocodone	0.94231	0.38459
all vs all	zofenopril	0.76000	0.35330
all vs all	ambrisentan	0.61905	0.32096
all vs all	pentostatin	0.85075	0.37224
all vs all	ioversol	0.87037	0.36464
all vs all	etodolac	0.63934	0.36524
all vs all	didanosine	0.85938	0.38070
all vs all	pimecrolimus	0.89706	0.40427
all vs all	escitalopram	1.00000	0.32865
all vs all	ledipasvir	0.80597	0.37255
all vs all	reserpine	0.80556	0.41575
all vs all	tropisetron	0.82222	0.36630
