comparing_sets	compound_name	max_tc	mean_tc
all vs all	chlorpromazine	0.91111	0.29946
all vs all	raltegravir	0.68605	0.36672
all vs all	etomidate	0.71111	0.32029
all vs all	copper_sulfate	1.00000	0.12181
all vs all	itraconazole	0.89024	0.38609
all vs all	thymol	1.00000	0.20894
all vs all	remifentanil	0.75410	0.38056
all vs all	sodium_fluoride	0.75000	0.04649
all vs all	adapalene	0.72414	0.27063
all vs all	estazolam	0.95238	0.24775
all vs all	nisoldipine	0.92727	0.30530
all vs all	ceftriaxone	0.89157	0.35048
all vs all	levomilnacipran	0.89744	0.29085
all vs all	epirubicin	1.00000	0.39207
all vs all	fluocinonide	0.94444	0.32795
all vs all	buserelin	0.96104	0.41133
all vs all	fluoxetine	0.78947	0.29747
all vs all	pirarubicin	0.91667	0.40513
all vs all	eszopiclone	1.00000	0.38077
all vs all	teriflunomide	0.57500	0.26818
all vs all	dicumarol	0.85714	0.29735
all vs all	85_strontium	1.00000	0.04838
all vs all	primaquine	0.67308	0.34799
all vs all	metolazone	0.78873	0.30507
all vs all	levodopa	0.88889	0.31751
all vs all	vincristine	0.97260	0.43740
all vs all	buspirone	0.76190	0.36108
all vs all	felbinac	0.63158	0.20942
all vs all	sulfamethizole	0.89474	0.24007
all vs all	pomalidomide	0.90000	0.36713
all vs all	spirapril	0.87719	0.39442
all vs all	proparacaine	0.77083	0.37342
all vs all	sodium_succinate	1.00000	0.18592
all vs all	latanoprost	0.83333	0.31689
all vs all	dexlansoprazole	1.00000	0.32408
all vs all	sodium_phosphate	1.00000	0.12753
all vs all	apomorphine	0.78723	0.36376
all vs all	bifonazole	0.75000	0.21956
all vs all	artemether	0.84444	0.29666
all vs all	troglitazone	0.72632	0.35728
all vs all	potassium_acetate	1.00000	0.12486
all vs all	prednicarbate	0.93750	0.33254
all vs all	febuxostat	0.65385	0.31405
all vs all	flunisolide	0.98148	0.33108
all vs all	6-aminocaproic_acid	0.82759	0.25307
all vs all	ticagrelor	0.66316	0.36848
all vs all	eprazinone	0.74468	0.35394
all vs all	sapropterin	0.72308	0.35481
all vs all	drospirenone	0.92105	0.28146
all vs all	almotriptan	0.83824	0.31479
all vs all	magnesium_salt	0.72917	0.27326
all vs all	vinblastine	0.97260	0.43416
all vs all	roxatidine	0.75385	0.40115
all vs all	pipecuronium	0.91667	0.37811
all vs all	triclosan	0.80000	0.22309
all vs all	rivaroxaban	0.85294	0.37508
all vs all	methoxyflurane	0.83333	0.11488
all vs all	tetracycline	0.96491	0.36137
all vs all	quazepam	0.74074	0.26611
all vs all	lacosamide	0.65079	0.33654
all vs all	calcium_chloride	1.00000	0.04838
all vs all	halazepam	0.92000	0.32451
all vs all	mefruside	0.70115	0.31745
all vs all	nitric_oxide	0.43750	0.07241
all vs all	rifampin	0.81176	0.40275
all vs all	butenafine	0.92593	0.24107
all vs all	trametinib	0.84722	0.32562
all vs all	mosapride	0.80822	0.39617
all vs all	clebopride	0.82353	0.38606
all vs all	aluminum_hydroxide	0.81818	0.10767
all vs all	iothalamic_acid	1.00000	0.29182
all vs all	nimodipine	0.86885	0.32607
all vs all	fomepizole	0.51724	0.15591
all vs all	fosphenytoin	0.67532	0.35267
all vs all	cefotetan	0.90476	0.35321
all vs all	iloprost	0.83333	0.29602
all vs all	tetrazepam	0.84906	0.33012
all vs all	calcitonin	0.93827	0.39110
all vs all	charcoal	1.00000	0.02986
all vs all	reboxetine	0.93333	0.35458
all vs all	cabazitaxel	0.96610	0.34961
all vs all	isosorbide	0.75000	0.26408
all vs all	magnesium_glutamate	0.76667	0.36330
all vs all	delavirdine	0.72152	0.34063
all vs all	ketorolac	0.63636	0.32239
all vs all	quercetin	0.77778	0.27120
all vs all	clonidine	0.92683	0.26020
all vs all	cephalothin	0.87143	0.37094
all vs all	clobutinol	0.67391	0.28933
all vs all	trazodone	0.80000	0.32699
all vs all	morphine	0.92157	0.36509
all vs all	doxazosin	0.95588	0.39451
all vs all	crotamiton	0.66667	0.26503
all vs all	eprosartan	0.70492	0.35504
all vs all	ciclopirox	0.60000	0.27189
all vs all	thiotepa	0.46154	0.18703
all vs all	menthol	0.66667	0.23925
all vs all	creatinine	0.65517	0.30484
all vs all	vindesine	0.94805	0.43426
all vs all	strontium-89	1.00000	0.04838
all vs all	guaifenesin	0.90625	0.29361
all vs all	vancomycin	0.87324	0.40050
all vs all	ebastine	0.78261	0.35776
all vs all	fondaparinux	0.82192	0.32818
all vs all	flufenamic_acid	0.80000	0.26386
all vs all	lysine	0.96296	0.26355
all vs all	elvitegravir	0.70667	0.37061
all vs all	indacaterol	0.75472	0.38665
all vs all	isradipine	0.69492	0.30901
all vs all	entacapone	0.68254	0.32465
all vs all	folic_acid	0.90323	0.36410
all vs all	mercaptopurine	0.65625	0.19273
all vs all	dextroamphetamine	0.75000	0.31136
all vs all	lisinopril	0.84314	0.37378
all vs all	doxorubicin	1.00000	0.39207
all vs all	eplerenone	0.84091	0.29921
all vs all	telbivudine	0.95238	0.37555
all vs all	cefmetazole	0.90476	0.36611
all vs all	goserelin	0.91566	0.39540
all vs all	bivalirudin	0.90909	0.40545
all vs all	ioxaglate	0.73016	0.35444
all vs all	pipobroman	0.76744	0.30624
all vs all	procyclidine	0.91892	0.32295
all vs all	tolmetin	0.63636	0.34307
all vs all	olanzapine	0.78182	0.29639
all vs all	thioridazine	0.91304	0.31197
all vs all	cloprednol	0.97959	0.33036
all vs all	propantheline	0.72549	0.35485
all vs all	sulfasalazine	0.75342	0.29664
all vs all	ethyl_loflazepate	0.81132	0.33376
all vs all	tolcapone	0.70175	0.29222
all vs all	alfuzosin	0.81818	0.41577
all vs all	rilpivirine	0.71429	0.23895
all vs all	methyldopa	0.88889	0.33497
all vs all	oxazepam	1.00000	0.30289
all vs all	rosuvastatin	0.67059	0.32532
all vs all	zuclopenthixol	0.90566	0.31807
all vs all	tazarotene	0.54717	0.29634
all vs all	bromopride	0.96429	0.36363
all vs all	chlormethiazole	0.46341	0.20280
all vs all	ixabepilone	0.63291	0.35377
all vs all	thiamylal	0.85185	0.30834
all vs all	erlotinib	0.74194	0.35983
all vs all	almitrine	0.71739	0.28651
all vs all	piroxicam	0.95833	0.32638
all vs all	enflurane	1.00000	0.09796
all vs all	methyltestosterone	1.00000	0.29506
all vs all	cabozantinib	0.72131	0.34833
all vs all	famotidine	0.64706	0.26619
all vs all	lithium_acetate	0.65385	0.30871
all vs all	frovatriptan	0.63830	0.29919
all vs all	nateglinide	0.63636	0.32814
all vs all	clobetasol	0.97826	0.32554
all vs all	reproterol	0.82667	0.42193
all vs all	dacarbazine	0.69643	0.27250
all vs all	glycopyrrolate	0.78571	0.35197
all vs all	dobutamine	0.78049	0.35392
all vs all	natamycin	0.84615	0.34258
all vs all	bambuterol	0.75410	0.36520
all vs all	molindone	0.73611	0.40417
all vs all	iothalamate	1.00000	0.29182
all vs all	romidepsin	0.67568	0.34500
all vs all	amlexanox	0.71429	0.35281
all vs all	nilutamide	0.70423	0.30697
all vs all	alendronate	0.93023	0.24719
all vs all	magnesium_hydroxide	0.81818	0.09742
all vs all	meclocycline	0.93220	0.34309
all vs all	lecithin	0.79592	0.28843
all vs all	prochlorperazine	0.91111	0.30218
all vs all	vitamin_b6	1.00000	0.32423
all vs all	chlortetracycline	0.96667	0.35760
all vs all	methylsulfonylmethane	0.68293	0.33270
all vs all	carbenicillin	0.98077	0.34064
all vs all	formoterol	0.88235	0.37294
all vs all	tulobuterol	0.89474	0.29174
all vs all	lofepramine	0.82979	0.33422
all vs all	diflunisal	0.74074	0.25079
all vs all	levosimendan	0.64407	0.29494
all vs all	methysergide	0.95082	0.38036
