N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
O00311_pIC50	156	39	279	0.78529
O00329_pIC50	577	145	279	0.86188
O00408_pIC50	235	59	279	0.99474
O00519_pIC50	645	162	279	0.85356
O00519_pKi	242	61	279	0.80775
O00763_pIC50	317	80	279	0.77842
O00767_pIC50	300	76	279	0.56212
O14672_pIC50	475	119	279	0.99868
O14684_pIC50	434	109	279	0.86956
O14746_pEC50	88	22	279	0.81405
O14746_pIC50	360	90	279	0.90526
O14757_pEC50	85	22	279	0.83333
O14757_pIC50	1252	313	279	0.81916
O14757_pKi	111	28	279	0.97727
O14842_pEC50	400	101	279	0.84649
O14920_pIC50	682	171	279	0.93946
O14939_pIC50	152	38	279	0.91449
O14965_pIC50	1564	391	279	0.86659
O14965_pKi	104	27	279	0.9246
O15111_pIC50	234	59	279	0.80035
O15120_pIC50	86	22	279	0.80208
O15379_pIC50	322	81	279	0.89049
O15530_pIC50	469	118	279	0.95786
O15552_pIC50	108	27	279	0.86813
O43193_pEC50	84	21	279	0.65
O43193_pKi	60	15	279	0.6
O43318_pIC50	69	18	279	0.75625
O43353_pIC50	180	45	279	0.82407
O43497_pIC50	216	54	279	0.85
O43526_pEC50	95	24	279	0.75714
O43570_pKi	831	208	279	0.96178
O43613_pEC50	103	26	279	0.95536
O43613_pIC50	419	105	279	0.86698
O43613_pKi	276	69	279	0.82845
O43614_pEC50	115	29	279	0.90556
O43614_pIC50	262	66	279	0.82082
O43614_pKd	51	13	279	0.86905
O43614_pKi	306	77	279	0.61791
O60218_pIC50	69	18	279	0.84416
O60341_pIC50	100	26	279	0.94444
O60341_pKi	93	24	279	0.94286
O60674_pIC50	1049	263	279	0.86502
O60674_pKi	230	58	279	0.86181
O60725_pIC50	181	46	279	0.93333
O60755_pIC50	135	34	279	0.59649
O60885_pIC50	180	46	279	0.70857
O60911_pIC50	107	27	279	0.84375
O75116_pIC50	587	147	279	0.87097
O75173_pIC50	193	49	279	0.86404
O75460_pIC50	205	52	279	0.81657
O75469_pEC50	152	39	279	0.92532
