N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
O00311_pIC50	156	39	246	0.57059
O00329_pIC50	577	145	246	0.66957
O00408_pIC50	235	59	246	0.96118
O00519_pIC50	645	162	246	0.75437
O00519_pKi	242	61	246	0.66793
O00763_pIC50	317	80	246	0.60046
O00767_pIC50	300	76	246	0.55
O14672_pIC50	475	119	246	0.93224
O14684_pIC50	434	109	246	0.79983
O14746_pEC50	88	22	246	0.81818
O14746_pIC50	360	90	246	0.8037
O14757_pEC50	85	22	246	0.76667
O14757_pIC50	1252	313	246	0.62575
O14757_pKi	111	28	246	0.89394
O14842_pEC50	400	101	246	0.72128
O14920_pIC50	682	171	246	0.85114
O14939_pIC50	152	38	246	0.85652
O14965_pIC50	1564	391	246	0.70436
O14965_pKi	104	27	246	0.78571
O15111_pIC50	234	59	246	0.70833
O15120_pIC50	86	22	246	0.80208
O15379_pIC50	322	81	246	0.79068
O15530_pIC50	469	118	246	0.84091
O15552_pIC50	108	27	246	0.73077
O43193_pEC50	84	21	246	0.5375
O43193_pKi	60	15	246	0.65
O43318_pIC50	69	18	246	0.7125
O43353_pIC50	180	45	246	0.63889
O43497_pIC50	216	54	246	0.77083
O43526_pEC50	95	24	246	0.72857
O43570_pKi	831	208	246	0.8618
O43613_pEC50	103	26	246	0.88095
O43613_pIC50	419	105	246	0.77423
O43613_pKi	276	69	246	0.69784
O43614_pEC50	115	29	246	0.81389
O43614_pIC50	262	66	246	0.69734
O43614_pKd	51	13	246	0.59524
O43614_pKi	306	77	246	0.59921
O60218_pIC50	69	18	246	0.62338
O60341_pIC50	100	26	246	0.79167
O60341_pKi	93	24	246	0.75714
O60674_pIC50	1049	263	246	0.71122
O60674_pKi	230	58	246	0.79583
O60725_pIC50	181	46	246	0.88495
O60755_pIC50	135	34	246	0.50877
O60885_pIC50	180	46	246	0.6219
O60911_pIC50	107	27	246	0.73864
O75116_pIC50	587	147	246	0.80959
O75173_pIC50	193	49	246	0.8114
O75460_pIC50	205	52	246	0.61538
O75469_pEC50	152	39	246	0.84578
O75762_pEC50	103	26	246	0.83929
O75762_pIC50	75	19	246	0.57778
O75907_pIC50	388	97	246	0.65
O75908_pIC50	105	27	246	0.84868
O76074_pIC50	1070	268	246	0.82476
O94925_pIC50	326	82	246	0.91387
O95136_pIC50	126	32	246	0.94118
O95399_pEC50	48	12	246	0.91667
O95749_pIC50	88	22	246	0.4381
O95822_pIC50	219	55	246	0.79704
O95977_pEC50	102	26	246	0.75152
O95977_pIC50	157	40	246	0.5625
O96017_pIC50	248	62	246	0.87719
P00374_pIC50	440	111	246	0.66866
P00374_pKi	196	50	246	0.83279
P00488_pIC50	76	19	246	0.71154
P00491_pIC50	81	21	246	0.8
P00491_pKi	148	38	246	0.80532
P00519_pEC50	60	16	246	0.40476
P00519_pIC50	717	180	246	0.83356
P00519_pKd	56	14	246	0.52083
P00519_pKi	498	125	246	0.68636
P00533_pIC50	2709	678	246	0.84226
P00533_pKi	66	17	246	0.82639
P00734_pIC50	1307	327	246	0.82547
P00734_pKi	2438	610	246	0.85985
P00740_pKi	137	35	246	0.66304
P00742_pIC50	1473	369	246	0.69784
P00742_pKi	2526	632	246	0.82441
P00747_pIC50	196	50	246	0.79144
P00747_pKi	436	109	246	0.66017
P00748_pIC50	147	37	246	0.52802
P00748_pKi	96	24	246	0.85556
P00749_pIC50	184	47	246	0.83241
P00749_pKi	645	162	246	0.79875
P00750_pIC50	90	23	246	0.6
P00750_pKi	216	54	246	0.56079
P00797_pIC50	1994	499	246	0.70404
P00797_pKi	79	20	246	0.95455
P00915_pIC50	117	30	246	0.82589
P00915_pKd	76	19	246	0.83889
P00915_pKi	2354	589	246	0.83444
P00918_pIC50	364	91	246	0.79048
P00918_pKd	167	42	246	0.66578
P00918_pKi	2477	620	246	0.82397
P01375_pIC50	674	169	246	0.73475
P03372_pEC50	463	116	246	0.77939
P03372_pIC50	1196	300	246	0.86721
P03372_pKi	205	52	246	0.77983
P03951_pIC50	167	42	246	0.75
P03951_pKi	76	19	246	0.68889
P03952_pKi	102	26	246	0.80769
P03956_pIC50	1500	376	246	0.79988
P03956_pKi	511	128	246	0.81944
P04035_pIC50	152	39	246	0.90278
P04054_pIC50	372	94	246	0.94118
P04062_pIC50	180	45	246	0.71667
P04062_pKi	116	29	246	0.57843
P04150_pEC50	428	108	246	0.68704
P04150_pIC50	1008	252	246	0.71638
P04150_pKi	576	144	246	0.75891
P04278_pKd	72	19	246	0.80128
P04626_pIC50	1063	266	246	0.83553
P04629_pIC50	178	45	246	0.5
P04798_pIC50	61	16	246	0.56364
P04818_pIC50	208	52	246	0.80031
P04818_pKi	176	44	246	0.84737
P05067_pIC50	132	33	246	0.96154
P05093_pIC50	283	71	246	0.64124
P05106_pIC50	906	227	246	0.63532
P05106_pKi	151	38	246	0.62673
P05121_pIC50	188	48	246	0.75758
P05129_pIC50	120	30	246	0.83014
P05186_pIC50	304	77	246	0.73333
P05412_pIC50	116	30	246	0.74107
P05771_pIC50	233	59	246	0.61773
P06213_pIC50	368	93	246	0.7617
P06239_pIC50	1063	266	246	0.73418
P06239_pKd	100	26	246	0.5
P06241_pIC50	77	20	246	0.65152
P06401_pEC50	359	90	246	0.54375
P06401_pIC50	930	233	246	0.68429
P06401_pKi	348	88	246	0.57945
P06493_pIC50	1245	312	246	0.78371
P06493_pKi	100	25	246	0.65873
P06870_pKi	47	12	246	0.8
P07099_pIC50	132	33	246	0.77083
P07333_pIC50	446	112	246	0.66827
P07339_pIC50	756	189	246	0.71997
P07339_pKi	204	51	246	0.76242
P07384_pIC50	282	71	246	0.86547
P07384_pKi	176	45	246	0.625
P07477_pIC50	283	71	246	0.82097
P07477_pKi	950	238	246	0.84351
P07550_pEC50	469	118	246	0.73892
P07550_pIC50	376	94	246	0.87226
P07550_pKi	268	68	246	0.79356
P07711_pIC50	547	137	246	0.6823
P07711_pKi	344	87	246	0.8117
P07858_pIC50	443	111	246	0.74642
P07858_pKi	324	82	246	0.69861
P07900_pIC50	425	107	246	0.79385
P07900_pKd	59	15	246	1
P07948_pIC50	144	36	246	0.64231
P07949_pIC50	232	58	246	0.83586
P08069_pIC50	816	205	246	0.76559
P08069_pKi	44	11	246	0.55
P08172_pEC50	55	14	246	0.64583
P08172_pIC50	295	74	246	0.67206
P08172_pKi	636	160	246	0.72694
P08173_pEC50	76	19	246	0.66667
P08173_pIC50	101	26	246	0.71818
P08173_pKi	220	56	246	0.78718
P08183_pEC50	228	58	246	0.76263
P08183_pIC50	300	75	246	0.55833
P08235_pIC50	413	104	246	0.59018
P08235_pKi	72	19	246	0.73889
P08238_pEC50	127	32	246	0.8
P08238_pIC50	348	87	246	0.79745
P08246_pIC50	494	124	246	0.69138
P08246_pKi	700	175	246	0.76157
P08253_pIC50	1824	456	246	0.84338
P08253_pKi	572	143	246	0.74662
P08254_pIC50	936	234	246	0.7787
P08254_pKi	490	123	246	0.7483
P08311_pIC50	181	46	246	0.76225
P08473_pIC50	234	59	246	0.79921
P08514_pIC50	1256	314	246	0.74216
P08514_pKi	113	29	246	0.79048
P08575_pIC50	174	44	246	0.68161
P08581_pIC50	1379	345	246	0.66285
P08581_pKi	172	44	246	0.60232
P08588_pEC50	396	100	246	0.64568
P08588_pIC50	396	100	246	0.8277
P08588_pKi	195	49	246	0.68947
P08631_pIC50	88	23	246	0.69118
P08648_pIC50	177	45	246	0.78333
P08684_pIC50	1776	445	246	0.72165
P08684_pKi	96	25	246	0.8
P08709_pIC50	274	69	246	0.63878
P08709_pKi	254	64	246	0.72466
P08842_pIC50	281	71	246	0.74322
P08908_pEC50	484	122	246	0.92653
P08908_pIC50	364	92	246	0.8039
P08908_pKi	1912	479	246	0.63078
P08912_pIC50	88	23	246	0.73462
P08912_pKi	188	47	246	0.83455
P08913_pKi	403	101	246	0.7421
P09038_pKd	77	20	246	1
P09237_pIC50	271	68	246	0.7066
P09237_pKi	96	24	246	0.54737
P09467_pIC50	296	74	246	0.85985
P09488_pEC50	178	45	246	0.48718
P09619_pIC50	1035	259	246	0.77967
P09871_pKi	83	21	246	0.90278
P09874_pEC50	165	42	246	0.71875
P09874_pIC50	874	219	246	0.69149
P09917_pEC50	70	18	246	0.85
P09917_pIC50	1316	330	246	0.774
P09958_pKi	173	44	246	0.85897
P09960_pIC50	372	93	246	0.6839
P0DMS8_pIC50	249	63	246	0.78571
P0DMS8_pKi	2135	534	246	0.79152
P10275_pEC50	266	67	246	0.77778
P10275_pIC50	899	225	246	0.78168
P10275_pKi	555	139	246	0.88809
P10415_pEC50	128	32	246	0.90857
P10415_pIC50	230	58	246	0.81006
P10415_pKi	206	52	246	0.88462
P10635_pIC50	1248	313	246	0.67896
P10721_pIC50	451	113	246	0.65657
P10721_pKi	44	11	246	0.9
P10826_pKi	49	13	246	0.92857
P10827_pIC50	171	43	246	0.76111
P10828_pIC50	265	67	246	0.81238
P11086_pKi	137	35	246	0.55556
P11229_pEC50	248	62	246	0.79946
P11229_pIC50	394	99	246	0.76199
P11229_pKi	468	118	246	0.84806
P11309_pIC50	728	182	246	0.70594
P11309_pKi	308	78	246	0.77778
P11362_pIC50	589	148	246	0.73781
P11387_pEC50	101	26	246	0.6
P11387_pIC50	204	52	246	0.92361
P11473_pIC50	192	49	246	1
P11474_pIC50	90	23	246	0.64444
P11511_pIC50	1140	285	246	0.7784
P11511_pKi	264	67	246	0.62585
P11597_pIC50	603	151	246	0.79131
P11712_pIC50	1045	262	246	0.65705
P11802_pIC50	956	240	246	0.85767
P11802_pKi	58	15	246	0.66071
P12268_pIC50	368	93	246	0.58413
P12268_pKi	60	15	246	0.4
P12821_pIC50	436	110	246	0.91201
P12931_pIC50	1854	464	246	0.84757
P12931_pKi	195	49	246	0.65588
P13497_pIC50	269	68	246	0.74778
P13569_pIC50	83	21	246	0.83333
P13612_pIC50	1060	266	246	0.67172
P13631_pKi	46	12	246	0.83333
P13726_pIC50	56	15	246	0.91667
P13866_pIC50	224	56	246	0.79548
P13945_pEC50	875	219	246	0.60741
P13945_pKi	220	56	246	0.73438
P14061_pIC50	252	63	246	0.71809
P14174_pIC50	152	38	246	0.68485
P14222_pIC50	119	30	246	0.57764
P14324_pIC50	192	48	246	0.85938
P14324_pKi	68	17	246	0.61667
P14416_pIC50	291	73	246	0.78788
P14416_pKi	3076	770	246	0.68117
P14555_pIC50	339	85	246	0.87068
P14618_pEC50	54	14	246	0.5625
P14780_pIC50	1256	315	246	0.83135
P14780_pKi	524	132	246	0.70265
P14867_pEC50	84	21	246	0.92857
P14867_pKi	470	118	246	0.56918
P14902_pIC50	268	67	246	0.74798
P14920_pIC50	100	25	246	0.65
P15056_pIC50	415	104	246	0.81374
P15056_pKd	74	19	246	0.89444
P15090_pIC50	77	20	246	0.67857
P15121_pIC50	535	134	246	0.73845
P15144_pIC50	183	46	246	0.64286
P15144_pKi	81	21	246	0.6
P15428_pIC50	164	42	246	0.57143
P15538_pIC50	407	102	246	0.66307
P16050_pIC50	120	30	246	0.725
P16083_pIC50	188	48	246	0.8513
P16109_pIC50	176	44	246	0.84363
P16234_pIC50	191	48	246	0.58333
P16455_pIC50	52	13	246	0.92857
P16581_pIC50	220	55	246	0.93939
P17252_pIC50	324	81	246	0.73018
P17252_pKi	324	82	246	0.62737
P17612_pIC50	118	30	246	0.76398
P17706_pIC50	322	81	246	0.9375
P17706_pKi	88	23	246	0.72321
P17861_pIC50	748	187	246	0.51961
P17948_pIC50	558	140	246	0.705
P18031_pIC50	1525	382	246	0.8217
P18031_pKi	379	95	246	0.83514
P18054_pIC50	116	29	246	0.69737
P18084_pIC50	200	51	246	0.85232
P18089_pKi	242	61	246	0.78409
