N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
O00311_pIC50	156	39	279	0.91176
O00329_pIC50	577	145	279	0.90984
O00408_pIC50	235	59	279	0.96203
O00519_pIC50	645	162	279	0.87069
O00519_pKi	242	61	279	0.91089
O00763_pIC50	317	80	279	0.92958
O00767_pIC50	300	76	279	0.93525
O14672_pIC50	475	119	279	0.91304
O14684_pIC50	434	109	279	0.79661
O14746_pEC50	88	22	279	0.77778
O14746_pIC50	360	90	279	0.76923
O14757_pEC50	85	22	279	0.84615
O14757_pIC50	1252	313	279	0.91042
O14757_pKi	111	28	279	0.93333
O14842_pEC50	400	101	279	0.82609
O14920_pIC50	682	171	279	0.89362
O14939_pIC50	152	38	279	0.85106
O14965_pIC50	1564	391	279	0.89633
O14965_pKi	104	27	279	0.87805
O15111_pIC50	234	59	279	0.72464
O15120_pIC50	86	22	279	0.94118
O15379_pIC50	322	81	279	0.83516
O15530_pIC50	469	118	279	0.95477
O15552_pIC50	108	27	279	0.63158
O43193_pEC50	84	21	279	0.84848
O43193_pKi	60	15	279	0.53333
O43318_pIC50	69	18	279	0.7619
O43353_pIC50	180	45	279	0.33333
O43497_pIC50	216	54	279	0.7027
O43526_pEC50	95	24	279	0.8
O43570_pKi	831	208	279	0.93038
O43613_pEC50	103	26	279	0.83871
O43613_pIC50	419	105	279	0.7767
O43613_pKi	276	69	279	0.67925
O43614_pEC50	115	29	279	0.87179
O43614_pIC50	262	66	279	0.94118
O43614_pKd	51	13	279	0.6
O43614_pKi	306	77	279	0.9037
O60218_pIC50	69	18	279	0.76923
O60341_pIC50	100	26	279	0.8
O60341_pKi	93	24	279	0.76923
O60674_pIC50	1049	263	279	0.91648
O60674_pKi	230	58	279	0.88095
O60725_pIC50	181	46	279	0.70968
O60755_pIC50	135	34	279	0.63415
O60885_pIC50	180	46	279	0.54054
O60911_pIC50	107	27	279	0.75
O75116_pIC50	587	147	279	0.8835
O75173_pIC50	193	49	279	0.86207
O75460_pIC50	205	52	279	0.88636
O75469_pEC50	152	39	279	0.8
O75762_pEC50	103	26	279	0.86957
O75762_pIC50	75	19	279	0.66667
O75907_pIC50	388	97	279	0.95604
O75908_pIC50	105	27	279	0.92308
O76074_pIC50	1070	268	279	0.91237
O94925_pIC50	326	82	279	0.96296
O95136_pIC50	126	32	279	0.90909
O95399_pEC50	48	12	279	0.83333
O95749_pIC50	88	22	279	0.18182
O95822_pIC50	219	55	279	0.90698
O95977_pEC50	102	26	279	0.75
O95977_pIC50	157	40	279	0.86154
O96017_pIC50	248	62	279	0.90909
P00374_pIC50	440	111	279	0.7871
P00374_pKi	196	50	279	0.87719
P00488_pIC50	76	19	279	0.85714
