N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
O00311_pIC50	156	40	166	0.91667
O00329_pIC50	992	248	166	0.93617
O00408_pIC50	260	66	166	0.94949
O00519_pIC50	708	178	166	0.9098
O00519_pKi	249	63	166	0.92784
O00763_pIC50	340	85	166	0.92517
O00767_pIC50	302	76	166	0.91304
O14672_pIC50	478	120	166	0.88372
O14684_pIC50	545	137	166	0.81481
O14746_pEC50	88	22	166	0.625
O14746_pIC50	400	100	166	0.63636
O14757_pEC50	92	24	166	0.66667
O14757_pIC50	1314	329	166	0.89892
O14757_pKi	111	28	166	0.95652
O14842_pEC50	606	152	166	0.81218
O14920_pIC50	720	180	166	0.917
O14939_pIC50	152	39	166	0.90196
O14965_pIC50	1684	421	166	0.89275
O14965_pKi	131	33	166	0.82609
O15054_pIC50	44	12	166	0.5
O15111_pIC50	235	59	166	0.73016
O15120_pIC50	87	22	166	0.82353
O15164_pIC50	46	12	166	0.92308
O15229_pIC50	86	22	166	0.89474
O15379_pIC50	532	134	166	0.87425
O15382_pIC50	77	20	166	0.81818
O15530_pIC50	499	125	166	0.95098
O15552_pIC50	108	28	166	0.58333
O43193_pEC50	84	22	166	0.86486
O43193_pKi	60	15	166	0.73684
O43318_pIC50	123	31	166	0.80952
O43353_pIC50	189	48	166	0.4
O43451_pIC50	77	20	166	0.57143
O43497_pIC50	292	74	166	0.775
O43526_pEC50	102	26	166	0.88235
O43570_pIC50	41	11	166	0.88889
O43570_pKd	44	12	166	0.5
O43570_pKi	1364	342	166	0.95764
O43613_pEC50	107	27	166	0.83333
O43613_pIC50	471	118	166	0.77311
O43613_pKi	365	92	166	0.84091
O43614_pEC50	123	31	166	0.85106
O43614_pIC50	327	82	166	0.94194
O43614_pKd	51	13	166	0.5
O43614_pKi	401	101	166	0.7875
O60218_pIC50	71	18	166	0.66667
O60341_pIC50	212	53	166	0.85714
O60341_pKi	138	35	166	0.75676
O60563_pIC50	127	32	166	0.98039
O60674_pIC50	1422	356	166	0.94719
O60674_pKi	238	60	166	0.84091
O60725_pIC50	185	47	166	0.8
O60755_pIC50	135	34	166	0.61905
O60885_pIC50	444	112	166	0.78261
O60885_pKi	58	15	166	0.66667
O60911_pIC50	107	27	166	0.69565
O75116_pIC50	643	161	166	0.87866
O75164_pIC50	108	28	166	0.84211
O75173_pIC50	206	52	166	0.85246
O75460_pIC50	234	59	166	0.88421
O75469_pEC50	188	48	166	0.73684
O75762_pEC50	106	27	166	0.8
O75762_pIC50	152	38	166	0.8
O75907_pIC50	450	113	166	0.93269
O75908_pIC50	110	28	166	0.94737
O76074_pIC50	1140	286	166	0.9
O94768_pIC50	48	12	166	0.72727
O94925_pIC50	361	91	166	0.94118
O95136_pIC50	140	35	166	0.89474
O95399_pEC50	48	12	166	0.72727
O95749_pIC50	94	24	166	0.26667
O95819_pIC50	60	15	166	0.94737
O95822_pIC50	219	55	166	0.91954
O95977_pEC50	135	34	166	0.68293
O95977_pIC50	157	40	166	0.88525
O96017_pIC50	252	63	166	0.90244
P00374_pIC50	496	124	166	0.83799
