N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00311_pIC50	156	39	246	0.57059	0.57059	0.62647	0.62647	0.57059	0.57059	0.62647	0.62647	0.57059	0.57059	0.62647	0.62647	0.57059	0.57059	0.62647	0.62647
O00329_pIC50	577	145	246	0.66957	0.66957	0.71957	0.71957	0.66957	0.66957	0.71957	0.71957	0.66957	0.66957	0.71957	0.71957	0.66957	0.66957	0.71957	0.71957
O00408_pIC50	235	59	246	0.96118	0.96118	0.94868	0.94868	0.96118	0.96118	0.94868	0.94868	0.96118	0.96118	0.94868	0.94868	0.96118	0.96118	0.94868	0.94868
O14684_pIC50	434	109	246	0.79983	0.79983	0.75527	0.75527	0.79983	0.79983	0.75527	0.75527	0.79983	0.79983	0.75527	0.75527	0.79983	0.79983	0.75527	0.75527
O14746_pIC50	360	90	246	0.8037	0.8037	0.81116	0.81116	0.8037	0.8037	0.81116	0.81116	0.8037	0.8037	0.81116	0.81116	0.8037	0.8037	0.81116	0.81116
O43318_pIC50	69	18	246	0.7125	0.7125	0.775	0.775	0.7125	0.7125	0.775	0.775	0.7125	0.7125	0.775	0.775	0.7125	0.7125	0.775	0.775
O43613_pKi	276	69	246	0.69784	0.69784	0.73233	0.73233	0.69784	0.69784	0.73233	0.73233	0.69784	0.69784	0.73233	0.73233	0.69784	0.69784	0.73233	0.73233
O60725_pIC50	181	46	246	0.88495	0.88495	0.93548	0.93548	0.88495	0.88495	0.93548	0.93548	0.88495	0.88495	0.93548	0.93548	0.88495	0.88495	0.93548	0.93548
O95136_pIC50	126	32	246	0.94118	0.94118	0.90784	0.90784	0.94118	0.94118	0.90784	0.90784	0.94118	0.94118	0.90784	0.90784	0.94118	0.94118	0.90784	0.90784
O95822_pIC50	219	55	246	0.79704	0.79704	0.76132	0.76132	0.79704	0.79704	0.76132	0.76132	0.79704	0.79704	0.76132	0.76132	0.79704	0.79704	0.76132	0.76132
O96017_pIC50	248	62	246	0.87719	0.87719	0.80921	0.80921	0.87719	0.87719	0.80921	0.80921	0.87719	0.87719	0.80921	0.80921	0.87719	0.87719	0.80921	0.80921
P00374_pKi	196	50	246	0.83279	0.83279	0.79708	0.79708	0.83279	0.83279	0.79708	0.79708	0.83279	0.83279	0.79708	0.79708	0.83279	0.83279	0.79708	0.79708
P00918_pKi	2477	620	246	0.82397	0.82397	0.80244	0.80244	0.82397	0.82397	0.80244	0.80244	0.82397	0.82397	0.80244	0.80244	0.82397	0.82397	0.80244	0.80244
P03372_pKi	205	52	246	0.77983	0.77983	0.76555	0.76555	0.77983	0.77983	0.76555	0.76555	0.77983	0.77983	0.76555	0.76555	0.77983	0.77983	0.76555	0.76555
P03951_pKi	76	19	246	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889	0.68889
P04062_pKi	116	29	246	0.57843	0.57843	0.72059	0.72059	0.57843	0.57843	0.72059	0.72059	0.57843	0.57843	0.72059	0.72059	0.57843	0.57843	0.72059	0.72059
P04150_pKi	576	144	246	0.75891	0.75891	0.75116	0.75116	0.75891	0.75891	0.75116	0.75116	0.75891	0.75891	0.75116	0.75116	0.75891	0.75891	0.75116	0.75116
P05121_pIC50	188	48	246	0.75758	0.75758	0.72727	0.72727	0.75758	0.75758	0.72727	0.72727	0.75758	0.75758	0.72727	0.72727	0.75758	0.75758	0.72727	0.72727
P06239_pKd	100	26	246	0.5	0.5	0.67619	0.67619	0.5	0.5	0.67619	0.67619	0.5	0.5	0.67619	0.67619	0.5	0.5	0.67619	0.67619
P07333_pIC50	446	112	246	0.66827	0.66827	0.54327	0.54327	0.66827	0.66827	0.54327	0.54327	0.66827	0.66827	0.54327	0.54327	0.66827	0.66827	0.54327	0.54327
P07711_pKi	344	87	246	0.8117	0.8117	0.84776	0.84776	0.8117	0.8117	0.84776	0.84776	0.8117	0.8117	0.84776	0.84776	0.8117	0.8117	0.84776	0.84776
P07858_pIC50	443	111	246	0.74642	0.74642	0.79115	0.79115	0.74642	0.74642	0.79115	0.79115	0.74642	0.74642	0.79115	0.79115	0.74642	0.74642	0.79115	0.79115
P08172_pIC50	295	74	246	0.67206	0.67206	0.71968	0.71968	0.67206	0.67206	0.71968	0.71968	0.67206	0.67206	0.71968	0.71968	0.67206	0.67206	0.71968	0.71968
P08684_pKi	96	25	246	0.8	0.8	0.575	0.575	0.8	0.8	0.575	0.575	0.8	0.8	0.575	0.575	0.8	0.8	0.575	0.575
P08908_pEC50	484	122	246	0.92653	0.92653	0.90214	0.90214	0.92653	0.92653	0.90214	0.90214	0.92653	0.92653	0.90214	0.90214	0.92653	0.92653	0.90214	0.90214
P0DMS8_pKi	2135	534	246	0.79152	0.79152	0.75528	0.75528	0.79152	0.79152	0.75528	0.75528	0.79152	0.79152	0.75528	0.75528	0.79152	0.79152	0.75528	0.75528
P11387_pEC50	101	26	246	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	NA	0.6
P12931_pKi	195	49	246	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588	0.65588
P13726_pIC50	56	15	246	0.91667	0.91667	1	1	0.91667	0.91667	1	1	0.91667	0.91667	1	1	0.91667	0.91667	1	1
P14222_pIC50	119	30	246	0.57764	0.57764	0.59938	0.59938	0.57764	0.57764	0.59938	0.59938	0.57764	0.57764	0.59938	0.59938	0.57764	0.57764	0.59938	0.59938
P16581_pIC50	220	55	246	0.93939	0.93939	0.96212	0.96212	0.93939	0.93939	0.96212	0.96212	0.93939	0.93939	0.96212	0.96212	0.93939	0.93939	0.96212	0.96212
P18054_pIC50	116	29	246	0.69737	0.69737	0.67368	0.67368	0.69737	0.69737	0.67368	0.67368	0.69737	0.69737	0.67368	0.67368	0.69737	0.69737	0.67368	0.67368
P18089_pKi	242	61	246	0.78409	0.78409	0.72619	0.72619	0.78409	0.78409	0.72619	0.72619	0.78409	0.78409	0.72619	0.72619	0.78409	0.78409	0.72619	0.72619
P18564_pIC50	100	26	246	0.60119	0.60119	0.51786	0.51786	0.60119	0.60119	0.51786	0.51786	0.60119	0.60119	0.51786	0.51786	0.60119	0.60119	0.51786	0.51786
P19320_pIC50	78	20	246	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667
P19793_pIC50	112	29	246	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737	0.79737
P20309_pIC50	412	103	246	0.68486	0.68486	0.69937	0.69937	0.68486	0.68486	0.69937	0.69937	0.68486	0.68486	0.69937	0.69937	0.68486	0.68486	0.69937	0.69937
P21397_pIC50	688	172	246	0.69677	0.69677	0.74596	0.74596	0.69677	0.69677	0.74596	0.74596	0.69677	0.69677	0.74596	0.74596	0.69677	0.69677	0.74596	0.74596
