N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00311_pIC50	156	39	279	0.91176	0.91176	0.87879	0.87879	0.91176	0.91176	0.87879	0.87879	0.91176	0.91176	0.87879	0.87879	0.91176	0.91176	0.87879	0.87879
O00329_pIC50	577	145	279	0.90984	0.90984	0.90756	0.90756	0.90984	0.90984	0.90756	0.90756	0.90984	0.90984	0.90756	0.90756	0.90984	0.90984	0.90756	0.90756
O00408_pIC50	235	59	279	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203	0.96203
O14684_pIC50	434	109	279	0.79661	0.79661	0.79032	0.79032	0.79661	0.79661	0.79032	0.79032	0.79661	0.79661	0.79032	0.79032	0.79661	0.79661	0.79032	0.79032
O14746_pIC50	360	90	279	0.76923	0.76923	0.71795	0.71795	0.76923	0.76923	0.71795	0.71795	0.76923	0.76923	0.71795	0.71795	0.76923	0.76923	0.71795	0.71795
O43318_pIC50	69	18	279	0.7619	0.7619	0.8	0.8	0.7619	0.7619	0.8	0.8	0.7619	0.7619	0.8	0.8	0.7619	0.7619	0.8	0.8
O43613_pKi	276	69	279	0.67925	0.67925	0.68966	0.68966	0.67925	0.67925	0.68966	0.68966	0.67925	0.67925	0.68966	0.68966	0.67925	0.67925	0.68966	0.68966
O60725_pIC50	181	46	279	0.70968	0.70968	0.88235	0.88235	0.70968	0.70968	0.88235	0.88235	0.70968	0.70968	0.88235	0.88235	0.70968	0.70968	0.88235	0.88235
O95136_pIC50	126	32	279	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909
O95822_pIC50	219	55	279	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698	0.90698
O96017_pIC50	248	62	279	0.90909	0.90909	0.85714	0.85714	0.90909	0.90909	0.85714	0.85714	0.90909	0.90909	0.85714	0.85714	0.90909	0.90909	0.85714	0.85714
P00374_pKi	196	50	279	0.87719	0.87719	0.82143	0.82143	0.87719	0.87719	0.82143	0.82143	0.87719	0.87719	0.82143	0.82143	0.87719	0.87719	0.82143	0.82143
P00918_pKi	2477	620	279	0.94024	0.94024	0.93861	0.93861	0.94024	0.94024	0.93861	0.93861	0.94024	0.94024	0.93861	0.93861	0.94024	0.94024	0.93861	0.93861
P03372_pKi	205	52	279	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88	0.88
P03951_pKi	76	19	279	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
P04062_pKi	116	29	279	0.71795	0.71795	0.82051	0.82051	0.71795	0.71795	0.82051	0.82051	0.71795	0.71795	0.82051	0.82051	0.71795	0.71795	0.82051	0.82051
P04150_pKi	576	144	279	0.96578	0.96578	0.95785	0.95785	0.96578	0.96578	0.95785	0.95785	0.96578	0.96578	0.95785	0.95785	0.96578	0.96578	0.95785	0.95785
P05121_pIC50	188	48	279	0.66667	0.66667	0.625	0.625	0.66667	0.66667	0.625	0.625	0.66667	0.66667	0.625	0.625	0.66667	0.66667	0.625	0.625
P06239_pKd	100	26	279	0.33333	0.33333	0.5	0.5	0.33333	0.33333	0.5	0.5	0.33333	0.33333	0.5	0.5	0.33333	0.33333	0.5	0.5
P07333_pIC50	446	112	279	0.94737	0.94737	0.94787	0.94787	0.94737	0.94737	0.94787	0.94787	0.94737	0.94737	0.94787	0.94787	0.94737	0.94737	0.94787	0.94787
P07711_pKi	344	87	279	0.77922	0.77922	0.83117	0.83117	0.77922	0.77922	0.83117	0.83117	0.77922	0.77922	0.83117	0.83117	0.77922	0.77922	0.83117	0.83117
