fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00311_pIC50	5	6	3	3	5	23	4	11	9	9	12	12	5	35	1	40
O00329_pIC50	20	72	11	26	12	42	18	52	41	73	28	42	23	49	12	45
O00408_pIC50	2	2	2	2	3	3	4	4	2	2	2	2	6	7	6	6
O14684_pIC50	28	74	17	46	36	44	29	42	39	108	22	59	22	53	18	30
O14746_pIC50	17	17	25	25	9	17	9	49	30	43	19	34	9	48	10	30
O43318_pIC50	2	2	4	4	2	2	1	1	5	9	7	13	5	5	4	6
O43613_pKi	11	13	11	11	10	18	8	32	21	23	16	44	10	12	8	17
O60725_pIC50	29	38	21	26	11	16	10	17	19	19	20	23	8	20	8	11
O95136_pIC50	7	8	7	7	6	7	7	7	9	9	10	12	4	7	6	12
O95822_pIC50	17	24	7	18	8	8	8	8	13	19	13	17	7	9	6	8
O96017_pIC50	13	17	17	18	8	12	10	16	13	27	11	30	12	34	13	30
P00374_pKi	14	14	8	12	19	24	12	12	12	12	14	18	7	35	8	9
P00918_pKi	37	64	42	91	19	92	17	50	56	117	46	118	51	63	53	95
P03372_pKi	22	23	11	16	11	52	7	24	20	56	23	34	10	31	6	20
P03951_pKi	4	9	8	8	2	6	2	2	4	4	9	9	2	3	3	3
P04062_pKi	6	9	5	6	4	8	5	7	7	8	5	7	2	6	2	4
P04150_pKi	21	22	16	16	18	55	17	55	15	48	13	56	26	90	25	38
P05121_pIC50	13	38	19	25	31	51	10	22	31	36	16	18	13	36	10	15
P06239_pKd	5	9	3	14	8	8	6	20	3	3	5	5	5	13	2	2
P07333_pIC50	23	43	17	31	9	41	4	37	20	29	15	28	25	86	6	36
P07711_pKi	31	47	23	46	27	54	30	34	18	66	20	33	33	36	26	26
P07858_pIC50	33	49	22	48	26	47	24	24	23	26	29	73	26	36	17	40
P08172_pIC50	17	34	17	19	9	22	8	11	10	10	11	18	20	22	19	22
P08684_pKi	9	9	10	15	8	25	2	39	5	7	8	12	3	3	4	6
P08908_pEC50	19	52	26	26	12	27	7	28	23	100	18	29	17	74	9	88
P0DMS8_pKi	26	43	47	89	31	57	39	70	53	80	49	78	53	90	57	133
P11387_pEC50	4	27	5	7	4	11	2	4	6	6	4	4	3	9	NA	1
P12931_pKi	6	11	12	12	6	12	7	10	9	18	7	10	4	5	4	9
P13726_pIC50	4	4	5	5	1	1	1	1	4	4	4	4	6	6	6	6
P14222_pIC50	14	21	12	12	3	44	4	43	15	31	15	32	11	53	14	49
P16581_pIC50	5	5	6	6	3	8	3	3	9	62	7	7	3	4	2	2
P18054_pIC50	9	12	6	23	7	10	4	19	15	31	17	19	5	54	3	15
P18089_pKi	29	51	23	23	7	29	8	23	9	19	20	40	12	37	18	29
P18564_pIC50	3	30	8	31	1	1	2	7	11	14	11	11	9	9	7	7
P19320_pIC50	3	3	4	4	2	2	2	3	2	2	2	2	2	2	2	2
P19793_pIC50	5	16	4	5	5	6	5	5	10	10	4	8	6	8	4	4
P20309_pIC50	33	43	13	28	19	20	20	25	18	36	15	31	26	29	26	31
P21397_pIC50	39	58	46	56	16	44	27	39	37	81	56	73	31	58	33	62
P21397_pKi	13	19	16	20	9	18	10	39	12	55	18	23	10	20	9	14
P21554_pKi	28	34	43	100	21	33	47	61	35	107	51	77	42	74	40	70
P21918_pKi	14	15	14	16	17	35	8	19	15	15	12	14	7	16	7	12
P22748_pKi	14	36	16	25	8	60	7	37	36	58	27	49	17	103	18	47
P22894_pIC50	22	78	16	24	14	34	12	27	15	18	15	17	10	20	10	11
P23458_pEC50	9	12	12	12	2	3	2	5	10	31	17	21	1	22	1	6
P23526_pIC50	4	4	4	4	1	1	1	1	3	3	6	6	3	3	3	3
P23975_pIC50	39	64	24	29	35	122	21	92	36	40	37	79	47	93	18	110
P25105_pIC50	30	46	17	19	46	61	8	90	19	33	20	24	13	16	10	17
P28335_pEC50	20	21	26	30	16	34	10	44	14	26	21	27	7	16	10	21
P28335_pIC50	12	29	15	30	26	32	24	37	16	24	14	18	12	33	24	38
P28845_pIC50	31	100	33	55	30	79	17	73	35	100	37	64	33	68	25	50
P29274_pEC50	10	10	9	9	7	7	7	7	9	9	8	10	4	6	5	5
P29274_pIC50	6	6	1	1	4	22	4	4	4	5	2	2	4	7	5	5
P30968_pKi	27	68	19	28	11	65	15	23	26	58	22	37	36	61	22	60
P31645_pIC50	39	59	48	97	23	117	36	129	26	61	31	65	39	59	46	105
P31751_pIC50	22	41	19	23	19	58	13	19	17	41	18	24	13	39	12	12
P32245_pEC50	10	24	14	27	12	27	8	24	24	131	23	108	11	33	10	30
P32245_pKi	34	36	28	39	37	86	41	63	33	66	52	57	35	71	37	65
P34903_pKi	17	25	11	12	7	7	6	6	28	44	16	35	11	17	5	35
P34998_pKi	20	61	13	20	33	141	32	113	27	81	58	74	38	108	23	32
P35869_pEC50	9	12	4	35	15	27	8	19	19	32	16	32	10	25	12	38
P35968_pKi	18	37	7	23	7	13	9	14	9	21	11	25	4	4	2	4
P39900_pIC50	14	42	12	16	9	15	8	8	22	65	23	38	9	16	13	28
P41146_pIC50	20	32	9	21	9	25	3	5	10	13	11	31	10	59	3	15
P41595_pIC50	20	20	12	20	5	44	2	21	9	14	9	13	3	3	3	3
P42336_pIC50	21	40	34	36	32	47	25	53	34	67	48	54	28	57	42	64
P43088_pIC50	2	3	3	3	3	4	2	3	7	7	6	6	5	6	5	5
P45983_pIC50	32	44	23	40	25	31	28	36	42	75	28	64	32	45	21	57
P47871_pIC50	18	23	13	38	17	52	10	28	18	54	25	48	14	39	31	33
P47989_pIC50	8	8	9	9	9	9	9	9	21	21	12	18	4	16	4	14
P49841_pKi	16	16	11	11	10	14	6	7	22	26	11	12	14	53	19	21
P50281_pIC50	29	39	23	26	27	31	17	17	29	59	19	53	31	40	7	40
P52895_pIC50	3	6	6	29	3	5	6	11	8	9	3	12	4	5	3	6
P55072_pIC50	15	28	3	10	5	6	4	4	14	14	10	10	7	7	7	7
Q02127_pIC50	30	64	12	39	25	59	5	57	30	39	22	32	33	35	21	30
Q04759_pIC50	16	24	11	11	9	55	4	4	21	27	24	34	4	7	5	5
Q12866_pIC50	5	5	4	9	3	3	3	6	6	12	5	7	6	6	6	7
Q12908_pIC50	11	17	6	23	3	3	2	2	11	20	11	12	6	6	5	6
Q13133_pIC50	14	18	15	18	28	33	20	43	19	26	20	21	20	21	15	19
Q13258_pIC50	13	22	13	13	8	13	6	13	11	11	8	8	30	30	15	30
Q13464_pIC50	13	16	11	35	7	23	7	7	11	11	11	14	11	18	10	43
Q13627_pIC50	8	8	8	37	11	27	7	19	15	17	11	18	17	19	10	10
Q13822_pIC50	8	12	11	14	5	6	8	10	9	11	12	14	7	7	8	8
Q14416_pEC50	36	52	20	39	9	12	7	11	27	48	24	38	43	87	18	88
Q14416_pKi	7	7	6	6	2	27	1	22	6	6	6	6	5	22	13	19
Q14790_pIC50	15	18	10	20	8	10	7	12	24	36	25	25	15	20	11	27
Q15722_pIC50	11	12	15	16	14	22	5	32	9	9	7	11	1	17	4	25
Q15858_pKi	4	4	3	3	2	2	4	4	6	6	4	4	2	2	1	1
Q16602_pKi	16	47	11	20	12	56	6	6	29	56	39	87	21	103	20	67
Q8TEK3_pKi	3	3	4	4	3	3	3	3	2	2	2	2	2	2	2	2
Q8WUI4_pIC50	2	2	4	4	3	3	5	5	2	2	4	4	2	3	4	4
Q92633_pIC50	5	7	2	3	5	6	3	6	3	18	2	2	4	4	4	4
Q96GD4_pIC50	18	43	22	38	23	39	23	45	24	47	35	70	26	29	23	35
Q99250_pIC50	2	2	3	3	1	1	1	1	4	4	2	2	2	8	1	2
Q9BUB5_pIC50	1	1	2	2	1	1	1	1	1	2	1	3	2	2	1	2
Q9NWZ3_pIC50	11	16	9	15	7	9	6	7	11	17	15	20	5	27	6	22
Q9UBN7_pIC50	13	36	14	42	16	27	18	33	29	59	26	67	31	48	9	43
Q9UBY5_pIC50	6	6	6	6	5	5	4	5	5	5	3	4	3	3	3	3
Q9UQB9_pKd	4	4	4	7	1	1	1	1	2	2	2	2	2	4	1	3
Q9Y5N1_pKi	28	57	37	66	65	107	29	129	30	80	28	78	37	103	24	84
Q9Y6L6_pIC50	2	3	3	3	3	3	4	4	5	8	4	5	1	1	1	1
