fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00311_pIC50	0.872143	0.870732	0.884085	0.884085	0.653768	0.858531	0.624969	0.770192	0.870848	0.870848	0.832316	0.832316	0.895169	0.875619	0.611235	0.822924
O00329_pIC50	0.82912	0.851144	0.810852	0.826324	0.848881	0.84322	0.83349	0.834697	0.850378	0.854608	0.818398	0.831571	0.847189	0.848704	0.81474	0.837036
O00408_pIC50	0.980446	0.980446	0.97726	0.97726	0.963712	0.963712	0.984691	0.984691	0.987049	0.987049	0.986702	0.986702	0.95409	0.956821	0.924451	0.924451
O14684_pIC50	0.869603	0.8744	0.840871	0.863859	0.881719	0.875289	0.84273	0.861846	0.863332	0.861104	0.836757	0.849867	0.849656	0.855467	0.846602	0.842984
O14746_pIC50	0.874738	0.874738	0.881085	0.881085	0.876456	0.878438	0.864631	0.865273	0.86909	0.867761	0.841915	0.874121	0.850097	0.864263	0.819621	0.845185
O43318_pIC50	0.79389	0.79389	0.787915	0.787915	0.79389	0.79389	0.802638	0.802638	0.729583	0.769721	0.691667	0.71264	0.790696	0.790696	0.756528	0.751526
O43613_pKi	0.881037	0.878939	0.874322	0.874322	0.877538	0.870628	0.880358	0.883773	0.87712	0.878219	0.856169	0.838553	0.865061	0.874231	0.860272	0.863036
O60725_pIC50	0.929652	0.93387	0.925149	0.928999	0.899544	0.909306	0.908056	0.908005	0.940824	0.940824	0.915746	0.914344	0.892123	0.923511	0.89133	0.889712
O95136_pIC50	0.920705	0.924505	0.912838	0.912838	0.91508	0.917509	0.9135	0.9135	0.908936	0.908936	0.861222	0.865642	0.889004	0.903578	0.869857	0.887652
O95822_pIC50	0.908822	0.918937	0.903463	0.916195	0.88807	0.88807	0.898732	0.898732	0.914983	0.903518	0.898073	0.892216	0.885609	0.907011	0.878784	0.893626
O96017_pIC50	0.930799	0.934751	0.930351	0.930284	0.931564	0.928331	0.913276	0.930741	0.937968	0.934041	0.930789	0.935381	0.936416	0.937439	0.929824	0.917605
P00374_pKi	0.918434	0.918434	0.917698	0.906711	0.941061	0.945132	0.91349	0.91349	0.948314	0.948314	0.930745	0.923778	0.915317	0.939818	0.905948	0.924087
P00918_pKi	0.921285	0.921055	0.909642	0.913402	0.914961	0.925163	0.897008	0.90537	0.91514	0.923168	0.90063	0.915286	0.92583	0.927162	0.907119	0.917734
P03372_pKi	0.905069	0.905996	0.893691	0.898725	0.892091	0.907468	0.862049	0.894551	0.905758	0.906505	0.911521	0.906642	0.88329	0.882925	0.862756	0.886036
P03951_pKi	0.926561	0.921457	0.925936	0.925936	0.928646	0.918437	0.927083	0.927083	0.918542	0.918542	0.885415	0.885415	0.725	0.842916	0.798228	0.798228
P04062_pKi	0.80357	0.797333	0.777929	0.774284	0.821666	0.807764	0.769168	0.796787	0.785786	0.780859	0.684143	0.701286	0.68538	0.706666	0.680572	0.691476
P04150_pKi	0.918491	0.918269	0.912741	0.912741	0.892078	0.922272	0.895296	0.905006	0.900376	0.91882	0.894985	0.911664	0.919717	0.915976	0.898378	0.90523
P05121_pIC50	0.837837	0.858901	0.83219	0.835191	0.86452	0.862298	0.821049	0.842476	0.829588	0.827822	0.779847	0.789092	0.822303	0.822766	0.737915	0.789722
P06239_pKd	0.790163	0.819254	0.773364	0.841546	0.817647	0.817647	0.76061	0.773975	0.768362	0.768362	0.836205	0.836205	0.869405	0.882753	0.82247	0.82247
P07333_pIC50	0.904483	0.906274	0.873149	0.906729	0.690611	0.800324	0.622641	0.803024	0.857837	0.875959	0.794514	0.888143	0.752784	0.891992	0.73731	0.773946
P07711_pKi	0.857741	0.863339	0.851819	0.843628	0.871072	0.869377	0.865633	0.862625	0.854361	0.860278	0.846486	0.849565	0.870014	0.868671	0.853746	0.853746
P07858_pIC50	0.865869	0.864722	0.863928	0.855339	0.870248	0.872321	0.870379	0.870379	0.868926	0.867685	0.875902	0.880214	0.859433	0.865249	0.873564	0.863516
P08172_pIC50	0.916574	0.914496	0.902634	0.918798	0.904098	0.919615	0.917196	0.883526	0.925978	0.925978	0.916897	0.892005	0.928342	0.930569	0.918154	0.897744
P08684_pKi	0.931072	0.931072	0.914554	0.907233	0.82835	0.828928	0.61625	0.871251	0.832322	0.854376	0.865445	0.779377	0.827499	0.827499	0.80357	0.774375
P08908_pEC50	0.97064	0.974547	0.967615	0.967615	0.973397	0.974838	0.951567	0.970303	0.958335	0.977373	0.958342	0.963203	0.949242	0.977783	0.947101	0.966933
P0DMS8_pKi	0.886428	0.883578	0.862533	0.865452	0.884181	0.881581	0.856259	0.861807	0.869326	0.870677	0.842402	0.850142	0.87697	0.871834	0.849651	0.859211
P11387_pEC50	0.760625	0.800104	0.765728	0.755001	0.686457	0.787395	0.669064	0.677606	0.774998	0.774998	0.801146	0.801146	0.515417	0.815937	NA	0.562187
P12931_pKi	0.783113	0.801839	0.791654	0.791654	0.794064	0.795814	0.801629	0.804381	0.802115	0.799729	0.795898	0.794186	0.784497	0.792084	0.795168	0.797465
P13726_pIC50	0.932915	0.932915	0.929096	0.929096	0.860208	0.860208	0.870138	0.870138	0.932915	0.932915	0.92861	0.92861	0.918332	0.918332	0.931736	0.931736
