fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00311_pIC50	0.696384	0.683169	0.737574	0.737574	0.564571	0.753535	0.525799	0.578699	0.666447	0.666447	0.669679	0.669679	0.738874	0.694899	0.5	0.519178
O00329_pIC50	0.671887	0.683481	0.668402	0.672156	0.665406	0.678102	0.676672	0.686497	0.694958	0.687967	0.681419	0.687839	0.701341	0.691303	0.679142	0.68653
O00408_pIC50	0.935595	0.935595	0.946709	0.946709	0.933765	0.933765	0.951015	0.951015	0.973225	0.973225	0.9776	0.9776	0.848449	0.873917	0.837932	0.837932
O14684_pIC50	0.77205	0.77366	0.748209	0.767213	0.790132	0.778951	0.750382	0.766806	0.76254	0.75307	0.749826	0.747562	0.753082	0.765878	0.7492	0.758377
O14746_pIC50	0.809333	0.809333	0.810897	0.810897	0.807761	0.790085	0.764251	0.766657	0.776555	0.772611	0.769171	0.790922	0.743527	0.777811	0.745919	0.756925
O43318_pIC50	0.67875	0.67875	0.756251	0.756251	0.67875	0.67875	0.782501	0.782501	0.66125	0.711251	0.652916	0.612917	0.75125	0.75125	0.704167	0.702501
O43613_pKi	0.811561	0.804841	0.801542	0.801542	0.814904	0.802965	0.802375	0.818598	0.808049	0.804726	0.796901	0.77635	0.785861	0.802016	0.787374	0.798681
O60725_pIC50	0.850594	0.849107	0.818451	0.841607	0.815177	0.831726	0.807797	0.832678	0.838213	0.838213	0.849107	0.852023	0.791904	0.822975	0.788451	0.794108
O95136_pIC50	0.831119	0.857	0.865427	0.865427	0.831238	0.827357	0.843403	0.843403	0.830262	0.830262	0.801737	0.808499	0.805974	0.822619	0.816831	0.843333
O95822_pIC50	0.790946	0.817142	0.759825	0.813919	0.761943	0.761943	0.787924	0.787924	0.808752	0.761758	0.800795	0.775345	0.744662	0.78439	0.738586	0.792277
