fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00311_pIC50	0.937135	0.934634	0.938769	0.938769	0.928507	0.94164	0.920478	0.910594	0.934982	0.934982	0.93452	0.93452	0.937754	0.92661	0.92775	0.906485
O00329_pIC50	0.892043	0.89944	0.897497	0.89619	0.897631	0.897539	0.89702	0.897466	0.901893	0.901427	0.897759	0.903117	0.902887	0.898558	0.897371	0.897463
O00408_pIC50	0.957952	0.957952	0.964118	0.964118	0.955477	0.955477	0.968666	0.968666	0.976482	0.976482	0.980428	0.980428	0.908195	0.920682	0.907971	0.907971
O14684_pIC50	0.794707	0.798966	0.776881	0.792508	0.811115	0.800127	0.776774	0.79378	0.787654	0.782938	0.777408	0.777991	0.780448	0.792826	0.785922	0.786519
O14746_pIC50	0.726899	0.726899	0.739638	0.739638	0.727848	0.70427	0.663698	0.671018	0.686749	0.678731	0.677335	0.709732	0.62993	0.691708	0.639655	0.655988
O43318_pIC50	0.647408	0.647408	0.740661	0.740661	0.647408	0.647408	0.734039	0.734039	0.648912	0.714025	0.674985	0.638596	0.733188	0.733188	0.679829	0.686551
O43613_pKi	0.780356	0.767828	0.764074	0.764074	0.784518	0.766684	0.764838	0.784933	0.770459	0.765695	0.759555	0.732154	0.746884	0.76564	0.747472	0.760674
O60725_pIC50	0.798556	0.796069	0.756216	0.784584	0.747182	0.770076	0.741125	0.773967	0.781859	0.781859	0.798156	0.801056	0.721063	0.763493	0.714615	0.721104
O95136_pIC50	0.837371	0.859264	0.868787	0.868787	0.835945	0.829915	0.842573	0.842573	0.828565	0.828565	0.801938	0.814304	0.813943	0.82522	0.829662	0.846887
O95822_pIC50	0.904921	0.91952	0.892709	0.914547	0.890236	0.890236	0.908177	0.908177	0.917325	0.896312	0.91012	0.89471	0.887638	0.906741	0.883518	0.907432
O96017_pIC50	0.869668	0.887784	0.885902	0.885902	0.893085	0.885334	0.887996	0.902081	0.89995	0.895015	0.889634	0.888714	0.892425	0.903295	0.888854	0.89047
P00374_pKi	0.866519	0.866519	0.846474	0.854328	0.876151	0.882816	0.860629	0.860629	0.880232	0.880232	0.86596	0.859728	0.853585	0.888202	0.846558	0.853152
P00918_pKi	0.939208	0.939673	0.931277	0.931549	0.937826	0.940196	0.929137	0.931272	0.929891	0.936433	0.92381	0.931521	0.940276	0.941341	0.934362	0.935385
P03372_pKi	0.888312	0.887068	0.893031	0.892638	0.874008	0.891685	0.854246	0.87719	0.870095	0.875735	0.887161	0.877846	0.877909	0.859989	0.884227	0.865278
