N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00767_pIC50	302	76	166	0.82955	0.82955	0.85	0.85	0.82955	0.82955	0.85	0.85	0.82955	0.82955	0.85	0.85	0.82955	0.82955	0.85	0.85
O15229_pIC50	86	22	166	0.9	0.9	0.69412	0.69412	0.9	0.9	0.69412	0.69412	0.9	0.9	0.69412	0.69412	0.9	0.9	0.69412	0.69412
O15552_pIC50	108	28	166	0.60204	0.60204	0.62755	0.62755	0.60204	0.60204	0.62755	0.62755	0.60204	0.60204	0.62755	0.62755	0.60204	0.60204	0.62755	0.62755
O96017_pIC50	252	63	166	0.9375	0.9375	0.91026	0.91026	0.9375	0.9375	0.91026	0.91026	0.9375	0.9375	0.91026	0.91026	0.9375	0.9375	0.91026	0.91026
P00750_pIC50	93	24	166	0.92632	0.92632	0.85263	0.85263	0.92632	0.92632	0.85263	0.85263	0.92632	0.92632	0.85263	0.85263	0.92632	0.92632	0.85263	0.85263
P03951_pIC50	187	47	166	0.775	0.775	0.81146	0.81146	0.775	0.775	0.81146	0.81146	0.775	0.775	0.81146	0.81146	0.775	0.775	0.81146	0.81146
P04066_pIC50	54	14	166	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796	0.89796
P06401_pKi	388	98	166	0.80755	0.80755	0.78735	0.78735	0.80755	0.80755	0.78735	0.78735	0.80755	0.80755	0.78735	0.78735	0.80755	0.80755	0.78735	0.78735
P07550_pKd	78	20	166	0.87363	0.87363	0.79121	0.79121	0.87363	0.87363	0.79121	0.79121	0.87363	0.87363	0.79121	0.79121	0.87363	0.87363	0.79121	0.79121
P07711_pKi	380	96	166	0.88046	0.88046	0.88068	0.88068	0.88046	0.88046	0.88068	0.88068	0.88046	0.88046	0.88068	0.88068	0.88046	0.88046	0.88068	0.88068
P08173_pKi	264	66	166	0.86305	0.86305	0.85202	0.85202	0.86305	0.86305	0.85202	0.85202	0.86305	0.86305	0.85202	0.85202	0.86305	0.86305	0.85202	0.85202
P08253_pKi	578	145	166	0.83503	0.83503	0.84519	0.84519	0.83503	0.83503	0.84519	0.84519	0.83503	0.83503	0.84519	0.84519	0.83503	0.83503	0.84519	0.84519
P08842_pIC50	329	83	166	0.86939	0.86939	0.89455	0.89455	0.86939	0.86939	0.89455	0.89455	0.86939	0.86939	0.89455	0.89455	0.86939	0.86939	0.89455	0.89455
P08908_pEC50	503	126	166	0.97846	0.97846	0.97119	0.97119	0.97846	0.97846	0.97119	0.97119	0.97846	0.97846	0.97119	0.97119	0.97846	0.97846	0.97119	0.97119
P08913_pKi	500	125	166	0.84389	0.84389	0.83153	0.83153	0.84389	0.84389	0.83153	0.83153	0.84389	0.84389	0.83153	0.83153	0.84389	0.84389	0.83153	0.83153
P09211_pIC50	84	21	166	0.9898	0.9898	0.97959	0.97959	0.9898	0.9898	0.97959	0.97959	0.9898	0.9898	0.97959	0.97959	0.9898	0.9898	0.97959	0.97959
P10415_pEC50	128	32	166	0.97714	0.97714	0.97143	0.97143	0.97714	0.97714	0.97143	0.97143	0.97714	0.97714	0.97143	0.97143	0.97714	0.97714	0.97143	0.97143
P11309_pIC50	840	211	166	0.92302	0.92302	0.91222	0.91222	0.92302	0.92302	0.91222	0.91222	0.92302	0.92302	0.91222	0.91222	0.92302	0.92302	0.91222	0.91222
P11712_pIC50	1185	297	166	0.83038	0.83038	0.78894	0.78894	0.83038	0.83038	0.78894	0.78894	0.83038	0.83038	0.78894	0.78894	0.83038	0.83038	0.78894	0.78894
P12821_pIC50	464	117	166	0.94355	0.94355	0.95689	0.95689	0.94355	0.94355	0.95689	0.95689	0.94355	0.94355	0.95689	0.95689	0.94355	0.94355	0.95689	0.95689
P14061_pIC50	330	83	166	0.89062	0.89062	0.87747	0.87747	0.89062	0.89062	0.87747	0.87747	0.89062	0.89062	0.87747	0.87747	0.89062	0.89062	0.87747	0.87747
P15144_pIC50	189	48	166	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812	0.91812
P16109_pIC50	185	47	166	0.96607	0.96607	0.94821	0.94821	0.96607	0.96607	0.94821	0.94821	0.96607	0.96607	0.94821	0.94821	0.96607	0.96607	0.94821	0.94821
P16581_pIC50	227	57	166	0.99805	0.99805	0.9987	0.9987	0.99805	0.99805	0.9987	0.9987	0.99805	0.99805	0.9987	0.9987	0.99805	0.99805	0.9987	0.9987
P17706_pKi	91	23	166	0.88839	0.88839	0.87946	0.87946	0.88839	0.88839	0.87946	0.87946	0.88839	0.88839	0.87946	0.87946	0.88839	0.88839	0.87946	0.87946
P19793_pEC50	225	57	166	0.61349	0.61349	0.60556	0.60556	0.61349	0.61349	0.60556	0.60556	0.61349	0.61349	0.60556	0.60556	0.61349	0.61349	0.60556	0.60556
P20309_pKd	84	22	166	0.92083	0.92083	0.90417	0.90417	0.92083	0.92083	0.90417	0.90417	0.92083	0.92083	0.90417	0.90417	0.92083	0.92083	0.90417	0.90417
P20393_pEC50	55	14	166	0.75	0.75	0.83333	0.83333	0.75	0.75	0.83333	0.83333	0.75	0.75	0.83333	0.83333	0.75	0.75	0.83333	0.83333
P20618_pIC50	55	14	166	0.91667	0.91667	0.83333	0.83333	0.91667	0.91667	0.83333	0.83333	0.91667	0.91667	0.83333	0.83333	0.91667	0.91667	0.83333	0.83333
P20839_pIC50	48	12	166	0.8	0.8	0.67143	0.67143	0.8	0.8	0.67143	0.67143	0.8	0.8	0.67143	0.67143	0.8	0.8	0.67143	0.67143
P21397_pIC50	860	216	166	0.855	0.855	0.86222	0.86222	0.855	0.855	0.86222	0.86222	0.855	0.855	0.86222	0.86222	0.855	0.855	0.86222	0.86222
P21452_pKi	390	98	166	0.95643	0.95643	0.96224	0.96224	0.95643	0.95643	0.96224	0.96224	0.95643	0.95643	0.96224	0.96224	0.95643	0.95643	0.96224	0.96224
P21453_pEC50	1337	335	166	0.95274	0.95274	0.94782	0.94782	0.95274	0.95274	0.94782	0.94782	0.95274	0.95274	0.94782	0.94782	0.95274	0.95274	0.94782	0.94782
P23458_pIC50	516	130	166	0.79195	0.79195	0.8076	0.8076	0.79195	0.79195	0.8076	0.8076	0.79195	0.79195	0.8076	0.8076	0.79195	0.79195	0.8076	0.8076
P23946_pIC50	271	68	166	0.75	0.75	0.74061	0.74061	0.75	0.75	0.74061	0.74061	0.75	0.75	0.74061	0.74061	0.75	0.75	0.74061	0.74061
P25025_pKi	192	48	166	0.89355	0.89355	0.89746	0.89746	0.89355	0.89355	0.89746	0.89746	0.89355	0.89355	0.89746	0.89746	0.89355	0.89355	0.89746	0.89746
P28221_pKi	596	149	166	0.92361	0.92361	0.90144	0.90144	0.92361	0.92361	0.90144	0.90144	0.92361	0.92361	0.90144	0.90144	0.92361	0.92361	0.90144	0.90144
P28222_pKi	528	132	166	0.84719	0.84719	0.84422	0.84422	0.84719	0.84719	0.84422	0.84422	0.84719	0.84719	0.84422	0.84422	0.84719	0.84719	0.84422	0.84422
P28335_pEC50	452	114	166	0.78993	0.78993	0.82378	0.82378	0.78993	0.78993	0.82378	0.82378	0.78993	0.78993	0.82378	0.82378	0.78993	0.78993	0.82378	0.82378
P29274_pIC50	160	40	166	0.7957	0.7957	0.80108	0.80108	0.7957	0.7957	0.80108	0.80108	0.7957	0.7957	0.80108	0.80108	0.7957	0.7957	0.80108	0.80108
P29275_pKi	1134	284	166	0.94353	0.94353	0.9347	0.9347	0.94353	0.94353	0.9347	0.9347	0.94353	0.94353	0.9347	0.9347	0.94353	0.94353	0.9347	0.9347
P29375_pIC50	305	77	166	0.98978	0.98978	0.98656	0.98656	0.98978	0.98978	0.98656	0.98656	0.98978	0.98978	0.98656	0.98656	0.98978	0.98978	0.98656	0.98656
P29466_pKi	260	66	166	0.86759	0.86759	0.88009	0.88009	0.86759	0.86759	0.88009	0.88009	0.86759	0.86759	0.88009	0.88009	0.86759	0.86759	0.88009	0.88009
P30291_pIC50	228	58	166	0.91006	0.91006	0.82785	0.82785	0.91006	0.91006	0.82785	0.82785	0.91006	0.91006	0.82785	0.82785	0.91006	0.91006	0.82785	0.82785
P30542_pIC50	159	40	166	0.87109	0.87109	0.82422	0.82422	0.87109	0.87109	0.82422	0.82422	0.87109	0.87109	0.82422	0.82422	0.87109	0.87109	0.82422	0.82422
P32238_pIC50	260	65	166	0.95704	0.95704	0.94151	0.94151	0.95704	0.95704	0.94151	0.94151	0.95704	0.95704	0.94151	0.94151	0.95704	0.95704	0.94151	0.94151
P34913_pIC50	1266	317	166	0.84835	0.84835	0.81815	0.81815	0.84835	0.84835	0.81815	0.81815	0.84835	0.84835	0.81815	0.81815	0.84835	0.84835	0.81815	0.81815
P35236_pIC50	364	91	166	0.81262	0.81262	0.81633	0.81633	0.81262	0.81262	0.81633	0.81633	0.81262	0.81262	0.81633	0.81633	0.81262	0.81262	0.81633	0.81633
P35348_pKi	888	222	166	0.93247	0.93247	0.94549	0.94549	0.93247	0.93247	0.94549	0.94549	0.93247	0.93247	0.94549	0.94549	0.93247	0.93247	0.94549	0.94549
P35354_pIC50	2278	570	166	0.86979	0.86979	0.84316	0.84316	0.86979	0.86979	0.84316	0.84316	0.86979	0.86979	0.84316	0.84316	0.86979	0.86979	0.84316	0.84316
P35368_pKi	758	190	166	0.75316	0.75316	0.79185	0.79185	0.75316	0.75316	0.79185	0.79185	0.75316	0.75316	0.79185	0.79185	0.75316	0.75316	0.79185	0.79185
P35462_pKi	2507	627	166	0.87628	0.87628	0.85077	0.85077	0.87628	0.87628	0.85077	0.85077	0.87628	0.87628	0.85077	0.85077	0.87628	0.87628	0.85077	0.85077
P36544_pKi	292	73	166	0.90451	0.90451	0.91541	0.91541	0.90451	0.90451	0.91541	0.91541	0.90451	0.90451	0.91541	0.91541	0.90451	0.90451	0.91541	0.91541
P36888_pKd	102	26	166	0.83333	0.83333	0.8366	0.8366	0.83333	0.83333	0.8366	0.8366	0.83333	0.83333	0.8366	0.8366	0.83333	0.83333	0.8366	0.8366
P39900_pIC50	280	71	166	0.87666	0.87666	0.85382	0.85382	0.87666	0.87666	0.85382	0.85382	0.87666	0.87666	0.85382	0.85382	0.87666	0.87666	0.85382	0.85382
P41595_pKi	725	182	166	0.84297	0.84297	0.78656	0.78656	0.84297	0.84297	0.78656	0.78656	0.84297	0.84297	0.78656	0.78656	0.84297	0.84297	0.78656	0.78656
P42338_pIC50	746	187	166	0.94566	0.94566	0.93896	0.93896	0.94566	0.94566	0.93896	0.93896	0.94566	0.94566	0.93896	0.93896	0.94566	0.94566	0.93896	0.93896
P48730_pIC50	84	22	166	0.80342	0.80342	0.81197	0.81197	0.80342	0.80342	0.81197	0.81197	0.80342	0.80342	0.81197	0.81197	0.80342	0.80342	0.81197	0.81197
P49146_pKi	142	36	166	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846	0.93846
P49356_pIC50	514	129	166	0.8664	0.8664	0.90789	0.90789	0.8664	0.8664	0.90789	0.90789	0.8664	0.8664	0.90789	0.90789	0.8664	0.8664	0.90789	0.90789
P50281_pKi	117	30	166	0.88444	0.88444	0.93778	0.93778	0.88444	0.88444	0.93778	0.93778	0.88444	0.88444	0.93778	0.93778	0.88444	0.88444	0.93778	0.93778
P51452_pIC50	390	98	166	0.83092	0.83092	0.78956	0.78956	0.83092	0.83092	0.78956	0.78956	0.83092	0.83092	0.78956	0.78956	0.83092	0.83092	0.78956	0.78956
P51582_pEC50	70	18	166	0.625	0.625	0.72222	0.72222	0.625	0.625	0.72222	0.72222	0.625	0.625	0.72222	0.72222	NA	0.625	NA	0.72222
P51679_pIC50	212	54	166	0.8594	0.8594	0.85117	0.85117	0.8594	0.8594	0.85117	0.85117	0.8594	0.8594	0.85117	0.85117	0.8594	0.8594	0.85117	0.85117
P51955_pIC50	92	23	166	0.64286	0.64286	0.66667	0.66667	0.64286	0.64286	0.66667	0.66667	0.64286	0.64286	0.66667	0.66667	0.64286	0.64286	0.66667	0.66667
P52732_pIC50	561	141	166	0.833	0.833	0.84644	0.84644	0.833	0.833	0.84644	0.84644	0.833	0.833	0.84644	0.84644	0.833	0.833	0.84644	0.84644
P53779_pIC50	696	174	166	0.94664	0.94664	0.93221	0.93221	0.94664	0.94664	0.93221	0.93221	0.94664	0.94664	0.93221	0.93221	0.94664	0.94664	0.93221	0.93221
P55263_pIC50	303	76	166	0.87768	0.87768	0.89821	0.89821	0.87768	0.87768	0.89821	0.89821	0.87768	0.87768	0.89821	0.89821	0.87768	0.87768	0.89821	0.89821
P56817_pIC50	2522	631	166	0.90291	0.90291	0.87481	0.87481	0.90291	0.90291	0.87481	0.87481	0.90291	0.90291	0.87481	0.87481	0.90291	0.90291	0.87481	0.87481
P78536_pKi	288	72	166	0.79121	0.79121	0.86154	0.86154	0.79121	0.79121	0.86154	0.86154	0.79121	0.79121	0.86154	0.86154	0.79121	0.79121	0.86154	0.86154
Q02083_pIC50	75	19	166	0.80357	0.80357	0.89881	0.89881	0.80357	0.80357	0.89881	0.89881	0.80357	0.80357	0.89881	0.89881	0.80357	0.80357	0.89881	0.89881
Q02127_pIC50	292	74	166	0.80441	0.80441	0.83934	0.83934	0.80441	0.80441	0.83934	0.83934	0.80441	0.80441	0.83934	0.83934	0.80441	0.80441	0.83934	0.83934
Q04759_pIC50	368	92	166	0.71801	0.71801	0.80506	0.80506	0.71801	0.71801	0.80506	0.80506	0.71801	0.71801	0.80506	0.80506	0.71801	0.71801	0.80506	0.80506
Q06187_pIC50	486	122	166	0.86937	0.86937	0.88124	0.88124	0.86937	0.86937	0.88124	0.88124	0.86937	0.86937	0.88124	0.88124	0.86937	0.86937	0.88124	0.88124
Q08881_pIC50	416	104	166	0.78104	0.78104	0.81763	0.81763	0.78104	0.78104	0.81763	0.81763	0.78104	0.78104	0.81763	0.81763	0.78104	0.78104	0.81763	0.81763
Q13258_pIC50	228	57	166	0.92602	0.92602	0.97577	0.97577	0.92602	0.92602	0.97577	0.97577	0.92602	0.92602	0.97577	0.97577	0.92602	0.92602	0.97577	0.97577
Q13464_pIC50	373	94	166	0.89702	0.89702	0.94286	0.94286	0.89702	0.89702	0.94286	0.94286	0.89702	0.89702	0.94286	0.94286	0.89702	0.89702	0.94286	0.94286
