N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00767_pIC50	302	76	166	0.52727	0.52727	0.58485	0.58485	0.52727	0.52727	0.58485	0.58485	0.52727	0.52727	0.58485	0.58485	0.52727	0.52727	0.58485	0.58485
O15229_pIC50	86	22	166	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
O15552_pIC50	108	28	166	0.64286	0.64286	0.67857	0.67857	0.64286	0.64286	0.67857	0.67857	0.64286	0.64286	0.67857	0.67857	0.64286	0.64286	0.67857	0.67857
O96017_pIC50	252	63	166	0.84936	0.84936	0.82372	0.82372	0.84936	0.84936	0.82372	0.82372	0.84936	0.84936	0.82372	0.82372	0.84936	0.84936	0.82372	0.82372
P00750_pIC50	93	24	166	0.6	0.6	0.57368	0.57368	0.6	0.6	0.57368	0.57368	0.6	0.6	0.57368	0.57368	0.6	0.6	0.57368	0.57368
P03951_pIC50	187	47	166	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771	0.71771
P04066_pIC50	54	14	166	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571	0.78571
P06401_pKi	388	98	166	0.64482	0.64482	0.65091	0.65091	0.64482	0.64482	0.65091	0.65091	0.64482	0.64482	0.65091	0.65091	0.64482	0.64482	0.65091	0.65091
P07550_pKd	78	20	166	0.81868	0.81868	0.74725	0.74725	0.81868	0.81868	0.74725	0.74725	0.81868	0.81868	0.74725	0.74725	0.81868	0.81868	0.74725	0.74725
P07711_pKi	380	96	166	0.83566	0.83566	0.84703	0.84703	0.83566	0.83566	0.84703	0.84703	0.83566	0.83566	0.84703	0.84703	0.83566	0.83566	0.84703	0.84703
P08173_pKi	264	66	166	0.78493	0.78493	0.7546	0.7546	0.78493	0.78493	0.7546	0.7546	0.78493	0.78493	0.7546	0.7546	0.78493	0.78493	0.7546	0.7546
P08253_pKi	578	145	166	0.72545	0.72545	0.71263	0.71263	0.72545	0.72545	0.71263	0.71263	0.72545	0.72545	0.71263	0.71263	0.72545	0.72545	0.71263	0.71263
P08842_pIC50	329	83	166	0.78879	0.78879	0.82909	0.82909	0.78879	0.78879	0.82909	0.82909	0.78879	0.78879	0.82909	0.82909	0.78879	0.78879	0.82909	0.82909
P08908_pEC50	503	126	166	0.90988	0.90988	0.94568	0.94568	0.90988	0.90988	0.94568	0.94568	0.90988	0.90988	0.94568	0.94568	0.90988	0.90988	0.94568	0.94568
P08913_pKi	500	125	166	0.69375	0.69375	0.74097	0.74097	0.69375	0.69375	0.74097	0.74097	0.69375	0.69375	0.74097	0.74097	0.69375	0.69375	0.74097	0.74097
P09211_pIC50	84	21	166	0.92857	0.92857	0.82143	0.82143	0.92857	0.92857	0.82143	0.82143	0.92857	0.92857	0.82143	0.82143	0.92857	0.92857	0.82143	0.82143
P10415_pEC50	128	32	166	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714	0.83714
