N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00767_pIC50	302	76	166	0.91304	0.91304	0.92754	0.92754	0.91304	0.91304	0.92754	0.92754	0.91304	0.91304	0.92754	0.92754	0.91304	0.91304	0.92754	0.92754
O15229_pIC50	86	22	166	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474	0.89474
O15552_pIC50	108	28	166	0.58333	0.58333	0.6087	0.6087	0.58333	0.58333	0.6087	0.6087	0.58333	0.58333	0.6087	0.6087	0.58333	0.58333	0.6087	0.6087
O96017_pIC50	252	63	166	0.90244	0.90244	0.875	0.875	0.90244	0.90244	0.875	0.875	0.90244	0.90244	0.875	0.875	0.90244	0.90244	0.875	0.875
P00750_pIC50	93	24	166	0.33333	0.33333	0.28571	0.28571	0.33333	0.33333	0.28571	0.28571	0.33333	0.33333	0.28571	0.28571	0.33333	0.33333	0.28571	0.28571
P03951_pIC50	187	47	166	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087	0.6087
P04066_pIC50	54	14	166	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
P06401_pKi	388	98	166	0.8982	0.8982	0.90476	0.90476	0.8982	0.8982	0.90476	0.90476	0.8982	0.8982	0.90476	0.90476	0.8982	0.8982	0.90476	0.90476
P07550_pKd	78	20	166	0.76923	0.76923	0.66667	0.66667	0.76923	0.76923	0.66667	0.66667	0.76923	0.76923	0.66667	0.66667	0.76923	0.76923	0.66667	0.66667
P07711_pKi	380	96	166	0.82609	0.82609	0.83871	0.83871	0.82609	0.82609	0.83871	0.83871	0.82609	0.82609	0.83871	0.83871	0.82609	0.82609	0.83871	0.83871
P08173_pKi	264	66	166	0.81081	0.81081	0.78378	0.78378	0.81081	0.81081	0.78378	0.78378	0.81081	0.81081	0.78378	0.78378	0.81081	0.81081	0.78378	0.78378
P08253_pKi	578	145	166	0.86636	0.86636	0.86239	0.86239	0.86636	0.86636	0.86239	0.86239	0.86636	0.86636	0.86239	0.86239	0.86636	0.86636	0.86239	0.86239
P08842_pIC50	329	83	166	0.82828	0.82828	0.85714	0.85714	0.82828	0.82828	0.85714	0.85714	0.82828	0.82828	0.85714	0.85714	0.82828	0.82828	0.85714	0.85714
P08908_pEC50	503	126	166	0.89412	0.89412	0.91667	0.91667	0.89412	0.89412	0.91667	0.91667	0.89412	0.89412	0.91667	0.91667	0.89412	0.89412	0.91667	0.91667
P08913_pKi	500	125	166	0.78261	0.78261	0.82209	0.82209	0.78261	0.78261	0.82209	0.82209	0.78261	0.78261	0.82209	0.82209	0.78261	0.78261	0.82209	0.82209
P09211_pIC50	84	21	166	0.92308	0.92308	0.76923	0.76923	0.92308	0.92308	0.76923	0.76923	0.92308	0.92308	0.76923	0.76923	0.92308	0.92308	0.76923	0.76923
P10415_pEC50	128	32	166	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923
P11309_pIC50	840	211	166	0.95291	0.95291	0.93699	0.93699	0.95291	0.95291	0.93699	0.93699	0.95291	0.95291	0.93699	0.93699	0.95291	0.95291	0.93699	0.93699
P11712_pIC50	1185	297	166	0.45652	0.45652	0.27586	0.27586	0.45652	0.45652	0.27586	0.27586	0.45652	0.45652	0.27586	0.27586	0.45652	0.45652	0.27586	0.27586
