fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00767_pIC50	19	37	22	35	15	61	18	67	22	56	21	45	6	30	7	16
O15229_pIC50	13	13	12	19	2	4	1	2	10	24	9	21	1	23	1	25
O15552_pIC50	12	13	12	12	4	26	1	9	14	20	15	15	13	28	1	24
O96017_pIC50	38	55	28	31	12	29	17	21	43	64	32	38	23	96	23	88
P00750_pIC50	10	10	16	16	4	13	6	23	7	7	6	6	3	3	3	3
P03951_pIC50	13	39	10	17	7	12	8	28	18	46	24	42	15	23	19	20
P04066_pIC50	6	6	8	8	2	6	2	2	13	13	9	13	2	2	2	2
P06401_pKi	27	54	35	44	25	76	20	130	36	45	37	48	29	53	30	40
P07550_pKd	9	11	6	6	5	11	7	9	9	9	7	7	5	13	4	18
P07711_pKi	32	75	33	41	37	58	21	58	39	51	29	36	6	23	14	24
P08173_pKi	26	28	18	21	23	43	14	29	39	63	21	23	27	47	24	87
P08253_pKi	23	61	25	62	50	118	31	85	39	61	37	66	34	93	29	48
P08842_pIC50	26	29	24	57	18	89	16	71	11	67	24	57	37	86	27	66
P08908_pEC50	32	55	30	33	33	84	29	104	59	136	60	82	41	96	38	109
P08913_pKi	23	23	29	78	25	63	46	70	32	45	23	80	19	66	34	61
P09211_pIC50	7	19	11	22	8	62	11	28	14	15	14	16	12	15	8	11
P10415_pEC50	11	23	6	28	13	14	12	12	21	21	23	25	5	17	8	33
P11309_pIC50	46	70	39	62	36	92	24	98	51	69	39	55	29	74	30	82
P11712_pIC50	39	82	41	51	31	102	37	91	42	75	36	56	51	83	39	110
P12821_pIC50	41	68	25	60	38	105	35	67	31	71	32	50	45	117	38	67
