fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00767_pIC50	0.816026	0.820667	0.776963	0.794404	0.624018	0.771842	0.66156	0.80582	0.785275	0.808547	0.771039	0.746854	0.724264	0.734275	0.708217	0.757545
O15229_pIC50	0.751091	0.751091	0.76155	0.80742	0.595002	0.595002	0.5	0.5	0.683811	0.693294	0.662878	0.68254	0.536546	0.675277	0.536546	0.653969
O15552_pIC50	0.842466	0.825034	0.841266	0.841266	0.7596	0.792967	0.5	0.774099	0.850766	0.849266	0.852966	0.852966	0.645766	0.818734	0.603499	0.683666
O96017_pIC50	0.926434	0.922031	0.912349	0.912932	0.883139	0.913062	0.893687	0.898063	0.911812	0.932509	0.88495	0.886081	0.883911	0.944715	0.875265	0.90124
P00750_pIC50	0.962366	0.962366	0.940312	0.940312	0.909792	0.958571	0.951577	0.938825	0.908973	0.908973	0.940267	0.940267	0.741399	0.741399	0.739032	0.739032
P03951_pIC50	0.663291	0.744786	0.677806	0.719441	0.754065	0.727781	0.774272	0.791943	0.7437	0.740735	0.751414	0.745633	0.753364	0.754119	0.764804	0.764804
P04066_pIC50	0.899999	0.899999	0.909445	0.909445	0.854999	0.854999	0.854999	0.854999	0.776112	0.776112	0.722498	0.723057	0.730279	0.730279	0.730279	0.730279
P06401_pKi	0.924768	0.919605	0.919498	0.923326	0.889786	0.9033	0.87616	0.923626	0.914133	0.914113	0.91184	0.915669	0.865861	0.887925	0.856233	0.87804
P07550_pKd	0.957167	0.952416	0.933333	0.933333	0.789584	0.972166	0.796168	0.928084	0.922582	0.922582	0.914333	0.914333	0.625249	0.932751	0.598584	0.932083
P07711_pKi	0.827426	0.835344	0.845352	0.842298	0.832815	0.83922	0.834044	0.842783	0.837548	0.840499	0.856612	0.85342	0.785876	0.811301	0.805912	0.838043
P08173_pKi	0.878648	0.876991	0.848141	0.84619	0.864736	0.883177	0.842994	0.842101	0.895788	0.888695	0.866706	0.858205	0.877593	0.88002	0.857923	0.86922
P08253_pKi	0.848628	0.86788	0.846921	0.872113	0.85249	0.873161	0.821207	0.873571	0.871628	0.866244	0.873662	0.878256	0.844885	0.859545	0.835757	0.847369
P08842_pIC50	0.904865	0.90438	0.897134	0.897545	0.881285	0.908429	0.889414	0.904895	0.87084	0.908753	0.878266	0.902	0.901124	0.905559	0.896028	0.910583
P08908_pEC50	0.970764	0.976584	0.960617	0.963773	0.962875	0.974502	0.953142	0.959609	0.959421	0.973251	0.938805	0.950256	0.90628	0.964206	0.902789	0.950626
P08913_pKi	0.879811	0.879811	0.888102	0.893922	0.862577	0.872916	0.881328	0.887895	0.86443	0.872797	0.838316	0.870987	0.84483	0.880154	0.871561	0.861986
P09211_pIC50	0.850225	0.917638	0.902278	0.908889	0.472973	0.905944	0.536001	0.912971	0.901083	0.892029	0.900694	0.900694	0.891723	0.888611	0.758832	0.852862
P10415_pEC50	0.873918	0.870583	0.866085	0.878583	0.868002	0.887333	0.8765	0.8765	0.908666	0.908666	0.8725	0.870833	0.660667	0.853501	0.729999	0.839834
P11309_pIC50	0.936525	0.933247	0.919237	0.926295	0.890614	0.934842	0.81709	0.922237	0.923702	0.925061	0.907089	0.902813	0.913274	0.915001	0.88566	0.906219
P11712_pIC50	0.766982	0.780405	0.755201	0.75856	0.720828	0.777521	0.73268	0.754975	0.754851	0.769729	0.746271	0.750177	0.740341	0.765802	0.722113	0.751299
P12821_pIC50	0.920619	0.929611	0.913586	0.924921	0.915901	0.925041	0.911346	0.91015	0.906633	0.925832	0.897438	0.907194	0.899094	0.920569	0.891339	0.906652
P14061_pIC50	0.858444	0.860428	0.835672	0.842711	0.817277	0.873717	0.80534	0.857701	0.860159	0.88307	0.842026	0.848024	0.778606	0.851502	0.766626	0.849725
P15144_pIC50	0.899993	0.899993	0.902285	0.902285	0.793717	0.797918	0.803001	0.880786	0.879284	0.881159	0.787833	0.823118	0.833134	0.833134	0.793751	0.784111
P16109_pIC50	0.875114	0.875114	0.90023	0.919545	0.708489	0.931923	0.711187	0.915742	0.848419	0.85941	0.835478	0.845445	0.75467	0.834214	0.743115	0.845604
P16581_pIC50	0.985099	0.98263	0.983423	0.983616	0.894777	0.98257	0.891228	0.929935	0.970677	0.981002	0.967901	0.967901	0.505094	0.941087	0.516765	0.9745
P17706_pKi	0.954287	0.951507	0.954047	0.951389	0.563848	0.841509	0.5	0.918173	0.914206	0.940556	0.939207	0.919523	0.82226	0.826825	0.620716	0.620716
P19793_pEC50	0.831772	0.847568	0.827326	0.869771	0.829829	0.851786	0.838514	0.845033	0.81528	0.841049	0.830509	0.840711	0.6903	0.824948	0.589958	0.775566
P20309_pKd	0.988874	0.988874	0.988874	0.988874	0.988874	0.988874	0.988874	0.988874	0.940186	0.941938	0.912686	0.917563	0.881124	0.889436	0.8845	0.890936
P20393_pEC50	0.891666	0.881666	0.891666	0.891666	0.808335	0.808335	0.808335	0.808335	0.885556	0.884723	0.884167	0.884167	0.808335	0.891666	0.808335	0.891666
P20618_pIC50	0.829165	0.829165	0.829165	0.829165	0.829165	0.829165	0.768332	0.827223	0.821668	0.829999	0.647775	0.647775	0.658888	0.658888	0.669444	0.637778
P20839_pIC50	0.88625	0.88625	0.76875	0.786667	0.5	0.536666	0.5	0.5	0.861666	0.861666	0.742916	0.742916	0.673332	0.75	0.623334	0.737501
P21397_pIC50	0.865595	0.876982	0.835436	0.862554	0.868054	0.87695	0.856862	0.860454	0.874127	0.879022	0.852138	0.859385	0.878425	0.879504	0.857472	0.859768
P21452_pKi	0.912795	0.907748	0.89052	0.890348	0.899282	0.913188	0.874479	0.879389	0.883599	0.90756	0.887222	0.900949	0.876836	0.906017	0.883177	0.897863
P21453_pEC50	0.940683	0.941319	0.935934	0.938529	0.937079	0.943127	0.922795	0.938641	0.932644	0.940959	0.930245	0.941662	0.934894	0.939681	0.926208	0.943278
P23458_pIC50	0.849846	0.855395	0.860722	0.856419	0.776252	0.864359	0.739362	0.855071	0.83763	0.854818	0.816005	0.824047	0.839668	0.840414	0.82854	0.841381
P23946_pIC50	0.773472	0.765994	0.784779	0.786093	0.771406	0.771406	0.746517	0.777714	0.731808	0.775507	0.751667	0.726057	0.755175	0.759259	0.735805	0.756131
P25025_pKi	0.96652	0.965628	0.963286	0.970344	0.551057	0.94043	0.556706	0.963914	0.945841	0.948412	0.958326	0.959917	0.903658	0.904073	0.951652	0.951908
P28221_pKi	0.908394	0.907372	0.898631	0.897954	0.893455	0.914224	0.856061	0.902397	0.89543	0.896191	0.860776	0.863416	0.912544	0.916876	0.866021	0.89384
P28222_pKi	0.867474	0.864279	0.872003	0.862197	0.774004	0.87901	0.788614	0.864322	0.856611	0.869346	0.840333	0.829983	0.842115	0.868998	0.833742	0.848998
P28335_pEC50	0.738427	0.72581	0.720316	0.720316	0.636841	0.715492	0.584843	0.662219	0.705796	0.698307	0.678898	0.693284	0.657181	0.71353	0.591164	0.696843
P29274_pIC50	0.864629	0.876587	0.853542	0.863924	0.5	0.861995	0.5	0.755272	0.828598	0.804423	0.819534	0.84464	0.74633	0.79629	0.799671	0.793438
P29275_pKi	0.905461	0.906113	0.890912	0.891743	0.898639	0.908967	0.875546	0.89338	0.890394	0.889531	0.886281	0.885775	0.893189	0.894782	0.881474	0.890837
P29375_pIC50	0.958499	0.958499	0.952563	0.952563	0.805318	0.951729	0.7975	0.891012	0.962238	0.962238	0.958426	0.958426	0.953367	0.970314	0.893002	0.961578
P29466_pKi	0.868655	0.882622	0.887625	0.895855	0.860895	0.881229	0.849177	0.876282	0.893308	0.891612	0.884473	0.878603	0.890355	0.881655	0.857034	0.890635
