fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00767_pIC50	0.628441	0.605287	0.614475	0.622457	0.594773	0.593124	0.621652	0.592585	0.602361	0.604839	0.551424	0.598151	0.504302	0.57617	0.510248	0.571975
O15229_pIC50	0.614523	0.614523	0.601071	0.676311	0.595002	0.595002	0.5	0.5	0.630952	0.670237	0.572738	0.484643	0.5	0.52381	0.5	0.51381
O15552_pIC50	0.716665	0.7055	0.702168	0.702168	0.7395	0.745999	0.5	0.728834	0.755833	0.759667	0.746833	0.746833	0.646167	0.721499	0.603499	0.682502
O96017_pIC50	0.822584	0.841042	0.814757	0.829382	0.806902	0.833002	0.827215	0.829014	0.814048	0.848001	0.793737	0.79973	0.814521	0.86709	0.820667	0.808284
P00750_pIC50	0.870298	0.870298	0.795119	0.795119	0.727054	0.802143	0.789702	0.786994	0.77357	0.77357	0.809762	0.809762	0.582202	0.582202	0.579523	0.579523
P03951_pIC50	0.673744	0.695271	0.676519	0.702718	0.688665	0.68004	0.673315	0.725346	0.696878	0.702212	0.681992	0.707186	0.700064	0.737409	0.709385	0.709385
P04066_pIC50	0.821666	0.821666	0.819168	0.819168	0.854999	0.854999	0.854999	0.854999	0.709166	0.709166	0.709166	0.711666	0.683332	0.683332	0.683332	0.683332
P06401_pKi	0.75278	0.76013	0.747094	0.771122	0.738657	0.753573	0.716165	0.78066	0.728752	0.727089	0.737117	0.739367	0.647726	0.678165	0.624384	0.651911
P07550_pKd	0.868668	0.846833	0.869414	0.869414	0.689833	0.892	0.6845	0.879832	0.874168	0.874168	0.849417	0.849417	0.534164	0.859333	0.5	0.880916
P07711_pKi	0.761941	0.752493	0.764437	0.755371	0.756554	0.766028	0.741195	0.748065	0.777625	0.771643	0.756144	0.765903	0.726231	0.721251	0.739326	0.739896
P08173_pKi	0.808563	0.807774	0.762976	0.768501	0.790527	0.809453	0.760777	0.757011	0.804249	0.817628	0.799964	0.797235	0.823791	0.808389	0.811471	0.800431
P08253_pKi	0.734535	0.743582	0.717231	0.74219	0.732139	0.748148	0.718377	0.744801	0.751408	0.755781	0.728472	0.742645	0.720025	0.756697	0.698027	0.710988
P08842_pIC50	0.839283	0.829255	0.856714	0.839403	0.847047	0.840709	0.85728	0.844732	0.780053	0.837241	0.793046	0.83745	0.853782	0.838005	0.845572	0.85226
P08908_pEC50	0.907254	0.91963	0.893635	0.901436	0.903371	0.916918	0.877878	0.89072	0.892262	0.917787	0.862107	0.869634	0.849268	0.902441	0.813747	0.864277
P08913_pKi	0.765767	0.765767	0.780337	0.785968	0.756995	0.754182	0.775098	0.787692	0.755584	0.758876	0.724478	0.780122	0.737618	0.769323	0.774634	0.753711
P09211_pIC50	0.759165	0.810501	0.807832	0.853333	0.524834	0.851999	0.476333	0.788834	0.795	0.784002	0.749333	0.749333	0.814833	0.836666	0.666165	0.811499
P10415_pEC50	0.848332	0.738333	0.836332	0.734333	0.836332	0.770001	0.844999	0.844999	0.854332	0.854332	0.852166	0.853166	0.5	0.823666	0.5	0.773167
P11309_pIC50	0.767555	0.77242	0.749423	0.744631	0.742797	0.762058	0.746958	0.739293	0.778334	0.772272	0.757567	0.751709	0.773536	0.775956	0.723194	0.75409
P11712_pIC50	0.643712	0.657849	0.619573	0.612835	0.626137	0.657788	0.603697	0.616403	0.654436	0.649348	0.600221	0.599858	0.643738	0.661609	0.546338	0.602073
