fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
O00767_pIC50	0.929445	0.919733	0.929636	0.93229	0.925953	0.927751	0.933773	0.926023	0.923456	0.928505	0.926148	0.92842	0.922344	0.921355	0.926238	0.931701
O15229_pIC50	0.835512	0.835512	0.8357	0.857872	0.884841	0.884841	0.86036	0.86036	0.849789	0.848141	0.832946	0.776473	0.86036	0.804751	0.86036	0.795557
O15552_pIC50	0.706897	0.680455	0.661069	0.661069	0.677584	0.674976	0	0.656118	0.74078	0.749676	0.73294	0.73294	0.648136	0.675655	0.633292	0.664456
O96017_pIC50	0.873261	0.885506	0.863385	0.873442	0.849098	0.873949	0.866312	0.869467	0.867796	0.895007	0.841261	0.847244	0.849396	0.897998	0.850773	0.856389
P00750_pIC50	0.811715	0.811715	0.668738	0.668738	0.546953	0.669048	0.652143	0.642666	0.642667	0.642667	0.709049	0.709049	0.235667	0.235667	0.235667	0.235667
P03951_pIC50	0.532281	0.561618	0.52719	0.569458	0.537908	0.522932	0.50579	0.607433	0.565537	0.57507	0.546483	0.581598	0.582594	0.626512	0.587608	0.587608
P04066_pIC50	0.779	0.779	0.79519	0.79519	0.828142	0.828142	0.828142	0.828142	0.673523	0.673523	0.681689	0.704095	0.627928	0.627928	0.627928	0.627928
P06401_pKi	0.93376	0.936138	0.932864	0.939298	0.927832	0.929085	0.924529	0.939712	0.929423	0.928612	0.927412	0.925937	0.910806	0.913739	0.906568	0.913228
P07550_pKd	0.829597	0.796119	0.834477	0.834477	0.534571	0.858642	0.520762	0.844857	0.833427	0.833427	0.802311	0.802311	0.101667	0.813072	0	0.843215
P07711_pKi	0.741438	0.728427	0.741088	0.732781	0.731044	0.741074	0.710081	0.722807	0.754956	0.747664	0.728946	0.740775	0.704895	0.68417	0.716527	0.714314
P08173_pKi	0.814574	0.814419	0.780987	0.7856	0.803481	0.817998	0.78226	0.772207	0.81257	0.823593	0.81682	0.811101	0.831382	0.82051	0.827628	0.812093
P08253_pKi	0.889652	0.88709	0.889187	0.895314	0.886155	0.891922	0.890596	0.894514	0.891951	0.890877	0.888938	0.894802	0.879709	0.893893	0.882483	0.885398
P08842_pIC50	0.868993	0.865587	0.878404	0.868195	0.868589	0.871358	0.880166	0.874432	0.813309	0.866769	0.838046	0.868332	0.878842	0.864629	0.874383	0.875938
P08908_pEC50	0.881488	0.898242	0.862754	0.872213	0.876127	0.893441	0.844105	0.859465	0.862872	0.897246	0.821946	0.832251	0.803646	0.876398	0.760167	0.826085
P08913_pKi	0.839872	0.839872	0.853852	0.859804	0.835929	0.838799	0.850475	0.860953	0.836363	0.841871	0.821586	0.853565	0.828599	0.850455	0.854525	0.833495
P09211_pIC50	0.668993	0.729071	0.732383	0.792667	0.108335	0.790665	0	0.697953	0.709089	0.696874	0.64135	0.64135	0.737024	0.771286	0.484405	0.737571
P10415_pEC50	0.712158	0.553849	0.688564	0.546253	0.690452	0.567429	0.707333	0.707333	0.726364	0.726364	0.719651	0.721436	0	0.674452	0	0.608967
P11309_pIC50	0.939246	0.938006	0.934494	0.932171	0.931313	0.934702	0.916959	0.930731	0.941424	0.938303	0.93045	0.929353	0.930208	0.937857	0.923766	0.932396
P11712_pIC50	0.43897	0.467227	0.38573	0.370082	0.404138	0.467381	0.348024	0.379083	0.458956	0.450173	0.338486	0.339526	0.437743	0.474791	0.192059	0.343503
P12821_pIC50	0.846332	0.870984	0.833964	0.870432	0.842305	0.846111	0.834705	0.842964	0.833173	0.860006	0.848892	0.848623	0.832768	0.856684	0.832299	0.848086
P14061_pIC50	0.90697	0.896084	0.91418	0.901811	0.913468	0.906025	0.912957	0.908332	0.889886	0.911109	0.899976	0.902989	0.891183	0.910832	0.896358	0.895174
P15144_pIC50	0.567201	0.567201	0.501278	0.501278	0.572547	0.567976	0.479247	0.494817	0.508975	0.521356	0.297668	0.224262	0.156017	0.156017	0	0
P16109_pIC50	0.382262	0.382262	0.374082	0.42204	0.005357	0.543548	0.0025	0.388803	0.227667	0.390197	0.201381	0.18619	0	0.265905	0	0.195571
P16581_pIC50	0.919054	0.920838	0.912722	0.91107	0.858041	0.915596	0.858041	0.867039	0.865808	0.887306	0.874336	0.874336	0.002	0.838568	0	0.885756
P17706_pKi	0.69104	0.682852	0.695112	0.83069	0	0.525643	0	0.613523	0.674905	0.693572	0.677169	0.676931	0.681475	0.615904	0	0
P19793_pEC50	0.9027	0.89864	0.904502	0.892764	0.898626	0.894895	0.892066	0.889683	0.887244	0.897901	0.891668	0.899302	0.840555	0.889489	0.839408	0.853726
P20309_pKd	0.932302	0.932302	0.932302	0.932302	0.932302	0.932302	0.932302	0.932302	0.904662	0.904662	0.893186	0.893186	0.867106	0.866046	0.880735	0.880735
P20393_pEC50	0.777072	0.769667	0.777072	0.777072	0.777072	0.777072	0.777072	0.777072	0.759382	0.838881	0.766382	0.766382	0.777072	0.777072	0.777072	0.777072
P20618_pIC50	0.796809	0.796809	0.801809	0.801809	0.796809	0.796809	0.672046	0.672046	0.796809	0.709452	0.696951	0.696951	0.715691	0.715691	0.715691	0.715691
P20839_pIC50	0.795955	0.795955	0.57762	0.559523	0	0.062859	0	0	0.729882	0.729882	0.592524	0.592524	0.611523	0.604001	0.604856	0.626238
P21397_pIC50	0.674147	0.708349	0.598484	0.653689	0.695771	0.703758	0.642599	0.642163	0.690635	0.717086	0.632309	0.650519	0.706508	0.723847	0.634405	0.64416
P21452_pKi	0.935952	0.934731	0.935952	0.937798	0.935845	0.941598	0.940235	0.943668	0.932548	0.945026	0.936003	0.943011	0.935888	0.940185	0.935983	0.938942
P21453_pEC50	0.912816	0.912401	0.901746	0.904698	0.908523	0.914191	0.886921	0.904052	0.910035	0.91247	0.897424	0.90748	0.912239	0.913351	0.895738	0.909438
P23458_pIC50	0.911463	0.9136	0.916416	0.915423	0.903728	0.916257	0.907764	0.915443	0.909517	0.914529	0.913103	0.913139	0.917558	0.915295	0.917449	0.917895
P23946_pIC50	0.832964	0.828356	0.83551	0.827881	0.805777	0.805777	0.783322	0.80021	0.823637	0.829321	0.807316	0.786691	0.80299	0.820391	0.816169	0.813846
P25025_pKi	0.940993	0.924754	0.931668	0.929744	0.783823	0.938343	0.79225	0.921068	0.91634	0.908514	0.91633	0.918063	0.892253	0.892253	0.932976	0.932976
P28221_pKi	0.917235	0.919058	0.922729	0.918232	0.905373	0.916905	0.917463	0.914188	0.913984	0.911077	0.914455	0.914037	0.916975	0.919103	0.908416	0.922818
P28222_pKi	0.891205	0.888506	0.890546	0.890942	0.865005	0.894088	0.876526	0.893815	0.885333	0.884965	0.88668	0.879115	0.868841	0.890056	0.879332	0.888216
P28335_pEC50	0.914113	0.917647	0.918871	0.918871	0.913674	0.921761	0.91735	0.920341	0.91933	0.909968	0.921388	0.926505	0.912507	0.922014	0.91735	0.921833
P29274_pIC50	0.892938	0.902313	0.893105	0.895467	0.87685	0.903893	0.87685	0.89209	0.892174	0.8708	0.873387	0.893923	0.87685	0.862689	0.889171	0.856192
P29275_pKi	0.918893	0.918507	0.916245	0.917334	0.917887	0.919678	0.919775	0.918335	0.904951	0.907283	0.905345	0.906071	0.912769	0.914065	0.905812	0.910062
P29375_pIC50	0.958896	0.958896	0.955129	0.955129	0.951978	0.954579	0.954049	0.95477	0.949652	0.949652	0.947632	0.947632	0.943383	0.950604	0.91867	0.952155
P29466_pKi	0.824128	0.834574	0.851722	0.844626	0.820008	0.856576	0.808598	0.856657	0.831859	0.822388	0.845825	0.838891	0.825682	0.844802	0.820403	0.851638
P30291_pIC50	0.915604	0.915604	0.907139	0.907139	0.921354	0.907206	0.905696	0.911455	0.901033	0.901033	0.891636	0.891636	0.90114	0.90114	0.90114	0.90114
P30542_pIC50	0.897568	0.896149	0.902154	0.901822	0.886968	0.886514	0.897778	0.909438	0.914063	0.905971	0.90119	0.906312	0.896172	0.902958	0.88396	0.891528
P32238_pIC50	0.896664	0.901809	0.894499	0.912908	0.901868	0.907197	0.907076	0.915943	0.898771	0.906357	0.906953	0.906194	0.921191	0.904741	0.923891	0.923891
P34913_pIC50	0.939073	0.941716	0.940733	0.940966	0.941048	0.941336	0.931656	0.941356	0.939469	0.939891	0.937382	0.937794	0.931473	0.941226	0.933069	0.940064
P35236_pIC50	0.205231	0.184027	0.207287	0.180397	0.192564	0.183164	0.215375	0.179947	0.144987	0.165075	0.157098	0.168795	0	0	0	0
P35348_pKi	0.956768	0.955896	0.954416	0.952492	0.949837	0.953496	0.948851	0.951542	0.94619	0.948061	0.932968	0.941446	0.936891	0.954326	0.931774	0.9499
P35354_pIC50	0.801106	0.806145	0.787614	0.789112	0.799556	0.806519	0.786106	0.792152	0.811982	0.809766	0.791165	0.791627	0.796814	0.807287	0.780758	0.79079
P35368_pKi	0.892163	0.895431	0.898717	0.898345	0.888959	0.885538	0.890312	0.896413	0.891922	0.889254	0.890385	0.895526	0.87084	0.889669	0.883894	0.883394
P35462_pKi	0.902337	0.904024	0.895454	0.898064	0.900247	0.904445	0.892022	0.898713	0.897566	0.904241	0.897773	0.894976	0.895287	0.903546	0.893377	0.896696
P36544_pKi	0.877975	0.87942	0.847395	0.860787	0.853881	0.878412	0.859364	0.850548	0.886126	0.863967	0.881911	0.881911	0.822	0.848849	0.819701	0.868197
P36888_pKd	0.855107	0.886655	0.85619	0.865252	0.823356	0.823356	0.80393	0.80393	0.886658	0.883444	0.864792	0.864297	0.894739	0.893648	0.861159	0.861159
P39900_pIC50	0.86792	0.870178	0.873242	0.870319	0.886876	0.878249	0.882256	0.8927	0.855088	0.863785	0.896714	0.887673	0.856802	0.862197	0.87626	0.881618
P41595_pKi	0.823169	0.818873	0.814877	0.812222	0.793909	0.819608	0.80813	0.805385	0.805142	0.817027	0.82076	0.817383	0.771227	0.811947	0.806209	0.812592
P42338_pIC50	0.864647	0.869606	0.866064	0.871979	0.869615	0.872276	0.852404	0.868624	0.85729	0.851979	0.865886	0.874754	0.866563	0.87094	0.851658	0.871721
P48730_pIC50	0.81878	0.81878	0.783557	0.783557	0.74776	0.812709	0.799149	0.799149	0.799066	0.81373	0.813904	0.834755	0.828961	0.822246	0.829841	0.829841
P49146_pKi	0.852184	0.869942	0.881977	0.881977	0.825242	0.855309	0.822844	0.867917	0.862733	0.878515	0.863541	0.863541	0.818012	0.843586	0.84662	0.84662
P49356_pIC50	0.884495	0.878803	0.86615	0.878419	0.854926	0.863677	0.859225	0.856962	0.867087	0.857958	0.865238	0.856081	0.860647	0.869662	0.864779	0.873987
P50281_pKi	0.773065	0.773065	0.814805	0.804865	0.770502	0.76337	0.723328	0.786819	0.766402	0.760817	0.675064	0.784534	0.725806	0.773036	0.787831	0.78834
P51452_pIC50	0.339629	0.414018	0.23093	0.383814	0.367416	0.420764	0.144119	0.280596	0.394816	0.434486	0.378818	0.350201	0.421664	0.430839	0.248973	0.372686
P51582_pEC50	0.472381	0.472381	0.473975	0.473975	0.201856	0.345999	0.151523	0.151523	0.175002	0.205	0.002857	0.189001	NA	0	NA	0
P51679_pIC50	0.75475	0.75475	0.778763	0.77835	0.685005	0.769095	0.683013	0.770085	0.758061	0.751924	0.753946	0.779704	0.682445	0.779534	0.715881	0.786358
P51955_pIC50	0.727263	0.671518	0.717606	0.718095	0.72669	0.675157	0.705961	0.678074	0.693724	0.697563	0.483745	0.745891	0.71532	0.708545	0.700324	0.682636
P52732_pIC50	0.844074	0.847453	0.849534	0.854874	0.858527	0.847655	0.847657	0.845668	0.847795	0.849568	0.845535	0.850234	0.855706	0.859615	0.841145	0.848817
P53779_pIC50	0.82206	0.828574	0.830674	0.825342	0.816438	0.819868	0.826609	0.835767	0.82251	0.831543	0.832995	0.831765	0.835046	0.846113	0.816305	0.831354
