N_train	N_test	N_all_features	all_features_testing
O00311_pIC50	156	39	279	0.72647
O00329_pIC50	577	145	279	0.63623
O00408_pIC50	235	59	279	0.96118
O00519_pIC50	645	162	279	0.71595
O00519_pKi	242	61	279	0.66109
O00763_pIC50	317	80	279	0.64638
O00767_pIC50	300	76	279	0.55
O14672_pIC50	475	119	279	0.9739
O14684_pIC50	434	109	279	0.67279
O14746_pEC50	88	22	279	0.77273
O14746_pIC50	360	90	279	0.56457
O14757_pEC50	85	22	279	0.725
O14757_pIC50	1252	313	279	0.5339
O14757_pKi	111	28	279	0.84848
O14842_pEC50	400	101	279	0.70988
O14920_pIC50	682	171	279	0.77991
O14939_pIC50	152	38	279	0.72319
O14965_pIC50	1564	391	279	0.56728
O14965_pKi	104	27	279	0.61905
O15111_pIC50	234	59	279	0.6059
O15120_pIC50	86	22	279	0.65625
O15379_pIC50	322	81	279	0.70494
O15530_pIC50	469	118	279	0.74669
O15552_pIC50	108	27	279	0.54945
O43193_pEC50	84	21	279	0.5375
O43193_pKi	60	15	279	0.7
O43318_pIC50	69	18	279	0.65
O43353_pIC50	180	45	279	0.59722
O43497_pIC50	216	54	279	0.65417
O43526_pEC50	95	24	279	0.74286
O43570_pKi	831	208	279	0.72127
O43613_pEC50	103	26	279	0.79762
O43613_pIC50	419	105	279	0.85077
O43613_pKi	276	69	279	0.56767
O43614_pEC50	115	29	279	0.67778
O43614_pIC50	262	66	279	0.68886
O43614_pKd	51	13	279	0.7619
O43614_pKi	306	77	279	0.5
O60218_pIC50	69	18	279	0.64935
O60341_pIC50	100	26	279	0.69444
O60341_pKi	93	24	279	0.74286
O60674_pIC50	1049	263	279	0.64418
O60674_pKi	230	58	279	0.74028
O60725_pIC50	181	46	279	0.80215
O60755_pIC50	135	34	279	0.62807
O60885_pIC50	180	46	279	0.61429
O60911_pIC50	107	27	279	0.66193
O75116_pIC50	587	147	279	0.69812
O75173_pIC50	193	49	279	0.68246
O75460_pIC50	205	52	279	0.57692
O75469_pEC50	152	39	279	0.77435
O75762_pEC50	103	26	279	0.54167
O75762_pIC50	75	19	279	0.42222
O75907_pIC50	388	97	279	0.5
O75908_pIC50	105	27	279	0.82237
O76074_pIC50	1070	268	279	0.64537
O94925_pIC50	326	82	279	0.89916
O95136_pIC50	126	32	279	0.83725
O95399_pEC50	48	12	279	0.83333
O95749_pIC50	88	22	279	0.44286
O95822_pIC50	219	55	279	0.72561
O95977_pEC50	102	26	279	0.59394
O95977_pIC50	157	40	279	0.79688
O96017_pIC50	248	62	279	0.68092
P00374_pIC50	440	111	279	0.57254
P00374_pKi	196	50	279	0.75974
P00488_pIC50	76	19	279	0.75641
P00491_pIC50	81	21	279	0.70625
P00491_pKi	148	38	279	0.66947
P00519_pEC50	60	16	279	0.50794
P00519_pIC50	717	180	279	0.71745
P00519_pKd	56	14	279	0.5625
P00519_pKi	498	125	279	0.68636
P00533_pIC50	2709	678	279	0.67183
P00533_pKi	66	17	279	0.63889
P00734_pIC50	1307	327	279	0.62298
P00734_pKi	2438	610	279	0.72801
P00740_pKi	137	35	279	0.74457
P00742_pIC50	1473	369	279	0.52212
P00742_pKi	2526	632	279	0.62642
P00747_pIC50	196	50	279	0.77629
P00747_pKi	436	109	279	0.57193
P00748_pIC50	147	37	279	0.46552
P00748_pKi	96	24	279	0.76667
P00749_pIC50	184	47	279	0.79444
