N_train	N_test	N_all_features	fd_10_nr_20
O00311_pIC50	156	39	246	0.72647
O00329_pIC50	577	145	246	0.63188
O00408_pIC50	235	59	246	0.94868
O00519_pIC50	645	162	246	0.71436
O00519_pKi	242	61	246	0.65729
O00763_pIC50	317	80	246	0.60792
O00767_pIC50	300	76	246	0.5
O14672_pIC50	475	119	246	0.96864
O14684_pIC50	434	109	246	0.69966
O14746_pEC50	88	22	246	0.72727
O14746_pIC50	360	90	246	0.55711
O14757_pEC50	85	22	246	0.725
O14757_pIC50	1252	313	246	0.52542
O14757_pKi	111	28	246	0.70455
O14842_pEC50	400	101	246	0.71558
O14920_pIC50	682	171	246	0.76068
O14939_pIC50	152	38	246	0.74493
O14965_pIC50	1564	391	246	0.54675
O14965_pKi	104	27	246	0.61905
O15111_pIC50	234	59	246	0.58738
O15120_pIC50	86	22	246	0.65625
O15379_pIC50	322	81	246	0.70494
O15530_pIC50	469	118	246	0.7571
O15552_pIC50	108	27	246	0.54945
O43193_pEC50	84	21	246	0.5375
O43193_pKi	60	15	246	0.7
O43318_pIC50	69	18	246	0.65
O43353_pIC50	180	45	246	0.59722
O43497_pIC50	216	54	246	0.65833
O43526_pEC50	95	24	246	0.70714
O43570_pKi	831	208	246	0.72342
O43613_pEC50	103	26	246	0.88095
O43613_pIC50	419	105	246	0.84056
O43613_pKi	276	69	246	0.53017
O43614_pEC50	115	29	246	0.75833
O43614_pIC50	262	66	246	0.69734
O43614_pKd	51	13	246	0.75
O43614_pKi	306	77	246	0.5
O60218_pIC50	69	18	246	0.69481
O60341_pIC50	100	26	246	0.75694
O60341_pKi	93	24	246	0.77857
O60674_pIC50	1049	263	246	0.64183
O60674_pKi	230	58	246	0.7
O60725_pIC50	181	46	246	0.71935
O60755_pIC50	135	34	246	0.59474
O60885_pIC50	180	46	246	0.5981
O60911_pIC50	107	27	246	0.70739
O75116_pIC50	587	147	246	0.70774
O75173_pIC50	193	49	246	0.68246
O75460_pIC50	205	52	246	0.57692
O75469_pEC50	152	39	246	0.75649
O75762_pEC50	103	26	246	0.54167
O75762_pIC50	75	19	246	0.63889
O75907_pIC50	388	97	246	0.5
O75908_pIC50	105	27	246	0.82237
O76074_pIC50	1070	268	246	0.64433
O94925_pIC50	326	82	246	0.89916
O95136_pIC50	126	32	246	0.83725
O95399_pEC50	48	12	246	0.83333
O95749_pIC50	88	22	246	0.51429
O95822_pIC50	219	55	246	0.6054
O95977_pEC50	102	26	246	0.59394
O95977_pIC50	157	40	246	0.79688
O96017_pIC50	248	62	246	0.63377
P00374_pIC50	440	111	246	0.57958
P00374_pKi	196	50	246	0.74188
P00488_pIC50	76	19	246	0.75641
P00491_pIC50	81	21	246	0.80625
P00491_pKi	148	38	246	0.66947
P00519_pEC50	60	16	246	0.50794
P00519_pIC50	717	180	246	0.72873
P00519_pKd	56	14	246	0.625
P00519_pKi	498	125	246	0.62424
P00533_pIC50	2709	678	246	0.66632
P00533_pKi	66	17	246	0.63889
P00734_pIC50	1307	327	246	0.62247
P00734_pKi	2438	610	246	0.72419
P00740_pKi	137	35	246	0.74457
P00742_pIC50	1473	369	246	0.51909
P00742_pKi	2526	632	246	0.62055
P00747_pIC50	196	50	246	0.79055
P00747_pKi	436	109	246	0.63075
P00748_pIC50	147	37	246	0.46552
P00748_pKi	96	24	246	0.82222
P00749_pIC50	184	47	246	0.81944
P00749_pKi	645	162	246	0.65962
P00750_pIC50	90	23	246	0.7
P00750_pKi	216	54	246	0.61094
P00797_pIC50	1994	499	246	0.58134
P00797_pKi	79	20	246	0.60606
P00915_pIC50	117	30	246	0.79464
P00915_pKd	76	19	246	0.68333
P00915_pKi	2354	589	246	0.68143
P00918_pIC50	364	91	246	0.76429
P00918_pKd	167	42	246	0.71353
P00918_pKi	2477	620	246	0.69032
P01375_pIC50	674	169	246	0.74158
P03372_pEC50	463	116	246	0.66879
P03372_pIC50	1196	300	246	0.75845
P03372_pKi	205	52	246	0.73697
P03951_pIC50	167	42	246	0.67857
P03951_pKi	76	19	246	0.79444
P03952_pKi	102	26	246	0.73077
P03956_pIC50	1500	376	246	0.7313
P03956_pKi	511	128	246	0.64881
P04035_pIC50	152	39	246	0.81944
P04054_pIC50	372	94	246	0.91176
P04062_pIC50	180	45	246	0.55
P04062_pKi	116	29	246	0.6152
P04066_pIC50	52	14	246	0.71429
P04150_pEC50	428	108	246	0.64332
P04150_pIC50	1008	252	246	0.61638
P04150_pKi	576	144	246	0.72171
P04278_pKd	72	19	246	0.87821
P04626_pIC50	1063	266	246	0.78816
P04629_pIC50	178	45	246	0.5
P04798_pIC50	61	16	246	0.90909
P04818_pIC50	208	52	246	0.77573
P04818_pKi	176	44	246	0.76842
P05067_pIC50	132	33	246	0.79615
P05093_pIC50	283	71	246	0.48305
P05106_pIC50	906	227	246	0.49749
P05106_pKi	151	38	246	0.53917
P05121_pIC50	188	48	246	0.56061
P05129_pIC50	120	30	246	0.52392
P05186_pIC50	304	77	246	0.5586
P05412_pIC50	116	30	246	0.64286
