N_train	N_test	N_all_features	fd_10_nr_20
O00311_pIC50	156	39	246	0.89231
O00329_pIC50	577	145	246	0.8843
O00408_pIC50	235	59	246	0.96203
O00519_pIC50	645	162	246	0.85714
O00519_pKi	242	61	246	0.89109
O00763_pIC50	317	80	246	0.92308
O00767_pIC50	300	76	246	0.92958
O14672_pIC50	475	119	246	0.93878
O14684_pIC50	434	109	246	0.74194
O14746_pEC50	88	22	246	0.66667
O14746_pIC50	360	90	246	0.25806
O14757_pEC50	85	22	246	0.75
O14757_pIC50	1252	313	246	0.90071
O14757_pKi	111	28	246	0.88889
O14842_pEC50	400	101	246	0.82609
O14920_pIC50	682	171	246	0.88976
O14939_pIC50	152	38	246	0.84615
O14965_pIC50	1564	391	246	0.86316
O14965_pKi	104	27	246	0.86364
O15111_pIC50	234	59	246	0.63636
O15120_pIC50	86	22	246	0.8125
O15379_pIC50	322	81	246	0.78431
O15530_pIC50	469	118	246	0.93467
O15552_pIC50	108	27	246	0.45455
O43193_pEC50	84	21	246	0.82353
O43193_pKi	60	15	246	0.70588
O43318_pIC50	69	18	246	0.72727
O43353_pIC50	180	45	246	0.33333
O43497_pIC50	216	54	246	0.6087
O43526_pEC50	95	24	246	0.74074
O43570_pKi	831	208	246	0.87697
O43613_pEC50	103	26	246	0.89655
O43613_pIC50	419	105	246	0.83495
O43613_pKi	276	69	246	0.375
O43614_pEC50	115	29	246	0.85
O43614_pIC50	262	66	246	0.95
O43614_pKd	51	13	246	0.66667
O43614_pKi	306	77	246	0.9
O60218_pIC50	69	18	246	0.78261
O60341_pIC50	100	26	246	0.66667
O60341_pKi	93	24	246	0.82759
O60674_pIC50	1049	263	246	0.89933
O60674_pKi	230	58	246	0.84706
O60725_pIC50	181	46	246	0.62069
O60755_pIC50	135	34	246	0.69767
O60885_pIC50	180	46	246	0.52632
O60911_pIC50	107	27	246	0.66667
O75116_pIC50	587	147	246	0.85845
O75173_pIC50	193	49	246	0.74576
O75460_pIC50	205	52	246	0.81481
O75469_pEC50	152	39	246	0.64
O75762_pEC50	103	26	246	0.53846
O75762_pIC50	75	19	246	0.66667
O75907_pIC50	388	97	246	0.94565
O75908_pIC50	105	27	246	0.89474
O76074_pIC50	1070	268	246	0.82878
O94925_pIC50	326	82	246	0.95522
O95136_pIC50	126	32	246	0.86486
O95399_pEC50	48	12	246	0.83333
O95749_pIC50	88	22	246	0.375
O95822_pIC50	219	55	246	0.82353
