N_train	N_test	N_all_features	fd_10_nr_20
O00311_pIC50	156	40	166	0.55714
O00329_pIC50	992	248	166	0.67984
O00408_pIC50	260	66	166	0.85098
O00519_pIC50	708	178	166	0.77285
O00519_pKi	249	63	166	0.81458
O00763_pIC50	340	85	166	0.73692
O00767_pIC50	302	76	166	0.60455
O14672_pIC50	478	120	166	0.91667
O14684_pIC50	545	137	166	0.70831
O14746_pEC50	88	22	166	0.72727
O14746_pIC50	400	100	166	0.67568
O14757_pEC50	92	24	166	0.40714
O14757_pIC50	1314	329	166	0.64463
O14757_pKi	111	28	166	0.83333
O14842_pEC50	606	152	166	0.73064
O14920_pIC50	720	180	166	0.7681
O14939_pIC50	152	39	166	0.84583
O14965_pIC50	1684	421	166	0.69079
O14965_pKi	131	33	166	0.54167
O15054_pIC50	44	12	166	0.55714
O15111_pIC50	235	59	166	0.59317
O15120_pIC50	87	22	166	0.79167
O15164_pIC50	46	12	166	0.83333
O15229_pIC50	86	22	166	0.67059
O15379_pIC50	532	134	166	0.76779
O15382_pIC50	77	20	166	0.65
O15530_pIC50	499	125	166	0.835
O15552_pIC50	108	28	166	0.60714
O43193_pEC50	84	22	166	0.57059
O43193_pKi	60	15	166	0.55
O43318_pIC50	123	31	166	0.64773
O43353_pIC50	189	48	166	0.58722
O43451_pIC50	77	20	166	0.63736
O43497_pIC50	292	74	166	0.67184
O43526_pEC50	102	26	166	0.72727
O43570_pIC50	41	11	166	0.9
O43570_pKd	44	12	166	0.5
O43570_pKi	1364	342	166	0.83431
O43613_pEC50	107	27	166	0.89286
O43613_pIC50	471	118	166	0.70339
O43613_pKi	365	92	166	0.74043
O43614_pEC50	123	31	166	0.73095
O43614_pIC50	327	82	166	0.63242
O43614_pKd	51	13	166	0.70238
O43614_pKi	401	101	166	0.53769
O60218_pIC50	71	18	166	0.62338
O60341_pIC50	212	53	166	0.81681
O60341_pKi	138	35	166	0.77451
O60563_pIC50	127	32	166	0.90857
O60674_pIC50	1422	356	166	0.70238
O60674_pKi	238	60	166	0.69384
O60725_pIC50	185	47	166	0.7375
O60755_pIC50	135	34	166	0.55614
O60885_pIC50	444	112	166	0.71444
O60885_pKi	58	15	166	0.53571
O60911_pIC50	107	27	166	0.73864
O75116_pIC50	643	161	166	0.67764
O75164_pIC50	108	28	166	0.86364
O75173_pIC50	206	52	166	0.84688
O75460_pIC50	234	59	166	0.66111
O75469_pEC50	188	48	166	0.81944
O75762_pEC50	106	27	166	0.77747
O75762_pIC50	152	38	166	0.61364
O75907_pIC50	450	113	166	0.71077
O75908_pIC50	110	28	166	0.91813
O76074_pIC50	1140	286	166	0.74072
O94768_pIC50	48	12	166	0.75
O94925_pIC50	361	91	166	0.79917
O95136_pIC50	140	35	166	0.775
O95399_pEC50	48	12	166	0.66667
O95749_pIC50	94	24	166	0.42017
O95819_pIC50	60	15	166	1
O95822_pIC50	219	55	166	0.84495
O95977_pEC50	135	34	166	0.58333
O95977_pIC50	157	40	166	0.65625
O96017_pIC50	252	63	166	0.83173
P00374_pIC50	496	124	166	0.73274
P00374_pKi	200	50	166	0.91396
P00488_pIC50	79	20	166	0.85714
P00491_pIC50	82	21	166	0.7
P00491_pKi	152	38	166	0.77451
P00519_pEC50	60	16	166	0.53175
P00519_pIC50	814	204	166	0.77085
P00519_pKd	56	14	166	0.47917
P00519_pKi	500	126	166	0.62443
P00533_pIC50	3434	859	166	0.77511
P00533_pKi	98	25	166	0.87821
P00734_pIC50	1376	344	166	0.7096
P00734_pKi	2671	668	166	0.79838
P00740_pKi	204	51	166	0.77232
P00742_pIC50	1560	391	166	0.71803
P00742_pKi	2644	661	166	0.76889
P00747_pIC50	261	66	166	0.65476
P00747_pKi	469	118	166	0.84291
P00748_pIC50	151	38	166	0.44167
P00748_pKi	146	37	166	0.66964
P00749_pIC50	196	50	166	0.85833
P00749_pKi	684	171	166	0.77381
P00750_pIC50	93	24	166	0.6
P00750_pKi	224	57	166	0.62628
P00797_pIC50	2102	526	166	0.6906
P00797_pKi	88	23	166	0.75769
P00915_pIC50	148	37	166	0.83772
P00915_pKd	84	22	166	0.5
P00915_pKi	3165	792	166	0.74275
P00918_pIC50	401	101	166	0.89069
P00918_pKd	217	55	166	0.7803
P00918_pKi	3295	824	166	0.80796
P01375_pIC50	671	168	166	0.73464
P03372_pEC50	535	134	166	0.73072
P03372_pIC50	1368	343	166	0.88011
P03372_pKi	242	61	166	0.7373
P03951_pIC50	187	47	166	0.65729
P03951_pKi	139	35	166	0.82197
P03952_pKi	128	32	166	0.84524
P03956_pIC50	1521	381	166	0.77692
P03956_pKi	517	130	166	0.85656
P04035_pIC50	172	44	166	0.90104
P04054_pIC50	388	97	166	0.84156
P04062_pIC50	264	67	166	0.77838
P04062_pKi	141	36	166	0.7625
P04066_pIC50	54	14	166	0.85714
P04150_pEC50	436	110	166	0.71015
P04150_pIC50	1076	270	166	0.78944
P04150_pKi	584	147	166	0.82879
P04278_pKd	72	19	166	0.71795
P04626_pIC50	1289	323	166	0.82844
P04629_pIC50	225	57	166	0.58617
P04798_pIC50	104	26	166	0.77576
P04818_pIC50	220	56	166	0.75521
P04818_pKi	181	46	166	0.71538
P05067_pIC50	186	47	166	0.80364
P05093_pIC50	314	79	166	0.58566
P05106_pIC50	922	231	166	0.67015
P05106_pKi	152	39	166	0.59598
P05121_pIC50	188	48	166	0.67576
P05129_pIC50	120	30	166	0.811
P05164_pIC50	121	31	166	0.7096
P05186_pIC50	334	84	166	0.73897
P05230_pKd	92	23	166	0.70089
P05412_pIC50	131	33	166	0.76667
P05771_pIC50	248	62	166	0.58967
P06213_pIC50	465	117	166	0.61425
P06239_pIC50	1108	278	166	0.71151
P06239_pKd	101	26	166	0.85238
P06241_pIC50	104	27	166	0.74176
P06401_pEC50	359	90	166	0.5375
P06401_pIC50	1022	256	166	0.65559
P06401_pKi	388	98	166	0.62043
P06493_pIC50	1294	324	166	0.70147
P06493_pKi	108	28	166	0.525
P06870_pKi	69	18	166	0.725
P07099_pIC50	135	34	166	0.775
P07333_pIC50	476	120	166	0.66818
P07339_pIC50	807	202	166	0.6994
P07339_pKi	208	52	166	0.69643
P07384_pIC50	292	73	166	0.79044
P07384_pKi	184	46	166	0.76426
P07477_pIC50	316	80	166	0.80303
P07477_pKi	1094	274	166	0.83689
P07550_pEC50	532	134	166	0.76789
P07550_pIC50	376	95	166	0.75572
P07550_pKd	78	20	166	0.81868
P07550_pKi	339	85	166	0.79368
P07711_pIC50	580	145	166	0.62211
P07711_pKi	380	96	166	0.83217
P07858_pIC50	480	120	166	0.74221
P07858_pKi	342	86	166	0.8299
P07900_pIC50	560	140	166	0.80757
P07900_pKd	95	24	166	0.96667
P07948_pIC50	170	43	166	0.73399
P07949_pIC50	337	85	166	0.79394
P08069_pIC50	933	234	166	0.78249
P08069_pKi	44	11	166	0.71667
P08172_pEC50	71	18	166	0.55844
P08172_pIC50	304	76	166	0.63468
P08172_pKi	700	175	166	0.71613
P08173_pEC50	144	36	166	0.62662
P08173_pIC50	112	29	166	0.55637
P08173_pKi	264	66	166	0.80055
P08183_pEC50	256	64	166	0.79374
P08183_pIC50	444	112	166	0.661
P08183_pKi	141	36	166	0.48276
P08235_pIC50	455	114	166	0.56111
P08235_pKi	82	21	166	0.80455
P08238_pEC50	127	32	166	0.65
P08238_pIC50	376	94	166	0.78008
P08246_pIC50	540	136	166	0.74085
P08246_pKi	745	187	166	0.74664
P08253_pIC50	2002	501	166	0.81738
