N_train	N_test	N_all_features	fd_10_nr_20
O00311_pIC50	156	40	166	0.90141
O00329_pIC50	992	248	166	0.8878
O00408_pIC50	260	66	166	0.92
O00519_pIC50	708	178	166	0.86853
O00519_pKi	249	63	166	0.90526
O00763_pIC50	340	85	166	0.87407
O00767_pIC50	302	76	166	0.90226
O14672_pIC50	478	120	166	0.90909
O14684_pIC50	545	137	166	0.75776
O14746_pEC50	88	22	166	0.66667
O14746_pIC50	400	100	166	0.52
O14757_pEC50	92	24	166	0.60606
O14757_pIC50	1314	329	166	0.9
O14757_pKi	111	28	166	0.95652
O14842_pEC50	606	152	166	0.8
O14920_pIC50	720	180	166	0.86957
O14939_pIC50	152	39	166	0.90196
O14965_pIC50	1684	421	166	0.8915
O14965_pKi	131	33	166	0.75
O15054_pIC50	44	12	166	0.44444
O15111_pIC50	235	59	166	0.6129
O15120_pIC50	87	22	166	0.82759
O15164_pIC50	46	12	166	0.85714
O15229_pIC50	86	22	166	0.88889
O15379_pIC50	532	134	166	0.83237
O15382_pIC50	77	20	166	0.63158
O15530_pIC50	499	125	166	0.94059
O15552_pIC50	108	28	166	0.52174
O43193_pEC50	84	22	166	0.86486
O43193_pKi	60	15	166	0.7
O43318_pIC50	123	31	166	0.75
O43353_pIC50	189	48	166	0.36364
O43451_pIC50	77	20	166	0.5
O43497_pIC50	292	74	166	0.70732
O43526_pEC50	102	26	166	0.83333
O43570_pIC50	41	11	166	0.88889
O43570_pKd	44	12	166	0.57143
O43570_pKi	1364	342	166	0.9271
O43613_pEC50	107	27	166	0.88
O43613_pIC50	471	118	166	0.74074
O43613_pKi	365	92	166	0.75
O43614_pEC50	123	31	166	0.8
O43614_pIC50	327	82	166	0.92517
O43614_pKd	51	13	166	0.71429
O43614_pKi	401	101	166	0.82209
O60218_pIC50	71	18	166	0.75
O60341_pIC50	212	53	166	0.80769
O60341_pKi	138	35	166	0.78947
O60563_pIC50	127	32	166	0.96
O60674_pIC50	1422	356	166	0.90756
O60674_pKi	238	60	166	0.78481
O60725_pIC50	185	47	166	0.64286
O60755_pIC50	135	34	166	0.59459
O60885_pIC50	444	112	166	0.62338
O60885_pKi	58	15	166	0.53333
O60911_pIC50	107	27	166	0.69565
O75116_pIC50	643	161	166	0.83544
O75164_pIC50	108	28	166	0.84211
O75173_pIC50	206	52	166	0.87097
O75460_pIC50	234	59	166	0.83146
O75469_pEC50	188	48	166	0.7619
O75762_pEC50	106	27	166	0.76923
O75762_pIC50	152	38	166	0.69565
O75907_pIC50	450	113	166	0.94581
O75908_pIC50	110	28	166	0.94737
O76074_pIC50	1140	286	166	0.86058
O94768_pIC50	48	12	166	0.72727
O94925_pIC50	361	91	166	0.94805
O95136_pIC50	140	35	166	0.84444
O95399_pEC50	48	12	166	0.66667
O95749_pIC50	94	24	166	0.3
O95819_pIC50	60	15	166	1
O95822_pIC50	219	55	166	0.94118
O95977_pEC50	135	34	166	0.63158
O95977_pIC50	157	40	166	0.83871
O96017_pIC50	252	63	166	0.87179
P00374_pIC50	496	124	166	0.82635
P00374_pKi	200	50	166	0.93103
P00488_pIC50	79	20	166	0.83333
P00491_pIC50	82	21	166	0.91429
P00491_pKi	152	38	166	0.75676
P00519_pEC50	60	16	166	0.66667
P00519_pIC50	814	204	166	0.7814
P00519_pKd	56	14	166	0.36364
P00519_pKi	500	126	166	0.91964
P00533_pIC50	3434	859	166	0.8684
P00533_pKi	98	25	166	0.86957
P00734_pIC50	1376	344	166	0.71429
P00734_pKi	2671	668	166	0.82384
P00740_pKi	204	51	166	0.85714
P00742_pIC50	1560	391	166	0.9119
P00742_pKi	2644	661	166	0.84711
P00747_pIC50	261	66	166	0.54545
P00747_pKi	469	118	166	0.68
P00748_pIC50	151	38	166	0.19048
P00748_pKi	146	37	166	0.71429
P00749_pIC50	196	50	166	0.82927
P00749_pKi	684	171	166	0.71429
P00750_pIC50	93	24	166	0.33333
P00750_pKi	224	57	166	0.35294
P00797_pIC50	2102	526	166	0.94268
P00797_pKi	88	23	166	0.72727
P00915_pIC50	148	37	166	0.84211
P00915_pKd	84	22	166	0.52174
P00915_pKi	3165	792	166	0.72752
P00918_pIC50	401	101	166	0.94805
P00918_pKd	217	55	166	0.8125
P00918_pKi	3295	824	166	0.93394
P01375_pIC50	671	168	166	0.58462
P03372_pEC50	535	134	166	0.81609
P03372_pIC50	1368	343	166	0.92609
P03372_pKi	242	61	166	0.86667
P03951_pIC50	187	47	166	0.53333
P03951_pKi	139	35	166	0.89796
P03952_pKi	128	32	166	0.85714
P03956_pIC50	1521	381	166	0.83156
P03956_pKi	517	130	166	0.87838
P04035_pIC50	172	44	166	0.95385
P04054_pIC50	388	97	166	0.71111
P04062_pIC50	264	67	166	0.7619
P04062_pKi	141	36	166	0.81818
P04066_pIC50	54	14	166	0.875
P04150_pEC50	436	110	166	0.94416
P04150_pIC50	1076	270	166	0.96371
P04150_pKi	584	147	166	0.94574
P04278_pKd	72	19	166	0.8
P04626_pIC50	1289	323	166	0.90792
P04629_pIC50	225	57	166	0.86316
P04798_pIC50	104	26	166	0.78571
P04818_pIC50	220	56	166	0.80597
P04818_pKi	181	46	166	0.68293
P05067_pIC50	186	47	166	0.83019
P05093_pIC50	314	79	166	0.86364
P05106_pIC50	922	231	166	0.92647
P05106_pKi	152	39	166	0.87879
