adverse_event	select_features
anaemia	O43613,O95822,P04818,P05412,P06213,P07550,P08581,P11309,P14867,P15538,P23280,P23526,P25090,P27487,P28715,P35346,P35498,P37288,P42574,P43116,P47869,P51946,P80365,Q12908,Q9Y6L6
disseminated_intravascular_coagulation	O14672,O14746,O14920,O43353,O43613,O75908,P00533,P00915,P06401,P07550,P08254,P08908,P09958,P14920,P15056,P20309,P21731,P23280,P23458,P27338,P29274,P32245,P36544,P37288,P41968,P43116,P43681,P49286,P51946,P55210,P62937,Q13002,Q15078,Q8TEK3,Q9UBY5,Q9Y5N1
jaundice	O14939,O43613,O95822,P00519,P00742,P00748,P00915,P00918,P03952,P03956,P05067,P05412,P06239,P06401,P07384,P07900,P08842,P0DMS8,P11309,P11597,P14324,P14902,P14920,P15538,P16455,P21397,P21452,P21462,P21918,P22748,P23141,P23280,P23443,P25090,P27487,P32745,P34998,P37288,P41145,P43116,P47869,P48736,P50406,P55263,P61073,P80365,Q01064,Q01959,Q03181,Q07869,Q13133,Q14289,Q14432,Q15078,Q16602,Q16665,Q6V1X1,Q86X55,Q8TEK3,Q99685,Q99720,Q99835,Q9NTG7,Q9ULX7,Q9Y251,Q9Y5N1,Q9Y5Y4,Q9Y5Z0,Q9Y6L6
febrile_neutropenia	O14672,O43613,P00918,P03952,P03956,P04035,P04818,P05186,P05412,P06401,P07550,P08253,P08581,P09958,P13631,P13866,P15538,P19438,P23280,P23526,P25103,P30291,P31644,P36544,P37231,P47869,P47989,P49286,P50406,Q8TEK3,Q96GD4,Q9GZT9,Q9ULX7
arrhythmia	O14746,P00374,P00533,P07949,P14867,P14920,P19634,P23458,P25116,P29274,P30556,P31644,P35348,P37058,P39900,P42892,P43681,P47712,P48147,P49286,P55210,Q13002,Q16602,Q16769,Q99500,Q9UBN7
bradycardia	O15530,O94925,P00734,P00749,P04035,P04150,P04626,P07384,P07900,P07949,P08246,P08254,P10275,P10826,P11229,P11473,P13497,P14867,P14920,P16455,P19793,P21918,P22303,P23280,P25100,P25116,P25929,P28221,P30291,P31749,P32247,P35218,P35348,P35408,P35498,P35968,P37058,P37288,P43490,P43681,P48147,P49768,P50406,P51677,P55072,P55210,P55263,P62942,Q02750,Q04759,Q07343,Q07912,Q13002,Q13946,Q16445,Q92847,Q9GZT9,Q9Y2D0,Q9Y5Y4
tachycardia	O94925,P00748,P00749,P04035,P08246,P10275,P10826,P10828,P11387,P11473,P14867,P14920,P29274,P29275,P30542,P32247,P35348,P35367,P35968,P37268,P43490,P46098,P47712,P55072,P62942,Q02750,Q13002,Q16445,Q9NYA1,Q9UM73
atrial_fibrillation	O14746,O60725,P00533,P00915,P04818,P07900,P11309,P14324,P14920,P15056,P22303,P23458,P25101,P29466,P35498,P37268,P42574,P43681,P78536,P80365,Q01959,Q04759,Q13002,Q9GZT9
cardiac_arrest	O43570,O94925,P00748,P00749,P04035,P04150,P07384,P07477,P08246,P09467,P14920,P24530,P25100,P29274,P32245,P35348,P37058,P37268,P42785,P43681,P48147,P48736,P50406,P55072,P62942,Q04759,Q13002,Q9Y5N1,Q9Y5Y4
cardio-respiratory_arrest	O43570,O94925,O95136,P00533,P00747,P04150,P05412,P08912,P09917,P10721,P10828,P14867,P16109,P20701,P22303,P23458,P23975,P25101,P25105,P25774,P27815,P28221,P30291,P30542,P32246,P32297,P35348,P35367,P42338,P42785,P43235,P47712,P49840,P50281,P52333,P68400,Q02750,Q05655,Q07343,Q16769,Q16790,Q92847,Q9BUB5,Q9GZT9,Q9UBY5,Q9UM73,Q9Y5Y4,Q9Y5Y6
sudden_death	O96017,P00740,P00749,P08254,P23921,P42345,P45452,P51812
ventricular_fibrillation	P00748,P04035,P04150,P08912,P23921,P30305,P35348,P36888,P43235,Q03181,Q9UBN7,Q9Y5N1
dizziness	O14842,O14920,O14939,O14965,O15379,O95822,P00491,P00533,P00748,P00749,P07384,P07949,P08238,P08246,P08581,P08842,P08912,P08913,P09874,P09917,P10275,P10826,P10828,P11387,P11473,P13612,P14780,P14867,P17948,P20309,P20701,P21397,P21452,P21554,P21918,P22303,P23921,P23975,P25101,P28482,P30542,P30968,P32246,P34913,P35367,P36888,P39900,P41143,P41145,P42345,P47712,P47871,P49840,P50281,P51677,P52333,P53667,P53779,P55210,P56817,P61073,P62942,P68400,P78536,P80365,Q01959,Q13002,Q13258,Q16445,Q16769,Q16790,Q6V1X1,Q8TCT1,Q8TDS4,Q92847,Q99835,Q9H244,Q9UM73,Q9UNA0,Q9Y5Y4,Q9Y6L6
presyncope	O60725,P04818,P05412,P06493,P09874,P0DMS8,P10415,P10826,P11309,P13945,P14416,P14920,P15538,P19438,P20701,P23141,P29274,P32245,P37231,P47900,Q04759,Q7Z601,Q8TDS4,Q96RI1,Q9Y5Y4
syncope	O14842,O14939,O15379,O15530,O60725,O75116,O95822,O96017,P03952,P04035,P07550,P07711,P07900,P07949,P08238,P08253,P08912,P08913,P09874,P09917,P0DMS8,P10826,P10828,P12821,P14780,P15056,P17252,P19438,P20309,P20701,P22303,P23921,P24530,P25101,P28336,P29371,P30542,P32745,P35367,P35610,P36888,P39900,P42338,P42785,P43166,P45452,P56817,P78536,Q04759,Q05655,Q07869,Q07912,Q13547,Q14416,Q15078,Q7Z601,Q8NER1,Q8TDS4,Q9BUB5,Q9GZT9,Q9H244,Q9Y5Y4
dyspnoea	O14965,O94925,P07949,P08172,P23280,P23921,P25101,P28482,P47871,P49768,Q04759,Q14416,Q96EB6
dyspnoea_exertional	P00533,P00748,P04035,P07900,P10827,P11309,P14867,P14920,P19438,P21918,P22894,P23458,P24530,P25090,P27338,P27487,P31644,P32745,P35498,P37268,P37288,P41145,P47869,P48147,P78536,Q04759,Q07869,Q16602,Q9UM73,Q9Y5Y4,Q9Y6L6
mitral_valve_incompetence	O14920,O15379,O94925,O95822,P00750,P03956,P04818,P06213,P07384,P07550,P08069,P08183,P08913,P10826,P11309,P13612,P14324,P14867,P14920,P15056,P23280,P23458,P23921,P25090,P25101,P29275,P32245,P32247,P34913,P35498,P37268,P42574,P47869,P68400,Q05655,Q13002,Q15078,Q96RI1,Q9BUB5,Q9HAZ1,Q9UBY5,Q9UHL4,Q9UNA0,Q9Y251
coronary_artery_disease	O75116,P00740,P00918,P07550,P10826,P14324,P20648,P36888,P47869,P47900,P78536,Q04759,Q13002,Q9Y6L6
acute_myocardial_infarction	O43613,O75908,P07711,P08254,P08581,P09467,P11309,P19438,P20648,P25090,P25101,P29275,P31749,P31751,P35218,P35354,P36888,P43004,P78536,Q01959,Q04759,Q13002,Q15078,Q86X55,Q92731,Q9Y5N1
angina_pectoris	P00519,P00748,P04035,P04626,P08581,P08842,P13726,P19634,P20648,P22303,P23141,P25101,P30542,P30556,P31639,P31644,P31751,P32297,P42892,P52333,Q04759,Q07343,Q13946,Q14416,Q16769,Q86X55,Q8TDS4,Q99500,Q99835,Q9UBY5
angina_unstable	O76074,P03956,P04035,P07550,P22894,P23280,P29274,P78536,Q92731,Q9HAZ1
