N_train	N_test	N_all_features	all_features_testing
O00142_pIC50	43	11	279	0.82083
O00182_pKd	41	11	279	0.34276
O00311_pIC50	156	39	279	0.24336
O00329_pIC50	577	145	279	0.59081
O00329_pKi	99	25	279	0.49816
O00400_pIC50	113	29	279	0.23204
O00408_pIC50	235	59	279	0.78468
O00444_pIC50	41	11	279	0.94134
O00487_pIC50	310	78	279	-0.19912
O00519_pIC50	645	162	279	0.69116
O00519_pKi	242	61	279	0.20305
O00748_pIC50	41	11	279	0.43607
O00748_pKi	56	15	279	0.09461
O00763_pIC50	317	80	279	0.53678
O00767_pIC50	300	76	279	0.19608
O14672_pIC50	475	119	279	0.84775
O14684_pIC50	434	109	279	0.76128
O14727_pIC50	353	89	279	0.20788
O14746_pEC50	88	22	279	0.19735
O14746_pIC50	360	90	279	0.63628
O14757_pEC50	85	22	279	-0.04211
O14757_pIC50	1252	313	279	0.44235
O14757_pKi	111	28	279	0.69036
O14763_pEC50	124	31	279	-0.10792
O14786_pIC50	59	15	279	0.41197
O14842_pEC50	400	101	279	0.48556
O14842_pKi	57	15	279	0.10886
O14920_pIC50	682	171	279	0.72274
O14939_pIC50	152	38	279	0.38059
O14965_pIC50	1564	391	279	0.55356
O14965_pKd	80	21	279	0.34602
O14965_pKi	104	27	279	0.58026
O14976_pKd	40	11	279	-0.51098
O15111_pIC50	234	59	279	0.30247
O15120_pIC50	86	22	279	0.41495
O15244_pIC50	40	10	279	0.17231
O15245_pIC50	60	15	279	-0.12471
O15305_pIC50	44	11	279	0.21977
O15379_pIC50	322	81	279	0.63466
O15492_pEC50	52	13	279	0.03222
O15530_pIC50	469	118	279	0.74028
O15552_pIC50	108	27	279	0.09849
O43174_pIC50	92	23	279	0.73069
O43193_pEC50	84	21	279	-0.02492
O43193_pKi	60	15	279	-0.15932
O43318_pIC50	69	18	279	0.7033
O43353_pIC50	180	45	279	-0.00827
O43451_pIC50	56	14	279	0.12197
O43497_pIC50	216	54	279	0.42065
O43521_pEC50	127	32	279	-0.00801
O43526_pEC50	95	24	279	0.30433
O43570_pKi	831	208	279	0.64047
O43603_pIC50	41	11	279	0.60775
O43613_pEC50	103	26	279	0.58993
O43613_pIC50	419	105	279	0.59384
O43613_pKd	49	13	279	-2.01124
O43613_pKi	276	69	279	0.49018
