index1	index2	feature_jaccard_similarity
O00329_pIC50	O00408_pIC50	0.32941176470588235
O00329_pIC50	O00444_pIC50	0.07692307692307693
O00329_pIC50	O00519_pIC50	0.14893617021276595
O00329_pIC50	O14672_pIC50	0.12359550561797752
O00329_pIC50	O14684_pIC50	0.272
O00329_pIC50	O14746_pIC50	0.11842105263157894
O00329_pIC50	O14757_pKi	0.13157894736842105
O00329_pIC50	O14786_pIC50	0.014925373134328358
O00329_pIC50	O14920_pIC50	0.23529411764705882
O00329_pIC50	O14965_pIC50	0.24545454545454545
O00329_pIC50	O15379_pIC50	0.23076923076923078
O00329_pIC50	O15530_pIC50	0.14893617021276595
O00329_pIC50	O43318_pIC50	0.05555555555555555
O00329_pIC50	O43497_pIC50	0.0898876404494382
O00329_pIC50	O43570_pKi	0.23636363636363636
O00329_pIC50	O43613_pEC50	0.014705882352941176
O00329_pIC50	O43614_pEC50	0.014705882352941176
O00329_pIC50	O60341_pIC50	0.05952380952380952
O00329_pIC50	O60674_pKi	0.25
O00329_pIC50	O60725_pIC50	0.1927710843373494
O00329_pIC50	O60885_pIC50	0.15151515151515152
O00329_pIC50	O75116_pIC50	0.11267605633802817
O00329_pIC50	O75173_pIC50	0.09523809523809523
O00329_pIC50	O75460_pEC50	0.17073170731707318
O00329_pIC50	O75469_pEC50	0.1956521739130435
O00329_pIC50	O75762_pEC50	0.11688311688311688
O00329_pIC50	O75908_pIC50	0.058823529411764705
O00329_pIC50	O76074_pIC50	0.226890756302521
O00329_pIC50	O94925_pIC50	0.26373626373626374
O00329_pIC50	O95136_pIC50	0.16049382716049382
O00329_pIC50	O95461_pEC50	0.1375
O00329_pIC50	O95749_pIC50	0.10752688172043011
O00329_pIC50	O95822_pIC50	0.24705882352941178
O00329_pIC50	O95977_pIC50	0.19753086419753085
O00329_pIC50	O96017_pIC50	0.24175824175824176
O00329_pIC50	P00374_pKi	0.2549019607843137
O00329_pIC50	P00491_pIC50	0.2375
O00329_pIC50	P00519_pKi	0.24528301886792453
O00329_pIC50	P00533_pIC50	0.302158273381295
O00329_pIC50	P00734_pKi	0.23333333333333334
O00329_pIC50	P00740_pKi	0.125
O00329_pIC50	P00742_pKi	0.3893805309734513
O00329_pIC50	P00747_pKi	0.14285714285714285
O00329_pIC50	P00748_pKi	0.0641025641025641
O00329_pIC50	P00749_pIC50	0.19230769230769232
O00329_pIC50	P00797_pKi	0.014285714285714285
O00329_pIC50	P00915_pKd	0.056338028169014086
O00329_pIC50	P00918_pKd	0.2717391304347826
O00329_pIC50	P03372_pIC50	0.344
O00329_pIC50	P03952_pKi	0.22077922077922077
O00329_pIC50	P03956_pKi	0.21839080459770116
O00329_pIC50	P04035_pIC50	0.14084507042253522
O00329_pIC50	P04054_pIC50	0.2328767123287671
O00329_pIC50	P04062_pIC50	0.1875
O00329_pIC50	P04150_pKi	0.2391304347826087
O00329_pIC50	P04626_pIC50	0.1834862385321101
O00329_pIC50	P04818_pIC50	0.17204301075268819
O00329_pIC50	P05067_pIC50	0.09210526315789473
O00329_pIC50	P05106_pIC50	0.19130434782608696
O00329_pIC50	P05129_pIC50	0.23076923076923078
O00329_pIC50	P05186_pIC50	0.15217391304347827
O00329_pIC50	P05230_pKd	0.07894736842105263
O00329_pIC50	P06213_pIC50	0.09210526315789473
O00329_pIC50	P06239_pIC50	0.3300970873786408
O00329_pIC50	P06401_pIC50	0.27884615384615385
O00329_pIC50	P06493_pIC50	0.20618556701030927
O00329_pIC50	P07099_pIC50	0.12903225806451613
O00329_pIC50	P07333_pIC50	0.25274725274725274
O00329_pIC50	P07339_pIC50	0.1452991452991453
O00329_pIC50	P07384_pKi	0.125
O00329_pIC50	P07477_pKi	0.24719101123595505
O00329_pIC50	P07550_pIC50	0.19444444444444445
O00329_pIC50	P07711_pIC50	0.27
O00329_pIC50	P07858_pIC50	0.20408163265306123
O00329_pIC50	P07900_pKd	0.15053763440860216
O00329_pIC50	P07947_pIC50	0.0410958904109589
O00329_pIC50	P08069_pIC50	0.2345679012345679
O00329_pIC50	P08172_pKi	0.3115942028985507
