N_train	N_test	N_all_features	all_features_testing
O00141_pIC50	60	16	166	0.4713
O00142_pIC50	43	11	166	0.57898
O00182_pKd	48	12	166	0.51148
O00311_pIC50	156	40	166	-0.07637
O00329_pIC50	992	248	166	0.53765
O00329_pKi	107	27	166	0.73042
O00400_pIC50	113	29	166	0.14834
O00408_pIC50	260	66	166	0.70377
O00444_pIC50	52	13	166	0.84977
O00487_pIC50	314	79	166	-0.09647
O00519_pIC50	708	178	166	0.65964
O00519_pKi	249	63	166	0.43088
O00748_pIC50	50	13	166	-0.03513
O00748_pKi	64	17	166	-0.21517
O00763_pIC50	340	85	166	0.49779
O00767_pIC50	302	76	166	0.37227
O14672_pIC50	478	120	166	0.88908
O14684_pIC50	545	137	166	0.7284
O14727_pIC50	356	89	166	0.30092
O14744_pIC50	40	11	166	-0.34062
O14746_pEC50	88	22	166	0.18614
O14746_pIC50	400	100	166	0.43658
O14757_pEC50	92	24	166	0.5468
O14757_pIC50	1314	329	166	0.52054
O14757_pKi	111	28	166	0.60554
O14763_pEC50	124	31	166	-0.21435
O14786_pIC50	59	15	166	0.54679
O14842_pEC50	606	152	166	0.33398
O14842_pIC50	42	11	166	0.7696
O14842_pKi	57	15	166	-0.41568
O14920_pIC50	720	180	166	0.6136
O14920_pKi	154	39	166	0.24733
O14939_pIC50	152	39	166	0.46594
O14965_pIC50	1684	421	166	0.55801
O14965_pKd	81	21	166	-0.1136
O14965_pKi	131	33	166	0.68197
O14976_pKd	52	13	166	-0.45354
O15054_pIC50	44	12	166	0.66635
O15111_pIC50	235	59	166	0.29575
O15120_pIC50	87	22	166	0.28417
O15164_pIC50	46	12	166	0.88139
O15229_pIC50	86	22	166	0.45388
O15245_pIC50	61	16	166	-0.03022
O15305_pIC50	44	12	166	0.30952
O15379_pIC50	532	134	166	0.52104
O15382_pIC50	77	20	166	0.64464
O15492_pEC50	52	13	166	-0.90736
O15530_pIC50	499	125	166	0.73975
O15552_pIC50	108	28	166	0.15263
O15554_pIC50	40	11	166	0.88429
O43174_pIC50	112	28	166	0.38617
O43193_pEC50	84	22	166	0.02061
O43193_pKi	60	15	166	-0.01896
O43194_pEC50	53	14	166	-0.47448
O43318_pIC50	123	31	166	0.03928
O43353_pIC50	189	48	166	0.39631
O43451_pIC50	77	20	166	0.50701
O43497_pIC50	292	74	166	0.54308
O43521_pEC50	127	32	166	-0.2906
O43526_pEC50	102	26	166	0.24152
O43570_pIC50	41	11	166	-0.33778
O43570_pKd	44	12	166	0.03813
O43570_pKi	1364	342	166	0.56
O43603_pIC50	42	11	166	-0.80834
O43613_pEC50	107	27	166	0.8361
O43613_pIC50	471	118	166	0.63116
O43613_pKd	51	13	166	0.46059
O43613_pKi	365	92	166	0.56016
O43614_pEC50	123	31	166	0.8436
O43614_pIC50	327	82	166	0.39417
O43614_pKd	51	13	166	-0.42232
O43614_pKi	401	101	166	0.49835
O60218_pIC50	71	18	166	0.69206
O60240_pIC50	217	55	166	0.29154
O60341_pIC50	212	53	166	0.75808
O60341_pKi	138	35	166	0.59466
O60502_pKi	124	32	166	0.44297
O60563_pIC50	127	32	166	0.06723
O60563_pKi	78	20	166	-0.11607
O60674_pIC50	1422	356	166	0.54416
O60674_pKi	238	60	166	0.48131
O60706_pEC50	42	11	166	0.0063
O60725_pIC50	185	47	166	0.60184
O60755_pIC50	135	34	166	-0.29069
O60760_pIC50	49	13	166	-0.17833
O60885_pIC50	444	112	166	0.35447
O60885_pKd	49	13	166	0.30921
O60885_pKi	58	15	166	0.59964
O60911_pIC50	107	27	166	-0.19162
O75116_pIC50	643	161	166	0.50704
O75116_pKi	75	19	166	0.70388
O75164_pIC50	108	28	166	0.35081
O75173_pIC50	206	52	166	0.56522
O75460_pEC50	128	33	166	0.29661
O75460_pIC50	234	59	166	0.44781
O75469_pEC50	188	48	166	0.69938
O75475_pIC50	190	48	166	0.38735
O75530_pIC50	73	19	166	-0.0366
O75582_pIC50	60	15	166	0.42754
O75762_pEC50	106	27	166	0.57526
O75762_pIC50	152	38	166	0.52982
O75874_pKi	50	13	166	-0.60038
O75907_pIC50	450	113	166	0.30131
O75908_pIC50	110	28	166	0.80722
O76074_pIC50	1140	286	166	0.55645
O76074_pKi	80	20	166	0.64483
O76083_pIC50	77	20	166	0.09193
O94768_pIC50	48	12	166	0.16767
O94925_pIC50	361	91	166	0.81004
O94953_pIC50	45	12	166	-0.34128
O95136_pIC50	140	35	166	0.53082
O95180_pEC50	615	154	166	-0.01283
O95180_pIC50	174	44	166	0.40602
O95263_pIC50	101	26	166	0.18759
O95271_pIC50	115	29	166	0.5211
O95342_pIC50	242	61	166	0.324
O95399_pEC50	48	12	166	0.05959
O95461_pEC50	64	17	166	0.17445
O95551_pEC50	43	11	166	-0.76826
O95551_pIC50	244	62	166	0.33849
O95665_pKi	43	11	166	-1.13222
O95749_pIC50	94	24	166	0.49345
O95819_pIC50	60	15	166	0.44987
O95822_pIC50	219	55	166	0.62625
O95838_pEC50	68	17	166	0.29328
O95931_pIC50	65	17	166	0.66483
O95977_pEC50	135	34	166	0.42932
O95977_pIC50	157	40	166	0.45292
O96017_pIC50	252	63	166	0.82616
P00338_pIC50	90	23	166	0.11811
P00338_pKd	48	13	166	0.66711
P00352_pIC50	40	11	166	0.46387
P00374_pIC50	496	124	166	0.46534
P00374_pKi	200	50	166	0.5308
P00390_pIC50	65	17	166	0.19211
P00488_pIC50	79	20	166	0.44848
P00491_pIC50	82	21	166	0.75091
P00491_pKi	152	38	166	0.41111
P00492_pKi	75	19	166	0.11444
P00519_pEC50	60	16	166	0.07653
P00519_pIC50	814	204	166	0.50267
P00519_pKd	56	14	166	-0.61694
P00519_pKi	500	126	166	0.72748
P00533_pIC50	3434	859	166	0.51211
P00533_pKd	50	13	166	-0.027
P00533_pKi	98	25	166	0.87688
P00734_pIC50	1376	344	166	0.45747
P00734_pKd	44	11	166	0.60056
P00734_pKi	2671	668	166	0.58523
P00736_pIC50	45	12	166	-0.05184
P00740_pKi	204	51	166	0.58274
P00742_pIC50	1560	391	166	0.53875
P00742_pKi	2644	661	166	0.61965
P00747_pIC50	261	66	166	0.34836
P00747_pKi	469	118	166	0.48834
P00748_pIC50	151	38	166	0.08979
P00748_pKi	146	37	166	0.45562
P00749_pIC50	196	50	166	0.74392
P00749_pKi	684	171	166	0.52461
P00750_pIC50	93	24	166	0.28511
P00750_pKi	224	57	166	0.38282
P00797_pIC50	2102	526	166	0.47692
P00797_pKi	88	23	166	0.74863
P00813_pKi	41	11	166	-0.36441
P00915_pIC50	148	37	166	0.51167
P00915_pKd	84	22	166	0.70088
P00915_pKi	3165	792	166	0.45532
P00918_pIC50	401	101	166	0.71249
P00918_pKd	217	55	166	0.69265
P00918_pKi	3295	824	166	0.58639
P01275_pKi	50	13	166	-0.57384
P01282_pKi	51	13	166	-0.19451
P01375_pIC50	671	168	166	0.59195
P01375_pKi	101	26	166	-2.02789
P02753_pIC50	45	12	166	-0.66211
P02766_pIC50	48	13	166	-0.46079
P02768_pKd	55	14	166	0.25741
P03372_pEC50	535	134	166	0.2734
P03372_pIC50	1368	343	166	0.68815
P03372_pKi	242	61	166	0.73573
P03951_pIC50	187	47	166	0.4272
P03951_pKi	139	35	166	0.6572
P03952_pIC50	52	13	166	-0.15329
P03952_pKi	128	32	166	0.47935
P03956_pIC50	1521	381	166	0.51194
P03956_pKi	517	130	166	0.77539
P04035_pIC50	172	44	166	0.79968
P04054_pIC50	388	97	166	0.7073
P04062_pIC50	264	67	166	0.71138
P04062_pKi	141	36	166	0.60638
