index1	index2	feature_jaccard_similarity
O00444_pIC50	O14672_pIC50	0.5340909090909091
O00444_pIC50	O14842_pIC50	0.11827956989247312
O00444_pIC50	O15530_pIC50	0.13675213675213677
O00444_pIC50	O43613_pEC50	0.061855670103092786
O00444_pIC50	O43614_pEC50	0.09243697478991597
O00444_pIC50	O60341_pIC50	0.1926605504587156
O00444_pIC50	O75908_pIC50	0.625
O00444_pIC50	O94925_pIC50	0.48299319727891155
O00444_pIC50	O96017_pIC50	0.16666666666666666
O00444_pIC50	P00533_pKi	0.5368421052631579
O00444_pIC50	P03956_pKi	0.18699186991869918
O00444_pIC50	P04035_pIC50	0.4672897196261682
O00444_pIC50	P07099_pIC50	0.21
O00444_pIC50	P07477_pKi	0.21138211382113822
O00444_pIC50	P09871_pKi	0.22093023255813954
O00444_pIC50	P10323_pIC50	0.2736842105263158
O00444_pIC50	P10636_pKi	0.03896103896103896
O00444_pIC50	P11142_pIC50	0.25609756097560976
O00444_pIC50	P11473_pIC50	0.43636363636363634
O00444_pIC50	P13726_pIC50	0.20212765957446807
O00444_pIC50	P14867_pIC50	0.05333333333333334
O00444_pIC50	P16581_pIC50	0.5053763440860215
O00444_pIC50	P19793_pIC50	0.16822429906542055
O00444_pIC50	P20309_pKd	0.4485981308411215
O00444_pIC50	P21397_pKi	0.35537190082644626
O00444_pIC50	P21728_pEC50	0.20512820512820512
O00444_pIC50	P22894_pKi	0.1504424778761062
O00444_pIC50	P24530_pKi	0.09090909090909091
O00444_pIC50	P25025_pKi	0.1724137931034483
O00444_pIC50	P25929_pIC50	0.10526315789473684
O00444_pIC50	P29375_pIC50	0.5098039215686274
O00444_pIC50	P30411_pKd	0.0
O00444_pIC50	P30536_pIC50	0.023529411764705882
O00444_pIC50	P30542_pEC50	0.10666666666666667
O00444_pIC50	P30556_pIC50	0.4036697247706422
O00444_pIC50	P35218_pKi	0.19
O00444_pIC50	P35968_pKi	0.15
O00444_pIC50	P39748_pIC50	0.2839506172839506
O00444_pIC50	P43004_pIC50	0.11538461538461539
O00444_pIC50	P43166_pKi	0.23684210526315788
O00444_pIC50	P43681_pIC50	0.580952380952381
O00444_pIC50	P47900_pIC50	0.023529411764705882
O00444_pIC50	P47901_pEC50	0.08433734939759036
O00444_pIC50	P47929_pKd	0.18691588785046728
O00444_pIC50	P48736_pKi	0.18181818181818182
O00444_pIC50	P49146_pEC50	0.5145631067961165
O00444_pIC50	P55055_pEC50	0.43703703703703706
O00444_pIC50	P62937_pKd	0.36363636363636365
O00444_pIC50	P78536_pIC50	0.45569620253164556
O00444_pIC50	P98170_pKi	0.5041322314049587
O00444_pIC50	Q01726_pKi	0.13725490196078433
O00444_pIC50	Q02127_pKi	0.07692307692307693
O00444_pIC50	Q04760_pKi	0.6
O00444_pIC50	Q07817_pIC50	0.15
O00444_pIC50	Q08499_pKi	0.1282051282051282
O00444_pIC50	Q13093_pIC50	0.1322314049586777
O00444_pIC50	Q13370_pIC50	0.07368421052631578
O00444_pIC50	Q13526_pKd	0.0945945945945946
O00444_pIC50	Q14397_pIC50	0.04054054054054054
O00444_pIC50	Q14416_pIC50	0.4818181818181818
O00444_pIC50	Q14832_pEC50	0.19047619047619047
O00444_pIC50	Q15746_pIC50	0.5925925925925926
O00444_pIC50	Q16665_pIC50	0.07865168539325842
O00444_pIC50	Q16769_pIC50	0.1262135922330097
O00444_pIC50	Q6V1X1_pKi	0.16853932584269662
O00444_pIC50	Q86TI2_pKi	0.3854166666666667
O00444_pIC50	Q8IU80_pKi	0.0
O00444_pIC50	Q92843_pKi	0.0975609756097561
O00444_pIC50	Q96LA8_pIC50	0.39805825242718446
O00444_pIC50	Q9GZT9_pIC50	0.12149532710280374
O00444_pIC50	Q9HBH1_pIC50	0.05194805194805195
O00444_pIC50	Q9Y271_pKi	0.27906976744186046
O00444_pIC50	Q9Y5N1_pIC50	0.11304347826086956
O00444_pIC50	Q9Y5S8_pKi	0.5106382978723404
O14672_pIC50	O14842_pIC50	0.13095238095238096
O14672_pIC50	O15530_pIC50	0.12727272727272726
O14672_pIC50	O43613_pEC50	0.021739130434782608
O14672_pIC50	O43614_pEC50	0.06140350877192982
O14672_pIC50	O60341_pIC50	0.11009174311926606
O14672_pIC50	O75908_pIC50	0.4888888888888889
O14672_pIC50	O94925_pIC50	0.41216216216216217
O14672_pIC50	O96017_pIC50	0.08771929824561403
O14672_pIC50	P00533_pKi	0.4574468085106383
O14672_pIC50	P03956_pKi	0.1322314049586777
O14672_pIC50	P04035_pIC50	0.45098039215686275
O14672_pIC50	P07099_pIC50	0.2727272727272727
O14672_pIC50	P07477_pKi	0.12
O14672_pIC50	P09871_pKi	0.1566265060240964
O14672_pIC50	P10323_pIC50	0.15463917525773196
O14672_pIC50	P10636_pKi	0.028985507246376812
O14672_pIC50	P11142_pIC50	0.23684210526315788
O14672_pIC50	P11473_pIC50	0.6021505376344086
O14672_pIC50	P13726_pIC50	0.2235294117647059
O14672_pIC50	P14867_pIC50	0.07692307692307693
O14672_pIC50	P16581_pIC50	0.40860215053763443
O14672_pIC50	P19793_pIC50	0.24731182795698925
O14672_pIC50	P20309_pKd	0.46
O14672_pIC50	P21397_pKi	0.2916666666666667
O14672_pIC50	P21728_pEC50	0.21428571428571427
O14672_pIC50	P22894_pKi	0.09009009009009009
O14672_pIC50	P24530_pKi	0.10126582278481013
O14672_pIC50	P25025_pKi	0.09411764705882353
O14672_pIC50	P25929_pIC50	0.05405405405405406
O14672_pIC50	P29375_pIC50	0.4948453608247423
O14672_pIC50	P30411_pKd	0.015384615384615385
O14672_pIC50	P30536_pIC50	0.012987012987012988
O14672_pIC50	P30542_pEC50	0.08823529411764706
O14672_pIC50	P30556_pIC50	0.5824175824175825
O14672_pIC50	P35218_pKi	0.13402061855670103
O14672_pIC50	P35968_pKi	0.1276595744680851
O14672_pIC50	P39748_pIC50	0.21794871794871795
O14672_pIC50	P43004_pIC50	0.15053763440860216
O14672_pIC50	P43166_pKi	0.1
O14672_pIC50	P43681_pIC50	0.5096153846153846
O14672_pIC50	P47900_pIC50	0.02631578947368421
O14672_pIC50	P47901_pEC50	0.08
O14672_pIC50	P47929_pKd	0.11320754716981132
O14672_pIC50	P48736_pKi	0.125
O14672_pIC50	P49146_pEC50	0.6333333333333333
O14672_pIC50	P55055_pEC50	0.39097744360902253
O14672_pIC50	P62937_pKd	0.5555555555555556
O14672_pIC50	P78536_pIC50	0.3987341772151899
O14672_pIC50	P98170_pKi	0.44166666666666665
O14672_pIC50	Q01726_pKi	0.15053763440860216
O14672_pIC50	Q02127_pKi	0.13636363636363635
O14672_pIC50	Q04760_pKi	0.4895833333333333
O14672_pIC50	Q07817_pIC50	0.12173913043478261
O14672_pIC50	Q08499_pKi	0.06756756756756757
O14672_pIC50	Q13093_pIC50	0.06666666666666667
O14672_pIC50	Q13370_pIC50	0.010869565217391304
O14672_pIC50	Q13526_pKd	0.07462686567164178
O14672_pIC50	Q14397_pIC50	0.014925373134328358
O14672_pIC50	Q14416_pIC50	0.4807692307692308
O14672_pIC50	Q14832_pEC50	0.22972972972972974
O14672_pIC50	Q15746_pIC50	0.5384615384615384
O14672_pIC50	Q16665_pIC50	0.0875
O14672_pIC50	Q16769_pIC50	0.10309278350515463
O14672_pIC50	Q6V1X1_pKi	0.25
O14672_pIC50	Q86TI2_pKi	0.5897435897435898
O14672_pIC50	Q8IU80_pKi	0.0
O14672_pIC50	Q92843_pKi	0.02531645569620253
O14672_pIC50	Q96LA8_pIC50	0.5517241379310345
O14672_pIC50	Q9GZT9_pIC50	0.05714285714285714
O14672_pIC50	Q9HBH1_pIC50	0.02857142857142857
O14672_pIC50	Q9Y271_pKi	0.2948717948717949
O14672_pIC50	Q9Y5N1_pIC50	0.08181818181818182
O14672_pIC50	Q9Y5S8_pKi	0.4
O14842_pIC50	O15530_pIC50	0.10714285714285714
O14842_pIC50	O43613_pEC50	0.10526315789473684
O14842_pIC50	O43614_pEC50	0.15384615384615385
O14842_pIC50	O60341_pIC50	0.15384615384615385
O14842_pIC50	O75908_pIC50	0.09574468085106383
O14842_pIC50	O94925_pIC50	0.17105263157894737
O14842_pIC50	O96017_pIC50	0.1625
O14842_pIC50	P00533_pKi	0.1276595744680851
O14842_pIC50	P03956_pKi	0.23255813953488372
