fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
O43193_pKi	10	3	14	6	8	5	13	5	0	0	3	0	0	0	0	0	5	0	26	1	9	0	9	0	12	6	91	34	6	3	9	3
O60563_pIC50	7	3	31	17	17	4	31	18	6	4	10	5	5	4	7	4	2	2	2	2	2	2	2	2	4	1	10	3	2	1	5	2
O76074_pIC50	20	9	24	13	36	27	82	64	14	9	26	10	27	8	72	44	16	12	44	36	39	26	67	44	17	7	23	10	34	14	88	51
O95180_pIC50	10	6	19	7	4	4	18	4	5	2	11	6	4	2	9	3	4	3	4	3	6	3	11	4	5	0	12	2	3	0	6	1
P00742_pIC50	17	11	57	43	50	34	94	75	19	8	53	21	58	28	151	106	29	22	82	63	85	58	104	86	25	15	50	28	25	16	115	66
P00749_pKi	16	11	30	13	16	13	31	16	11	7	14	7	13	7	24	7	28	23	80	37	41	32	52	40	33	18	37	25	39	25	78	65
P03372_pKi	24	16	31	24	11	9	18	11	9	5	36	5	13	6	36	11	18	13	42	23	41	21	53	33	5	2	29	3	8	2	50	7
P03956_pIC50	32	24	69	57	71	53	110	88	31	24	61	40	59	41	63	46	45	35	54	43	39	27	84	79	39	17	60	29	70	44	112	79
P04062_pIC50	14	10	30	14	24	19	31	21	12	8	23	12	13	8	13	8	13	6	43	29	14	10	20	10	7	6	7	6	8	6	13	7
P04066_pKi	8	4	25	10	3	1	21	7	5	1	8	4	4	2	16	4	4	1	36	14	1	1	4	1	5	2	13	4	1	1	7	1
P04150_pEC50	16	7	36	17	15	9	15	9	8	5	10	6	10	6	10	6	27	16	45	32	25	21	45	24	11	7	35	12	13	6	13	6
P04150_pIC50	37	29	48	34	48	39	100	64	25	21	60	53	29	23	75	52	37	30	92	44	67	49	124	91	46	14	58	35	54	26	116	88
P04150_pKi	18	16	38	23	33	18	50	38	18	10	20	10	21	11	24	18	16	13	30	16	21	13	54	35	12	4	34	11	17	5	71	38
P05106_pIC50	28	25	79	64	46	29	73	46	12	9	62	23	23	14	96	47	17	12	25	16	22	12	53	21	19	9	43	14	9	6	60	16
P06756_pIC50	9	3	40	19	8	4	10	4	8	1	27	7	3	1	3	1	8	3	10	4	10	5	23	10	7	2	12	3	5	2	13	4
P06870_pKi	11	2	19	11	14	5	14	5	6	2	27	3	12	2	15	3	13	7	13	7	15	10	17	10	4	3	15	3	3	2	8	3
P07947_pIC50	13	6	16	6	12	7	12	7	4	4	4	4	4	3	4	3	5	3	7	3	10	2	12	3	6	3	18	4	4	2	24	5
P07948_pIC50	13	7	23	8	9	6	15	9	8	4	31	14	5	4	33	9	11	7	44	11	9	6	31	10	10	6	43	22	7	6	21	7
P08069_pIC50	18	12	30	15	36	22	36	22	18	10	23	13	27	11	28	11	12	8	52	24	20	13	69	50	13	8	43	9	18	5	40	16
P08172_pIC50	23	17	34	23	20	12	53	25	19	7	50	15	24	9	41	18	26	20	75	34	43	32	71	33	9	8	53	36	22	10	56	23
P08238_pEC50	11	9	11	9	9	5	15	9	5	2	11	7	10	7	11	8	13	11	15	11	13	11	16	11	8	6	12	6	8	5	15	8
P08588_pIC50	18	13	63	25	30	18	33	18	26	15	53	36	20	11	46	26	18	15	29	17	17	10	60	19	15	9	49	22	19	10	41	22
P08709_pKi	13	9	21	10	9	7	9	7	8	6	8	6	9	8	9	8	35	25	38	25	39	28	61	39	16	6	20	11	17	5	20	12
P09874_pKi	27	13	47	16	21	15	29	18	23	8	83	46	20	8	49	18	10	6	20	10	19	8	24	10	13	6	48	17	11	5	27	12
P0DMS8_pEC50	14	7	20	7	19	6	45	15	7	0	25	2	1	0	9	0	13	6	17	9	5	2	15	4	8	5	14	5	13	5	19	6
P0DMS8_pKi	27	22	52	30	50	34	82	68	25	23	42	23	51	29	116	80	52	45	61	50	56	47	103	60	30	19	38	19	55	38	93	60
P10276_pEC50	5	2	42	14	2	1	23	4	2	0	5	1	2	0	5	0	14	10	16	13	12	10	14	10	10	7	10	7	8	5	8	5
P10415_pEC50	10	5	15	7	7	2	28	13	3	1	4	1	3	1	4	1	13	9	50	20	13	8	45	10	15	1	47	16	13	2	24	5
P10721_pIC50	20	14	33	22	22	13	49	32	26	17	26	17	21	15	25	18	8	3	42	18	36	15	64	40	21	8	33	19	20	13	28	17
P11309_pIC50	23	17	33	23	36	27	52	43	16	11	20	11	26	17	62	44	19	14	42	23	23	11	76	53	13	10	35	15	13	9	32	12
P11388_pIC50	7	5	37	7	13	7	17	10	15	3	23	5	14	4	20	7	9	6	12	7	4	2	9	4	3	2	9	2	5	3	5	3
P11511_pIC50	25	19	30	22	27	22	50	29	24	17	29	21	41	21	110	68	33	17	48	29	48	27	108	88	23	11	66	50	37	14	75	60
P15085_pKi	3	2	3	2	1	1	6	1	1	0	1	0	1	1	1	1	7	3	7	3	4	1	4	1	6	2	18	2	3	1	4	1
P19320_pIC50	14	6	22	19	17	11	27	18	9	5	28	6	5	4	5	4	14	7	60	27	10	2	14	5	10	5	10	5	2	2	2	2
P21452_pKi	12	7	17	12	22	16	22	16	9	7	15	7	23	12	42	19	18	9	18	9	29	18	47	27	6	5	11	6	15	6	24	9
P21554_pKi	37	31	55	34	36	32	101	87	16	10	66	22	66	55	110	73	54	46	56	48	84	64	95	86	34	13	67	41	77	43	121	83
