fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
O43193_pKi	0.0326225	-0.079503	0.0215055	0.034081	-0.172084	-0.1234605	0.197488	-0.1234605	NA	NA	-0.57907	NA	NA	NA	NA	NA	-0.13439	NA	-0.0373455	-0.329544	-0.3607335	NA	-0.3607335	NA	-0.37503	-0.3094355	-0.0138665	-0.2108245	-0.978059	-0.3087245	-0.6675555	-0.3087245
O60563_pIC50	-0.318015	-0.4633255	-0.301662	-0.2498895	-0.342513	-0.5268855	-0.381184	-0.353163	-0.509835	-0.4847275	-0.403435	-0.464921	-0.5571825	-0.5268855	-0.3404265	-0.5268855	-0.2773625	-0.2773625	-0.2773625	-0.2773625	-0.173392	-0.173392	-0.173392	-0.173392	-0.514844	-0.246202	-0.482209	-0.3518295	-0.173392	-0.192162	-0.5013195	-0.4307565
O76074_pIC50	0.5650925	0.6086115	0.592226	0.559527	0.6128745	0.6067795	0.6602095	0.666016	0.641345	0.602883	0.6412615	0.6284815	0.587829	0.555797	0.662272	0.6456365	0.5753855	0.5274045	0.617583	0.6255785	0.6016935	0.5962425	0.6418495	0.6202195	0.5818205	0.582012	0.5881665	0.5800925	0.565479	0.54105	0.6408095	0.597111
O95180_pIC50	-0.201643	-0.350304	-0.101871	-0.3524035	-0.368607	-0.368607	-0.412512	-0.368607	-0.286729	-0.244832	-0.1112045	-0.29933	-0.3538665	-0.255419	-0.2620275	-0.3648205	-0.513403	-0.6585415	-0.513403	-0.6585415	-0.4772005	-0.5732775	-0.5047415	-0.3973765	-0.4106985	NA	-0.138811	-0.750427	-0.6824815	NA	-0.3152095	-0.7008185
P00742_pIC50	0.5253495	0.4861285	0.5474615	0.5439325	0.533155	0.5311435	0.559257	0.5516965	0.489562	0.5059185	0.5515865	0.5196205	0.545746	0.526531	0.561903	0.557325	0.494417	0.457423	0.555852	0.5565205	0.554081	0.519486	0.5549095	0.555621	0.518685	0.500784	0.5144695	0.495016	0.4945485	0.4928235	0.561404	0.5308375
P00749_pKi	0.582816	0.6025365	0.587636	0.5999025	0.6233465	0.628705	0.6343725	0.6233465	0.607025	0.596725	0.610222	0.596725	0.617609	0.603255	0.612986	0.603255	0.5209125	0.5260425	0.582875	0.5894755	0.618031	0.62632	0.616434	0.6214075	0.596503	0.5939175	0.593992	0.5999375	0.6210305	0.6248435	0.642994	0.6417975
P03372_pKi	0.5818505	0.565747	0.5758755	0.5818505	0.59104	0.593723	0.6016895	0.59104	0.5649225	0.5643535	0.578902	0.5643535	0.5942335	0.5727615	0.5916015	0.6049585	0.5854405	0.557517	0.58406	0.583301	0.649789	0.653083	0.6448475	0.6625455	0.518468	0.293769	0.5441135	0.4557285	0.595579	0.314759	0.6286255	0.5650405
P03956_pIC50	0.526949	0.5181285	0.534173	0.5320465	0.549439	0.5402385	0.5509655	0.552227	0.52049	0.528116	0.53991	0.524476	0.554239	0.5421285	0.5525645	0.5391445	0.505074	0.4986	0.521748	0.5027135	0.4663265	0.469818	0.5234765	0.523401	0.5010905	0.5059655	0.5179475	0.505018	0.519619	0.5004455	0.5237655	0.525124
P04062_pIC50	0.22756	0.2222285	0.268841	0.22756	0.3033685	0.308683	0.308427	0.3298295	0.283741	0.2766905	0.250646	0.3007195	0.415262	0.3956075	0.415262	0.3956075	0.2647235	0.111592	0.2651145	0.2999645	0.335033	0.2938275	0.2958925	0.2938275	0.194283	0.1518905	0.194283	0.1518905	0.2565135	0.2339325	0.364633	0.2586875
P04066_pKi	-1.120963	-1.131707	-0.784545	-1.1193925	-1.031566	-0.470346	-0.824846	-0.7365645	-0.9985635	-0.4755085	-0.837066	-1.131707	-1.0294915	-0.6902835	-0.666529	-1.0294915	-1.0122645	-0.685931	-1.1136585	-1.109849	-0.6647395	-0.6647395	-1.323213	-0.6647395	-1.227179	-1.4431095	-1.250708	-1.224326	-0.6647395	-0.6647395	-1.3775275	-0.6647395
