N_train	N_test	N_all_features	all_features_testing
O00329_pKi	107	27	166	0.73042
O14757_pKi	111	28	166	0.60554
O15245_pIC50	61	16	166	-0.03022
O15530_pIC50	499	125	166	0.73975
O60755_pIC50	135	34	166	-0.29069
O60885_pKd	49	13	166	0.30921
O75907_pIC50	450	113	166	0.30131
O76083_pIC50	77	20	166	0.09193
O94925_pIC50	361	91	166	0.81004
O95977_pIC50	157	40	166	0.45292
P00519_pEC50	60	16	166	0.07653
P00797_pIC50	2102	526	166	0.47692
P00918_pKd	217	55	166	0.69265
P04035_pIC50	172	44	166	0.79968
P04066_pIC50	54	14	166	0.79977
P04150_pIC50	1076	270	166	0.5487
P05106_pIC50	922	231	166	0.55326
P07339_pKi	208	52	166	0.36173
P07384_pKi	184	46	166	0.48829
P07477_pKi	1094	274	166	0.77927
P08069_pIC50	933	234	166	0.59645
P08069_pKi	44	11	166	-0.03651
P08183_pIC50	444	112	166	0.59316
P08246_pIC50	540	136	166	0.64054
P08588_pKi	231	58	166	0.2995
P09874_pEC50	193	49	166	0.7027
P09923_pEC50	134	34	166	0.32787
P0DMS8_pEC50	64	16	166	-0.88227
P10828_pKi	73	19	166	0.31144
P11216_pKi	68	18	166	0.60021
P11229_pKi	550	138	166	0.61244
P11511_pIC50	1276	319	166	0.50502
P15121_pIC50	551	138	166	0.48561
P16083_pIC50	196	50	166	0.69805
P18084_pIC50	210	53	166	0.68232
P18564_pIC50	100	26	166	0.38281
P20309_pKi	635	159	166	0.65496
P20648_pIC50	196	50	166	0.47577
P20813_pIC50	78	20	166	-0.12744
P21980_pIC50	235	59	166	0.53159
P22748_pKi	455	114	166	0.65092
P23921_pIC50	44	11	166	0.61964
P24557_pIC50	656	164	166	0.56016
P24941_pIC50	2348	588	166	0.50904
P25021_pIC50	44	11	166	0.03429
P25024_pKi	77	20	166	0.52008
P27695_pIC50	69	18	166	0.54843
P27815_pIC50	393	99	166	0.7192
P27986_pIC50	391	98	166	0.5483
P28335_pEC50	452	114	166	0.28089
P28336_pKi	59	15	166	0.6235
P30291_pIC50	228	58	166	0.4737
P30405_pKd	84	22	166	-0.04279
P30518_pIC50	164	42	166	0.3647
P31749_pIC50	1152	289	166	0.63232
P34949_pIC50	337	85	166	-0.00027
P35236_pIC50	364	91	166	0.33438
P35346_pIC50	213	54	166	0.55673
P35869_pEC50	154	39	166	0.0986
P39086_pIC50	42	11	166	0.31386
P41235_pIC50	142	36	166	0.54667
P42338_pKi	91	23	166	0.54371
P42892_pKi	44	11	166	-0.38609
P43490_pIC50	323	81	166	0.42479
P43681_pEC50	324	82	166	0.41302
P46663_pKi	409	103	166	0.50473
P47900_pKi	236	59	166	0.47411
P48048_pIC50	125	32	166	0.5859
P49841_pKi	181	46	166	0.25915
P50281_pKi	117	30	166	-0.07269
P51681_pIC50	1442	361	166	0.69219
P51812_pIC50	191	48	166	-0.18517
P52333_pIC50	1118	280	166	0.48013
P98170_pKi	116	30	166	0.86255
Q05655_pIC50	355	89	166	0.5129
Q07973_pIC50	45	12	166	0.53296
Q08345_pIC50	296	75	166	0.22698
Q13002_pKi	86	22	166	0.16362
Q13224_pKi	64	16	166	0.18032
Q13936_pIC50	145	37	166	0.66537
Q14534_pIC50	52	14	166	0.34223
Q14790_pIC50	196	50	166	0.412
Q15046_pIC50	40	11	166	0.32948
Q15078_pIC50	688	173	166	0.33531
Q16665_pIC50	172	43	166	0.82357
Q16790_pIC50	62	16	166	0.36344
Q86V86_pIC50	284	71	166	0.62353
Q8NER1_pEC50	273	69	166	0.52945
Q96GD4_pKd	76	20	166	-0.01541
Q99814_pIC50	152	38	166	0.03786
Q99816_pIC50	45	12	166	-1.45853
Q9HC29_pIC50	497	125	166	-0.05064
Q9UBU7_pIC50	52	13	166	-1.03244
Q9UIQ6_pKi	65	17	166	0.41823
Q9UKP6_pIC50	84	22	166	0.38605
Q9UKP6_pKi	141	36	166	0.45588
Q9UQL6_pIC50	77	20	166	0.2895
Q9Y239_pIC50	298	75	166	0.31157
Q9Y337_pIC50	1007	252	166	0.54395
Q9Y5Y4_pKi	440	110	166	0.50361
