fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
O00329_pKi	12	5	31	25	28	22	29	22	7	3	37	12	21	3	41	15	20	10	30	22	20	12	28	23	23	6	46	20	18	6	27	11
O14757_pKi	21	8	38	22	20	14	31	16	5	4	72	39	5	4	60	17	24	14	26	14	10	6	35	15	19	12	27	13	18	11	57	14
O15245_pIC50	6	3	6	3	7	3	7	4	0	0	66	5	0	0	19	1	3	1	14	4	4	1	6	1	15	2	22	19	3	1	16	8
O15530_pIC50	31	28	52	31	48	41	59	47	31	14	60	38	37	24	61	35	50	25	90	61	56	50	58	53	32	17	111	69	39	18	104	54
O60755_pIC50	10	6	35	14	4	1	41	17	17	8	22	11	8	1	15	9	18	10	20	18	17	12	19	12	12	6	21	11	11	4	17	11
O60885_pKd	14	7	29	19	13	4	22	11	20	12	72	24	19	6	51	12	26	17	32	21	17	9	24	17	25	9	75	23	25	6	68	28
O75907_pIC50	19	11	23	15	24	15	24	15	8	4	22	5	9	5	11	5	35	23	35	23	21	14	33	18	12	1	70	24	22	2	112	84
O76083_pIC50	18	13	18	13	14	9	14	9	6	1	18	2	3	1	18	3	10	8	24	10	18	8	24	11	15	5	22	12	14	0	30	15
O94925_pIC50	21	17	28	17	21	16	31	18	20	4	132	123	15	2	146	109	47	43	51	44	46	46	46	46	3	3	118	95	8	3	158	39
O95977_pIC50	22	15	40	22	25	14	38	35	24	13	69	42	15	7	53	26	31	26	43	31	34	25	39	26	19	9	44	22	20	10	36	16
P00519_pEC50	3	1	3	1	3	1	3	1	1	1	1	1	1	0	1	1	3	1	15	2	3	1	7	2	2	0	26	2	1	0	7	0
P00797_pIC50	44	39	110	78	48	41	90	83	58	42	110	50	70	49	78	68	57	46	66	57	66	57	71	58	50	41	133	99	53	47	140	126
P00918_pKd	38	18	67	48	45	29	71	44	36	8	72	40	33	6	63	37	37	30	40	31	25	20	27	21	35	22	108	63	31	15	117	57
P04035_pIC50	16	11	22	15	19	12	19	12	21	8	92	44	25	5	85	36	29	22	34	29	31	27	34	28	27	3	106	87	45	6	97	83
P04066_pIC50	24	17	24	17	10	5	10	5	3	0	28	5	1	0	21	3	10	7	10	7	8	7	8	7	1	0	18	1	1	0	25	3
P04150_pIC50	49	44	59	47	73	60	80	60	34	20	81	62	59	34	85	74	63	59	70	63	72	62	82	78	57	36	79	62	62	47	81	63
P05106_pIC50	33	25	56	33	50	38	64	52	50	34	53	35	48	36	71	57	44	39	51	44	51	41	57	46	46	33	92	51	40	30	90	53
P07339_pKi	14	11	31	19	26	20	36	27	23	8	65	31	21	9	46	30	23	13	49	25	27	15	35	28	17	4	59	20	21	3	98	15
