fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
O00329_pKi	0.339799	0.295717	0.2801585	0.313567	0.3070925	0.3049505	0.299193	0.3049505	0.316315	0.271773	0.2752165	0.2831285	0.3499585	0.0837	0.3245615	0.350648	0.1288615	0.1935005	0.187295	0.1449305	0.1982255	0.2823635	0.2476475	0.259167	0.155517	0.0480545	0.28099	0.188493	0.2831925	0.0567125	0.2024385	0.228948
O14757_pKi	0.3588415	0.335531	0.4726405	0.3828445	0.3464675	0.3286095	0.372111	0.2812525	0.3659905	0.30275	0.493669	0.4144805	0.360556	0.19639	0.534889	0.3524405	0.2046965	0.1646955	0.1821505	0.1646955	0.081634	-0.0463055	0.1781505	0.3052475	0.0908675	-0.04455	0.031141	-0.059679	0.0022275	-0.181795	0.348032	-0.03813
O15245_pIC50	-0.582636	-0.7019455	-0.582636	-0.7019455	-0.8788025	-0.857907	-0.8788025	-0.4878955	NA	NA	-0.6761205	-0.632353	NA	NA	-0.781231	-0.7341625	-0.575322	-0.4105285	-0.487972	-0.768268	-0.8281585	-0.378376	-1.170795	-0.378376	-0.377375	-0.3257175	-0.803839	-0.603672	-0.364019	-0.312585	-0.304806	-0.364019
O15530_pIC50	0.650456	0.622079	0.6557445	0.650456	0.663161	0.66084	0.664536	0.661233	0.616439	0.5353575	0.660327	0.6291185	0.6323915	0.6247035	0.650748	0.627159	0.6562785	0.577386	0.686735	0.68218	0.64903	0.6426595	0.673974	0.6489345	0.561011	0.518105	0.676171	0.6570715	0.621156	0.5363765	0.634501	0.6293765
O60755_pIC50	-0.245304	-0.359124	-0.1566255	-0.282189	-0.2796225	-0.129113	-0.2683785	-0.2080385	-0.148472	-0.1290195	-0.1688915	-0.1469245	-0.104579	-0.113117	-0.162004	-0.104579	-0.531163	-0.1687075	-0.3319695	-0.531163	-0.318514	-0.208448	-0.2519045	-0.208448	-0.148408	-0.1466135	-0.2266545	-0.1476665	-0.1452275	-0.1147725	-0.2367175	-0.182596
O60885_pKd	-0.1829785	-0.270197	-0.1009805	-0.0432435	-0.395899	-0.267342	-0.226953	-0.285319	-0.4195615	-0.6603725	-0.1471805	-0.213176	-0.544836	-0.6386525	-0.167686	-0.484993	-0.3080735	-0.6030645	-0.2252715	-0.4753605	-0.390334	-0.9951325	-0.341545	-0.390334	-0.283697	-1.2327115	0.1147575	-0.7476445	-1.1958735	-0.8243365	0.3289615	-0.860565
O75907_pIC50	0.157964	0.12895	0.136766	0.1256675	0.2020795	0.190952	0.2020795	0.190952	0.162315	0.0595705	0.112803	0.0731915	0.1422875	0.075413	0.148304	0.075413	0.1601385	0.174971	0.1601385	0.174971	0.2030485	0.1977935	0.230199	0.1758095	0.011212	-0.0335355	0.105218	0.092476	0.146939	-0.0330385	0.1553	0.1989775
O76083_pIC50	0.1450615	0.198676	0.1450615	0.198676	0.2386245	-0.04841	0.2386245	-0.04841	-0.0765995	-0.388715	0.240906	-0.340343	-0.39928	-0.405771	0.200791	-0.39928	0.0563635	-0.035401	0.021369	0.0563635	-0.0071555	-0.0598415	-0.09077	0.286232	-0.322168	-0.3728735	-0.067006	-0.3691665	-0.3184715	NA	0.077263	-0.3184715
O94925_pIC50	0.7356985	0.7278135	0.7385855	0.7278135	0.753284	0.739826	0.750629	0.7403835	0.1920725	0.2025235	0.7394255	0.742462	0.203275	0.203302	0.778726	0.7178145	0.720889	0.7265575	0.723876	0.723076	0.7557605	0.7557605	0.7557605	0.7557605	-0.006215	-0.006215	0.7155515	0.7184445	-0.004877	-0.0047165	0.786367	0.2629575
O95977_pIC50	0.5075755	0.476859	0.4979665	0.5075755	0.56851	0.4962035	0.492654	0.5140365	0.505037	0.517725	0.5367035	0.518961	0.5367315	0.413696	0.5275445	0.527401	0.4135145	0.383707	0.47825	0.4788135	0.5155235	0.3430795	0.512751	0.3603625	0.3558745	0.1595215	0.4659955	0.27707	0.338546	0.1639475	0.3816355	0.299409
P00519_pEC50	-0.7768545	-0.663928	-0.7768545	-0.663928	-0.7928615	-0.6536635	-0.7928615	-0.6536635	-0.6114005	-0.6114005	-0.6114005	-0.6114005	-0.5816055	NA	-0.5816055	-0.5816055	-0.837709	-0.6887555	-2.1824315	-0.837709	-0.808822	-0.6738125	-1.2872325	-0.808822	-1.0386435	NA	-1.5334835	-0.695329	-1.0560325	NA	-1.6812765	NA
P00797_pIC50	0.542563	0.540453	0.5870105	0.566567	0.476593	0.470426	0.505862	0.4979425	0.551187	0.53697	0.568369	0.538367	0.4915475	0.479901	0.491867	0.491468	0.538465	0.536447	0.543787	0.538465	0.4662345	0.464971	0.459007	0.4656315	0.5536085	0.5496305	0.572127	0.563095	0.453296	0.4516045	0.4958655	0.492561
P00918_pKd	0.540847	0.5309725	0.576196	0.5431545	0.61124	0.5673375	0.6264255	0.6107775	0.4598765	0.002981	0.563769	0.578914	0.536487	0.3177785	0.611635	0.5820975	0.338806	0.34798	0.3351325	0.3339815	0.39507	0.310798	0.387292	0.3547835	0.2953235	0.163969	0.4526635	0.271157	0.28051	0.087489	0.5065945	0.25719
P04035_pIC50	0.6015535	0.5098025	0.628612	0.6004005	0.6485615	0.5441215	0.6485615	0.5441215	0.5949825	0.470023	0.645655	0.6284845	0.612758	0.462109	0.6728515	0.6060045	0.6319645	0.610017	0.6096635	0.6319645	0.658031	0.625412	0.642032	0.6428255	0.352126	-0.0871925	0.5834335	0.617456	0.605461	-0.090347	0.6653225	0.6717655
P04066_pIC50	0.329021	0.4032915	0.329021	0.4032915	0.1415695	0.226442	0.1415695	0.226442	-0.573592	NA	0.4929135	-0.573592	-0.5852345	NA	0.498595	-0.5852345	0.4492845	0.4743675	0.4492845	0.4743675	0.4513615	0.4624945	0.4513615	0.4624945	-0.573592	NA	0.2677635	-0.573592	-0.5852345	NA	0.2503875	-0.5852345
P04150_pIC50	0.5400775	0.5288365	0.542002	0.5353215	0.554091	0.557747	0.5550175	0.557747	0.516762	0.4909825	0.5420425	0.5354565	0.532222	0.5048245	0.5506945	0.54948	0.5470575	0.5412865	0.546685	0.5470575	0.5255485	0.5212385	0.5300035	0.531383	0.511486	0.4777775	0.5192515	0.517376	0.4932745	0.502095	0.502506	0.4940495
P05106_pIC50	0.4814195	0.496316	0.492805	0.4814195	0.5181725	0.5030835	0.5275765	0.5212045	0.4978355	0.4962855	0.496227	0.4979515	0.5209365	0.4910385	0.523434	0.5233705	0.462602	0.4847955	0.4659065	0.462602	0.4814725	0.4723935	0.5042725	0.483398	0.485358	0.4783335	0.4819915	0.466569	0.494797	0.4545195	0.492094	0.49286
P07339_pKi	0.3512495	0.391475	0.305574	0.300554	0.373246	0.392852	0.380537	0.379479	0.336055	0.293717	0.357036	0.3173905	0.3970495	0.2722985	0.373621	0.3810675	0.314381	0.273987	0.3017105	0.3336955	0.435078	0.390461	0.366684	0.4200655	0.226493	-0.058364	0.3791075	0.1808905	0.181164	-0.05968	0.3429365	0.1857205
P07384_pKi	0.663821	0.641678	0.648636	0.66448	0.6692175	0.6564155	0.6699125	0.651511	0.650933	0.6053805	0.6766555	0.6470205	0.671738	0.5613045	0.6737705	0.6529695	0.6347455	0.5024725	0.6519515	0.632468	0.488665	0.481794	0.6187455	0.5892395	0.5445545	0.54264	0.652305	0.663746	0.551894	0.523421	0.601162	0.5736135
P07477_pKi	0.769513	0.756295	0.7699905	0.768249	0.773488	0.770424	0.7759565	0.7737595	0.772064	0.775806	0.7853265	0.7815595	0.773175	0.7722945	0.773226	0.7728995	0.787806	0.777707	0.7861845	0.787011	0.7675785	0.763966	0.76753	0.7641215	0.777401	0.7665315	0.7761005	0.766205	0.7665935	0.761782	0.763534	0.764339
P08069_pIC50	0.5959105	0.5846045	0.604963	0.5839865	0.609768	0.5874605	0.611949	0.604459	0.601564	0.59433	0.614915	0.6070855	0.5988055	0.5729295	0.6097385	0.5962545	0.593445	0.593297	0.6072745	0.589656	0.600659	0.555678	0.6120775	0.601199	0.601824	0.5517825	0.6154475	0.584143	0.585983	0.523995	0.613618	0.5974725
P08069_pKi	-0.4875435	-1.152499	-0.509623	-2.0059335	-0.680918	-1.563997	-0.394831	-1.563997	-0.7842795	NA	-0.2376615	-0.7842795	-0.743862	NA	-0.1942525	-0.743862	-0.330483	-0.8767235	-0.590497	-0.595765	-0.5999345	-0.780341	-0.2542345	-0.591816	-1.702275	NA	-1.702275	NA	-1.7063315	NA	-1.7063315	NA
P08183_pIC50	0.446133	0.439466	0.4481755	0.453237	0.4530795	0.4439235	0.4885645	0.4530795	0.4368605	0.34128	0.418479	0.3907905	0.3974995	0.315873	0.470666	0.4640885	0.399625	0.4052	0.399625	0.4052	0.4040955	0.4040955	0.4614695	0.4362545	0.3462265	0.3152305	0.4303005	0.334677	0.389409	0.3894565	0.459622	0.4825205
P08246_pIC50	0.462176	0.4759995	0.4991845	0.4686085	0.539542	0.5283135	0.545931	0.5383925	0.516927	0.5080435	0.5232175	0.530397	0.499808	0.4954945	0.518889	0.534549	0.490474	0.473176	0.526386	0.48209	0.520134	0.4871795	0.548891	0.544656	0.518749	0.4463625	0.5464865	0.530378	0.5285595	0.476219	0.5468575	0.521905
P08588_pKi	0.3899955	0.377804	0.3647275	0.3899955	0.3882155	0.3706625	0.413762	0.407918	0.3089295	0.2967245	0.4282595	0.3831185	0.3835825	0.271259	0.452515	0.4452995	0.4128465	0.4081815	0.386619	0.415364	0.4287555	0.418553	0.4299675	0.4346555	0.3891715	0.2288675	0.4618445	0.301546	0.444564	0.2630185	0.465771	0.3428755
P09874_pEC50	0.589894	0.560022	0.5785315	0.5788635	0.595608	0.5816595	0.6048735	0.6221975	0.5523025	0.541331	0.569518	0.522861	0.5914235	0.5227365	0.6041915	0.5475155	0.6065415	0.6145345	0.5971845	0.618893	0.6064235	0.570599	0.60192	0.6112185	0.5950715	0.0766665	0.5334265	0.2511765	0.225642	-0.035198	0.5888915	0.506517
P09923_pEC50	0.2720595	0.215532	0.205752	0.2632095	0.3002845	0.2258755	0.2696195	0.3105255	0.199546	0.238119	0.159053	0.209503	0.260612	0.240224	0.242728	0.2379905	0.0910245	0.094931	0.184889	0.2190615	0.0169375	0.094378	0.1391775	0.0476435	0.127797	-0.1597255	0.1799885	-0.1347445	-0.180193	-0.1205795	0.210131	-0.155683
P0DMS8_pEC50	-0.080487	-0.286362	-0.1934345	-0.0768415	-0.118298	0.0539115	-0.28049	-0.1090185	-0.260411	-0.260411	0.0103735	-0.260411	-0.262894	NA	-0.409952	-0.262894	-0.1078635	-0.1179895	-0.1782965	-0.1179895	-0.0973235	-0.092186	-0.046808	-0.132905	-0.21542	-0.293891	-0.2536715	-0.21542	-0.1993315	-0.2973735	-0.057515	-0.2377245
P10828_pKi	0.285408	0.054362	0.14042	0.094511	0.1829875	0.1923015	0.1829875	0.1923015	0.176136	0.1420675	0.1926385	0.28397	0.2617495	0.1138535	0.123388	0.2232275	0.0219675	0.1559315	0.0203115	0.071573	0.236008	0.236008	0.238775	-0.1039925	0.147782	0.1386535	0.0714545	0.1825475	0.236008	0.133944	0.133989	0.133944
P11216_pKi	-0.190725	-0.1391135	-0.1702255	-0.2112495	-0.3344975	-0.064054	-0.2454465	-0.208854	-0.4623795	-0.439489	0.027914	-0.439489	0.0209865	-0.4892875	0.0209865	-0.4892875	-0.461962	-0.48571	-0.4442515	-0.461962	-0.3930255	-0.493658	-0.30585	-0.321987	-0.439489	-0.439489	-0.4569325	-0.439489	-0.461983	-0.461983	-0.535158	-0.461983
P11229_pKi	0.4334465	0.4330775	0.453076	0.432057	0.4702555	0.438914	0.48803	0.4864065	0.3985945	0.304111	0.455504	0.406154	0.411427	0.335585	0.4861885	0.459336	0.3815455	0.366919	0.4709055	0.440514	0.415212	0.3295015	0.4581685	0.4571075	0.404387	0.357699	0.4263235	0.4308015	0.429769	0.2388285	0.447177	0.4437925
P11511_pIC50	0.501937	0.495503	0.53316	0.488879	0.537134	0.527257	0.534076	0.537134	0.498632	0.4957475	0.516378	0.497414	0.5245175	0.5012435	0.530483	0.521021	0.49242	0.493092	0.49242	0.493092	0.4789305	0.4737745	0.480544	0.4737745	0.465538	0.436981	0.504337	0.471952	0.448297	0.416085	0.523167	0.469293
P15121_pIC50	0.4652215	0.480885	0.46331	0.4686205	0.496707	0.5011905	0.511489	0.503675	0.474505	0.438608	0.446893	0.4638745	0.5074085	0.463161	0.5166065	0.502162	0.4486865	0.4412025	0.442625	0.4486865	0.4914545	0.480158	0.4914545	0.480158	0.442765	0.4234635	0.4516215	0.465493	0.4792335	0.431914	0.477646	0.4493565
P16083_pIC50	0.4671355	0.421102	0.4768535	0.421102	0.4947975	0.4363675	0.512934	0.4363675	0.512881	0.398773	0.513217	0.4677285	0.483749	0.413857	0.5051855	0.417092	0.3536115	0.387655	0.3937435	0.419037	0.4175495	0.3652765	0.428159	0.354826	0.3779155	0.14942	0.4491165	0.148778	0.344926	0.1867775	0.4326005	0.299685
P18084_pIC50	0.6425655	0.561257	0.6601995	0.6425655	0.68754	0.6887365	0.698839	0.6887365	0.571167	0.4981155	0.666197	0.6506155	0.639181	0.596427	0.668351	0.66044	0.52911	0.380571	0.644522	0.660589	0.694654	0.579767	0.70624	0.7016545	0.529892	0.291876	0.668728	0.567041	0.50591	0.403446	0.7011435	0.5075025
P18564_pIC50	0.3069275	0.229878	0.3069275	0.229878	0.3071125	0.180167	0.3071125	0.180167	-0.156236	-0.156236	0.300434	-0.1938915	-0.155429	-0.155429	0.0895155	0.08683	0.055889	0.063794	0.090148	0.055889	0.07349	0.0749815	0.1895475	0.088188	-0.11952	NA	0.0816035	-0.1537225	-0.1522445	NA	-0.1118505	-0.1522445
P20309_pKi	0.6472005	0.624509	0.647642	0.646359	0.613435	0.593415	0.6214465	0.6249645	0.6268955	0.5616555	0.640686	0.6239585	0.6303325	0.575277	0.633444	0.630794	0.5711755	0.563512	0.584308	0.5726465	0.540478	0.5142115	0.541698	0.543295	0.5417805	0.4689305	0.60749	0.6138095	0.5410795	0.524286	0.5649205	0.541213
P20648_pIC50	0.3154065	0.2218355	0.343091	0.34509	0.209045	0.2519715	0.323911	0.2965975	0.3729485	0.18756	0.358955	0.345962	0.3718535	0.271064	0.3810355	0.4170935	0.350156	0.329887	0.332073	0.37469	0.366306	0.3593995	0.3481615	0.374173	-0.070765	-0.0654615	0.3934195	0.36383	-0.0708755	-0.0671235	0.4097365	0.3578635
P20813_pIC50	-0.1846925	-0.1680295	-0.1865715	-0.1680295	-0.2382045	-0.1765975	-0.3371435	-0.212009	-0.0377675	-0.0377675	-0.0377675	-0.0377675	-0.000583000000000001	-0.000583000000000001	-0.000583000000000001	-0.000583000000000001	0.004042	0.1031305	0.0203075	0.006345	-0.0223775	0.1552045	-0.0223775	0.1552045	-0.0383575	-0.299209	-0.0290735	-0.1367645	-0.000583000000000001	-0.2816175	-0.068021	-0.2816175
P21980_pIC50	0.333832	0.332309	0.3524605	0.333832	0.379229	0.392924	0.3831435	0.401849	0.2626165	0.2053545	0.3222735	0.3419065	0.3499235	0.205979	0.3465145	0.2689055	0.298261	0.0858415	0.292769	0.299163	0.349039	0.189741	0.3763455	0.361319	0.3181275	0.1533565	0.3342105	0.3342355	0.3517185	0.3567425	0.37909	0.353853
P22748_pKi	0.7065155	0.7031175	0.7056695	0.705379	0.713719	0.7059255	0.729105	0.7175105	0.7137585	0.7080745	0.7113905	0.7132635	0.730687	0.7038485	0.731056	0.730687	0.687066	0.59739	0.6931765	0.683568	0.6915325	0.493651	0.687912	0.6949645	0.608585	0.5240425	0.708118	0.6917935	0.6470795	0.378606	0.7214115	0.718626
P23921_pIC50	-0.5854745	-0.8661015	-0.516237	-0.578295	-0.5800665	-0.8998775	-0.6296505	-0.8998775	NA	NA	-0.5263505	NA	-1.1472945	NA	-0.900023	NA	-1.2654835	-1.171526	-1.2707085	-1.132041	-1.21413	-1.381798	-1.333701	-1.21413	-1.0557715	-1.127505	-1.0577245	-1.0144765	-0.9073335	-1.1053775	-1.145876	-0.9073335
P24557_pIC50	0.224016	0.204137	0.234495	0.2305235	0.2587215	0.257053	0.3053365	0.309135	0.2037165	0.1726265	0.2524255	0.1726265	0.246205	0.1714825	0.2706905	0.235822	0.1517275	0.180134	0.287606	0.2227675	0.181924	0.177675	0.24873	0.222568	0.148596	0.0080145	0.1536225	0.1535375	0.1683905	0.2106255	0.2056105	0.1817105
P24941_pIC50	0.566789	0.557464	0.599936	0.593373	0.515482	0.500023	0.5167775	0.518365	0.569312	0.5709565	0.579889	0.56893	0.506359	0.493635	0.5168235	0.5124645	0.5574735	0.5340675	0.601504	0.594397	0.482866	0.4720795	0.5049105	0.4895385	0.5682705	0.5437775	0.5815335	0.573857	0.4710195	0.4727	0.4924205	0.4773815
P25021_pIC50	-2.8991115	-0.7493605	-1.9778305	-2.703319	-3.9555185	-2.0563395	-3.081434	-3.895153	NA	NA	-1.468428	NA	NA	NA	NA	NA	-1.9392985	-1.4938345	-1.8809105	-1.832836	-1.8151685	-4.598859	-1.8151685	-4.598859	-1.5190615	NA	-1.3927925	-0.978319	-3.7010405	NA	-0.9016865	-0.845331
P25024_pKi	0.234152	0.103819	0.2294325	0.154271	0.2747405	0.181038	0.2747405	0.181038	0.1866215	0.104437	0.214104	0.202743	0.1669585	0.106974	0.2444845	0.1669585	0.1481615	0.177538	0.1481615	0.177538	0.2653735	0.132258	0.275936	0.2742535	-0.336304	-0.335465	-0.336304	-0.335465	-0.3817685	-0.3817685	-0.3817685	-0.3817685
P27695_pIC50	-0.58217	-0.437675	-0.365564	-0.4266885	-0.3472045	-0.2739815	-0.5821335	-0.3472045	-0.175568	-0.404698	-0.138791	0.056289	-0.160564	-0.388917	-0.044818	-0.000613499999999998	-0.775874	-0.575617	-1.12696	-1.42516	-0.8170065	-0.5078315	-1.4259	-1.8681185	-0.5045005	-0.479271	-0.54918	-0.479271	-0.465317	-0.465317	-0.5397605	-0.465317
P27815_pIC50	0.5316915	0.5023495	0.583805	0.5604595	0.571511	0.5756725	0.650823	0.6099015	0.5797845	0.5583515	0.602897	0.5511825	0.621072	0.596762	0.6429095	0.6464015	0.559488	0.565944	0.567801	0.566004	0.608672	0.603803	0.635795	0.5889645	0.574785	0.2245935	0.574936	0.468416	0.616048	0.457977	0.628418	0.577561
P27986_pIC50	0.359287	0.353315	0.3260685	0.3822825	0.372023	0.3428575	0.3549125	0.34216	0.312623	0.3132985	0.310903	0.3092965	0.3538605	0.339197	0.371904	0.353438	0.2557925	0.2971415	0.3574175	0.3234155	0.374196	0.346982	0.3833075	0.374196	0.2805505	0.049597	0.296064	0.3351835	0.2804535	0.0545405	0.2971785	0.2803375
