	constitutional_XLogP	constitutional_MW	constitutional_LipinskiFailures	constitutional_nRotB	constitutional_MLogP	constitutional_nAtomLAC	constitutional_nAtomP	constitutional_nAtomLC	constitutional_nB	constitutional_nBase	constitutional_nAtom	constitutional_nAromBond	constitutional_naAromAtom	constitutional_ALogP	constitutional_ALogp2	constitutional_AMR	electronic_tpsaEfficiency	electronic_TopoPSA	electronic_nHBDon	electronic_nHBAcc	electronic_PPSA.1	electronic_PPSA.2	electronic_PPSA.3	electronic_PNSA.1	electronic_PNSA.2	electronic_PNSA.3	electronic_DPSA.1	electronic_DPSA.2	electronic_DPSA.3	electronic_FPSA.1	electronic_FPSA.2	electronic_FPSA.3	electronic_FNSA.1	electronic_FNSA.2	electronic_FNSA.3	electronic_WPSA.1	electronic_WPSA.2	electronic_WPSA.3	electronic_WNSA.1	electronic_WNSA.2	electronic_WNSA.3	electronic_RPCG	electronic_RNCG	electronic_RPCS	electronic_RNCS	electronic_THSA	electronic_TPSA	electronic_RHSA	electronic_RPSA	electronic_bpol	electronic_apol	geometrical_topoShape	geometrical_geomShape	geometrical_MOMI.X	geometrical_MOMI.Y	geometrical_MOMI.Z	geometrical_MOMI.XY	geometrical_MOMI.XZ	geometrical_MOMI.YZ	geometrical_MOMI.R	geometrical_LOBMAX	geometrical_LOBMIN	geometrical_GRAV.1	geometrical_GRAV.2	geometrical_GRAV.3	geometrical_GRAVH.1	geometrical_GRAVH.2	geometrical_GRAVH.3	geometrical_GRAV.4	geometrical_GRAV.5	geometrical_GRAV.6	geometrical_PPSA.1	geometrical_PPSA.2	geometrical_PPSA.3	geometrical_PNSA.1	geometrical_PNSA.2	geometrical_PNSA.3	geometrical_DPSA.1	geometrical_DPSA.2	geometrical_DPSA.3	geometrical_FPSA.1	geometrical_FPSA.2	geometrical_FPSA.3	geometrical_FNSA.1	geometrical_FNSA.2	geometrical_FNSA.3	geometrical_WPSA.1	geometrical_WPSA.2	geometrical_WPSA.3	geometrical_WNSA.1	geometrical_WNSA.2	geometrical_WNSA.3	geometrical_RPCG	geometrical_RNCG	geometrical_RPCS	geometrical_RNCS	geometrical_THSA	geometrical_TPSA	geometrical_RHSA	geometrical_RPSA	hybrid_Wlambda1.unity	hybrid_Wlambda2.unity	hybrid_Wlambda3.unity	hybrid_Wnu1.unity	hybrid_Wnu2.unity	hybrid_Weta1.unity	hybrid_Weta2.unity	hybrid_Weta3.unity	hybrid_WT.unity	hybrid_WA.unity	hybrid_WV.unity	hybrid_WK.unity	hybrid_WD.unity	hybrid_BCUTw.1l	hybrid_BCUTw.1h	hybrid_BCUTc.1l	hybrid_BCUTc.1h	hybrid_BCUTp.1l	hybrid_BCUTp.1h	topological_nSmallRings	topological_nAromRings	topological_nRingBlocks	topological_nAromBlocks	topological_nRings3	topological_nRings4	topological_nRings5	topological_nRings6	topological_nRings7	topological_nRings8	topological_nRings9	topological_tpsaEfficiency	topological_Zagreb	topological_WPATH	topological_WPOL	topological_VAdjMat	topological_VABC	topological_TopoPSA	topological_topoShape	topological_geomShape	topological_PetitjeanNumber	topological_MDEC.11	topological_MDEC.12	topological_MDEC.13	topological_MDEC.14	topological_MDEC.22	topological_MDEC.23	topological_MDEC.24	topological_MDEC.33	topological_MDEC.34	topological_MDEC.44	topological_MDEO.11	topological_MDEO.12	topological_MDEO.22	topological_MDEN.11	topological_MDEN.12	topological_MDEN.13	topological_MDEN.22	topological_MDEN.23	topological_MDEN.33	topological_khs.sLi	topological_khs.ssBe	topological_khs.ssssBe	topological_khs.ssBH	topological_khs.sssB	topological_khs.ssssB	topological_khs.sCH3	topological_khs.dCH2	topological_khs.ssCH2	topological_khs.tCH	topological_khs.dsCH	topological_khs.aaCH	topological_khs.sssCH	topological_khs.ddC	topological_khs.tsC	topological_khs.dssC	topological_khs.aasC	topological_khs.aaaC	topological_khs.ssssC	topological_khs.sNH3	topological_khs.sNH2	topological_khs.ssNH2	topological_khs.dNH	topological_khs.ssNH	topological_khs.aaNH	topological_khs.tN	topological_khs.sssNH	topological_khs.dsN	topological_khs.aaN	topological_khs.sssN	topological_khs.ddsN	topological_khs.aasN	topological_khs.ssssN	topological_khs.sOH	topological_khs.dO	topological_khs.ssO	topological_khs.aaO	topological_khs.sF	topological_khs.sSiH3	topological_khs.ssSiH2	topological_khs.sssSiH	topological_khs.ssssSi	topological_khs.sPH2	topological_khs.ssPH	topological_khs.sssP	topological_khs.dsssP	topological_khs.sssssP	topological_khs.sSH	topological_khs.dS	topological_khs.ssS	topological_khs.aaS	topological_khs.dssS	topological_khs.ddssS	topological_khs.sCl	topological_khs.sGeH3	topological_khs.ssGeH2	topological_khs.sssGeH	topological_khs.ssssGe	topological_khs.sAsH2	topological_khs.ssAsH	topological_khs.sssAs	topological_khs.sssdAs	topological_khs.sssssAs	topological_khs.sSeH	topological_khs.dSe	topological_khs.ssSe	topological_khs.aaSe	topological_khs.dssSe	topological_khs.ddssSe	topological_khs.sBr	topological_khs.sSnH3	topological_khs.ssSnH2	topological_khs.sssSnH	topological_khs.ssssSn	topological_khs.sI	topological_khs.sPbH3	topological_khs.ssPbH2	topological_khs.sssPbH	topological_khs.ssssPb	topological_Kier1	topological_Kier2	topological_Kier3	topological_HybRatio	topological_fragC	topological_FMF	topological_ECCEN	topological_SCH.3	topological_SCH.4	topological_SCH.5	topological_SCH.6	topological_SCH.7	topological_VCH.3	topological_VCH.4	topological_VCH.5	topological_VCH.6	topological_VCH.7	topological_C1SP1	topological_C2SP1	topological_C1SP2	topological_C2SP2	topological_C3SP2	topological_C1SP3	topological_C2SP3	topological_C3SP3	topological_C4SP3	topological_ATSp1	topological_ATSp2	topological_ATSp3	topological_ATSp4	topological_ATSp5	topological_ATSm1	topological_ATSm2	topological_ATSm3	topological_ATSm4	topological_ATSm5	topological_ATSc1	topological_ATSc2	topological_ATSc3	topological_ATSc4	topological_ATSc5	toxicity_label
17-alpha-hydroxyprogesterone	4.27900	386.24571	0	3	3.66000	0	4	3	31	0	62	0	0	0.57360	0.32902	106.38880	0.15648	60.44000	0	4	509.47696	898.21306	15.51997	130.10447	-229.37550	-28.85736	379.37249	1127.58856	44.37734	0.79658	1.40438	0.02427	0.20342	-0.35863	-0.04512	325.85200	574.48039	9.92629	83.21240	-146.70431	-18.45663	0.14687	0.17065	0.05543	0.29160	543.31571	96.26572	0.84949	0.15051	41.95904	68.11896	1.00000	0.91618	5622.96014	5320.97470	1362.96689	1.05675	4.12553	3.90396	7.48333	2.04066	2.04066	2161.98035	46.49710	12.93056	2493.34520	49.93341	13.56003	5448.52504	73.81412	17.59650	509.47696	898.21306	15.51997	130.10447	-229.37550	-28.85736	379.37249	1127.58856	44.37734	0.79658	1.40438	0.02427	0.20342	-0.35863	-0.04512	325.85200	574.48039	9.92629	83.21240	-146.70431	-18.45663	0.14687	0.17065	0.05543	0.29160	543.31571	96.26572	0.84949	0.15051	2.24378	3.14186	11.72470	0.13114	0.18362	0.34549	0.48870	0.53434	17.11034	70.19460	169.95975	0.26393	1.36853	11.90000	15.99794	-0.30121	0.25906	4.42012	12.91330	4	0	1	0	0	0	1	3	0	0	0	0.15648	164	1759	62	5.95420	398.84933	60.44000	1.00000	0.91618	0.50000	1.63191	8.55318	9.52206	4.36816	7.97112	19.89354	8.39914	7.85652	8.39914	1.10521	0.34457	0.76631	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	5	0	7	0	1	0	4	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.24037	7.01730	2.92590	0.79167	3469.04000	0.27419	544	0.00000	0.00000	0.07217	0.40389	1.10053	0.00000	0.00000	0.07217	0.34863	0.85397	0	0	1	3	1	5	7	5	2	2568.87978	3250.43692	5305.68212	6049.17180	5326.11818	31.09788	32.66046	54.76330	66.09539	64.98510	0.51820	-0.20584	-0.08421	0.10582	-0.10033	0
6-aminocaproic_acid	0.04800	131.09463	0	5	1.79000	6	3	8	8	1	22	0	0	-1.80730	3.26633	29.43760	0.48301	63.32000	2	3	320.46909	343.33054	26.58564	139.59620	-149.55464	-37.99669	180.87289	492.88518	64.58233	0.69657	0.74626	0.05779	0.30343	-0.32507	-0.08259	147.43670	157.95446	12.23113	64.22337	-68.80490	-17.48096	0.24161	0.30945	7.77323	16.39159	282.59627	177.46902	0.61425	0.38575	14.50969	21.93231	0.75000	0.94557	1165.95066	1146.49898	92.54836	1.01697	12.59828	12.38811	4.88725	2.47470	2.47470	608.55350	24.66888	8.47422	746.70293	27.32587	9.07227	990.31447	31.46926	9.96761	320.46909	343.33054	26.58564	139.59620	-149.55464	-37.99669	180.87289	492.88518	64.58233	0.69657	0.74626	0.05779	0.30343	-0.32507	-0.08259	147.43670	157.95446	12.23113	64.22337	-68.80490	-17.48096	0.24161	0.30945	7.77323	16.39159	282.59627	177.46902	0.61425	0.38575	0.66736	0.71431	7.39412	0.07605	0.08140	0.39655	0.42045	0.54790	8.77579	10.69293	22.99351	0.38192	1.36491	11.99355	15.99592	-0.36417	0.25888	3.69948	7.07047	0	0	0	0	0	0	0	0	0	0	0	0.48301	32	114	6	4.00000	138.27312	63.32000	0.75000	0.94557	0.42857	0.00000	0.00000	0.00000	0.00000	5.67624	1.91926	0.00000	0.00000	0.00000	0.00000	0.50000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00000	6.12500	8.00000	0.83333	369.03000	0.00000	87	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	1	0	0	1	4	0	0	312.66735	296.88272	277.65986	216.68252	167.64875	10.90892	8.83037	9.60483	6.83037	5.83037	0.22166	-0.10517	-0.00044	-0.00085	0.01480	0
abacavir	1.05400	286.15421	0	4	2.23000	0	11	2	24	0	39	10	9	-1.29610	1.67988	79.11800	0.35603	101.88000	3	6	486.44270	990.47156	40.19956	148.92708	-303.23825	-26.85038	337.51562	1293.70982	67.04994	0.76561	1.55889	0.06327	0.23439	-0.47726	-0.04226	309.07099	629.31570	25.54158	94.62376	-192.66842	-17.05992	0.10301	0.19405	3.80343	2.34866	485.37247	149.99731	0.76392	0.23608	25.61773	44.04427	0.83333	0.93607	3708.71086	3247.69525	791.64474	1.14195	4.68482	4.10247	6.82404	2.48048	2.45808	1881.90232	43.38090	12.34617	2074.06206	45.54187	12.75285	3928.39305	62.67689	15.77872	486.44270	990.47156	40.19956	148.92708	-303.23825	-26.85038	337.51562	1293.70982	67.04994	0.76561	1.55889	0.06327	0.23439	-0.47726	-0.04226	309.07099	629.31570	25.54158	94.62376	-192.66842	-17.05992	0.10301	0.19405	3.80343	2.34866	485.37247	149.99731	0.76392	0.23608	1.06682	2.94463	14.22164	0.05851	0.16150	0.38467	0.32695	0.60231	18.23309	60.19086	123.09977	0.33499	1.31393	11.90000	15.99492	-0.39518	0.20122	4.48087	10.41909	4	2	3	1	1	0	2	1	0	0	0	0.35603	118	910	31	5.58496	241.06290	101.88000	0.83333	0.93607	0.45455	0.00000	0.00000	0.00000	0.00000	5.04105	13.49456	0.00000	6.87464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.33748	0.25000	2.18225	1.41421	0.00000	0	0	0	0	0	0	0	0	3	0	2	1	3	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.58333	5.89388	2.93345	0.50000	1344.07000	0.46154	393	0.28868	0.20412	0.21408	0.53746	0.87572	0.28868	0.14434	0.10743	0.21556	0.24242	0	0	2	3	0	1	5	1	0	1405.88697	1708.21893	2366.63318	2212.20125	2145.92254	23.93435	26.32628	36.15379	35.07067	36.45827	0.45434	-0.33776	0.16357	-0.07889	0.04512	0
abarelix	2.38900	1414.68407	3	48	6.19000	6	10	32	106	1	196	29	28	-3.03950	9.23856	355.06110	0.30041	424.98000	13	27	1253.38865	11769.81173	76.58019	647.04403	-6075.99753	-124.34334	606.34463	17845.80927	200.92353	0.65953	6.19323	0.04030	0.34047	-3.19717	-0.06543	2381.98076	22367.73487	145.53549	1229.66361	-11547.02428	-236.30615	0.02371	0.04195	0.00000	0.82073	1481.75875	418.67393	0.77970	0.22030	125.67066	218.87334	1.00000	0.96383	131995.58407	124694.82270	16004.36781	1.05855	8.24747	7.79130	16.87451	3.15293	3.15293	8208.07015	90.59840	20.17191	9192.31773	95.87658	20.94796	25436.97527	159.48973	29.40956	1253.38865	11769.81173	76.58019	647.04403	-6075.99753	-124.34334	606.34463	17845.80927	200.92353	0.65953	6.19323	0.04030	0.34047	-3.19717	-0.06543	2381.98076	22367.73487	145.53549	1229.66361	-11547.02428	-236.30615	0.02371	0.04195	0.00000	0.82073	1481.75875	418.67393	0.77970	0.22030	3.81509	9.03810	90.38962	0.03695	0.08754	0.35104	0.39159	0.57250	103.24281	1196.27598	4416.25557	0.40663	1.31513	11.85000	34.96886	-0.39421	0.23402	4.40467	11.67176	6	5	5	4	0	0	1	5	0	0	0	0.30041	502	70741	156	7.72792	1348.90956	424.98000	1.00000	0.96383	0.50000	1.53856	15.11760	18.03102	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	7.58916	0.00000	0.00000	0.05882	1.56322	0.41887	4.26387	2.29832	0.08333	0	0	0	0	0	0	7	0	14	0	0	19	12	0	0	12	6	2	0	0	2	0	0	9	0	0	0	0	1	2	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.88964	46.61593	31.00465	0.45833	30301.29000	0.30612	5813	0.00000	0.00000	0.11785	0.55619	0.88164	0.00000	0.00000	0.09129	0.22352	0.28690	0	0	14	19	6	9	22	1	0	6997.30962	8041.22043	10810.08204	11739.67951	12436.71654	124.59524	117.25415	166.84137	181.71563	193.28338	2.51919	-1.12415	-0.19455	0.94420	-1.64060	0
abiraterone	5.53700	349.24056	1	1	3.88000	0	8	0	30	0	57	6	6	1.00660	1.01324	105.48390	0.09483	33.12000	1	2	480.95951	697.93495	22.03203	113.28258	-164.38780	-22.21031	367.67693	862.32275	44.24234	0.80937	1.17450	0.03708	0.19063	-0.27663	-0.03738	285.80639	414.74233	13.09236	67.31728	-97.68615	-13.19830	0.14481	0.27024	2.35771	8.51951	519.83862	74.40348	0.87479	0.12521	35.20942	64.81258	0.85714	0.81193	5718.29898	5407.38324	954.34086	1.05750	5.99188	5.66609	7.45677	2.52816	2.52816	2009.64805	44.82910	12.61944	2320.99976	48.17676	13.24011	4607.61656	67.87943	16.64021	480.95951	697.93495	22.03203	113.28258	-164.38780	-22.21031	367.67693	862.32275	44.24234	0.80937	1.17450	0.03708	0.19063	-0.27663	-0.03738	285.80639	414.74233	13.09236	67.31728	-97.68615	-13.19830	0.14481	0.27024	2.35771	8.51951	519.83862	74.40348	0.87479	0.12521	1.59348	2.70735	13.37754	0.09014	0.15314	0.39344	0.47039	0.47833	17.67837	61.84852	137.23880	0.31754	1.34216	11.85000	15.99492	-0.39222	0.16695	5.23954	12.79286	5	1	2	1	0	0	1	4	0	0	0	0.09483	154	1524	53	5.90689	357.58249	33.12000	0.85714	0.81193	0.46154	0.16667	5.85470	3.91590	1.78885	17.93667	26.18357	7.86598	6.49646	5.80206	0.25000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	2	0	7	0	2	4	4	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.05556	6.51879	2.70367	0.62500	3071.02000	0.40351	567	0.00000	0.00000	0.08333	0.49570	1.02088	0.00000	0.00000	0.05893	0.32209	0.70953	0	0	2	4	3	2	8	3	2	2472.86091	3099.04380	4894.62203	5287.54045	4498.97925	27.13445	30.66446	47.99655	53.99655	47.99655	0.16456	-0.06745	-0.02882	0.01535	0.01092	1
acamprosate	-1.04400	181.04088	0	5	1.35000	3	4	8	10	0	22	0	0	-1.43120	2.04833	36.12130	0.50734	91.85000	2	5	407.81623	508.93641	32.90830	195.58095	-244.07627	-47.84235	212.23528	753.01268	80.75065	0.67587	0.84345	0.05454	0.32413	-0.40450	-0.07929	246.07516	307.09079	19.85678	118.01299	-147.27493	-28.86794	0.21221	0.22872	7.14667	12.75402	433.22339	170.17379	0.71797	0.28203	20.11928	23.34272	0.75000	0.61167	1199.87779	1136.13920	244.85031	1.05610	4.90045	4.64014	4.90693	1.68059	1.68059	1221.90969	34.95582	10.69087	1338.59540	36.58682	11.02088	2040.76457	45.17482	12.68424	407.81623	508.93641	32.90830	195.58095	-244.07627	-47.84235	212.23528	753.01268	80.75065	0.67587	0.84345	0.05454	0.32413	-0.40450	-0.07929	246.07516	307.09079	19.85678	118.01299	-147.27493	-28.86794	0.21221	0.22872	7.14667	12.75402	433.22339	170.17379	0.71797	0.28203	0.88616	1.59523	5.39512	0.11251	0.20253	0.45864	0.48145	0.52380	7.87651	14.80103	30.30423	0.26372	1.46388	11.89000	31.97207	-0.28571	0.26495	4.07827	9.03841	0	0	0	0	0	0	0	0	0	0	0	0.50734	46	190	8	4.32193	157.06661	91.85000	0.75000	0.61167	0.42857	0.00000	0.76631	1.00000	0.00000	2.38110	1.04004	0.00000	0.00000	0.00000	0.00000	1.60357	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.00000	4.79290	10.00000	0.80000	331.06000	0.00000	113	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	1	0	0	3	1	0	0	521.23536	517.68379	610.35330	400.21221	331.96776	20.58561	20.00344	19.20739	11.16434	10.44182	0.37673	-0.18246	0.04497	-0.02356	-0.06791	1
acarbose	-5.53000	645.24801	2	9	2.12000	0	2	2	47	1	87	0	0	-7.22630	52.21941	137.76800	0.49775	321.17000	14	19	678.53938	4844.81455	89.63677	307.38382	-2194.74016	-114.45151	371.15555	7039.55471	204.08827	0.68823	4.91399	0.09092	0.31177	-2.22608	-0.11609	668.98771	4776.61506	88.37497	303.05684	-2163.84524	-112.84040	0.02983	0.05504	1.32265	0.93733	380.65834	605.26486	0.38609	0.61391	57.24790	88.20810	1.00000	0.90322	23023.81927	22009.99918	2466.59992	1.04606	9.33423	8.92321	10.24250	3.06597	3.06597	3716.33080	60.96172	15.48953	4219.62653	64.95865	16.15938	10585.67313	102.88670	21.95699	678.53938	4844.81455	89.63677	307.38382	-2194.74016	-114.45151	371.15555	7039.55471	204.08827	0.68823	4.91399	0.09092	0.31177	-2.22608	-0.11609	668.98771	4776.61506	88.37497	303.05684	-2163.84524	-112.84040	0.02983	0.05504	1.32265	0.93733	380.65834	605.26486	0.38609	0.61391	1.64925	3.39970	33.32929	0.04297	0.08858	0.35908	0.47090	0.56327	38.37824	173.88503	399.13946	0.40133	1.39324	11.99613	16.01230	-0.41786	0.18999	4.44787	10.43751	4	0	4	0	0	0	0	4	0	0	0	0.49775	234	7413	86	6.55459	558.11462	321.17000	1.00000	0.90322	0.50000	0.00000	0.54322	3.62304	0.00000	0.69105	12.90001	0.00000	35.40243	0.00000	0.00000	8.51040	9.57652	2.29013	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	1	0	3	0	1	0	19	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.82933	15.48000	7.53061	0.92000	6208.19000	0.31034	1435	0.00000	0.00000	0.00000	0.18144	0.78765	0.00000	0.00000	0.00000	0.11064	0.28282	0	0	0	1	1	7	16	0	0	2685.12216	3223.52749	4683.47423	5277.94802	4717.15019	58.30042	54.97048	85.27554	113.11431	101.18650	2.17677	-0.66025	-0.87783	0.51555	-0.16950	1
acebutolol	1.71500	336.20491	0	11	2.78000	4	12	7	24	1	52	6	6	-0.13750	0.01891	91.17660	0.26073	87.66000	3	5	566.43076	1223.91439	32.43074	172.97078	-373.74635	-36.57499	393.45998	1597.66074	69.00573	0.76607	1.65528	0.04386	0.23393	-0.50547	-0.04947	418.81978	904.96418	23.97934	127.89486	-276.34863	-27.04360	0.09740	0.18008	2.28193	4.45148	589.67331	149.72823	0.79750	0.20250	35.76180	55.75820	0.87500	0.80961	6875.58791	5974.45758	1368.05259	1.15083	5.02582	4.36713	8.46129	2.33932	2.33932	1847.59244	42.98363	12.27068	2133.40117	46.18876	12.87333	4033.00285	63.50593	15.91755	566.43076	1223.91439	32.43074	172.97078	-373.74635	-36.57499	393.45998	1597.66074	69.00573	0.76607	1.65528	0.04386	0.23393	-0.50547	-0.04947	418.81978	904.96418	23.97934	127.89486	-276.34863	-27.04360	0.09740	0.18008	2.28193	4.45148	589.67331	149.72823	0.79750	0.20250	0.87966	4.49421	22.07269	0.03205	0.16374	0.47941	0.41920	0.52926	27.44656	122.56922	237.27768	0.35315	1.42787	11.85000	15.99794	-0.38920	0.20415	4.75506	9.76616	1	1	1	1	0	0	0	1	0	0	0	0.26073	110	1568	31	5.58496	340.59986	87.66000	0.87500	0.80961	0.46667	0.69755	4.45690	5.11490	0.00000	5.05215	13.63204	0.00000	5.44191	0.00000	0.00000	0.38053	0.68501	0.00000	0.00000	0.00000	0.00000	0.11111	0.00000	0.00000	0	0	0	0	0	0	4	0	4	0	0	3	2	0	0	2	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.04167	11.58377	8.79239	0.55556	2152.06000	0.11538	522	0.00000	0.00000	0.00000	0.06804	0.13551	0.00000	0.00000	0.00000	0.02406	0.03388	0	0	1	6	1	6	4	0	0	1321.90900	1451.68260	1838.99316	1841.63546	1724.82846	27.81784	26.32519	35.20729	35.64939	35.81530	0.59362	-0.21254	-0.15408	0.00311	0.13455	1
aceclofenac	3.60800	353.02216	0	7	2.45000	2	13	6	24	0	36	12	12	4.56480	20.83740	86.01470	0.21424	75.63000	2	5	304.47256	623.25226	25.93057	266.80206	-546.14114	-43.93632	37.67049	1169.39340	69.86689	0.53297	1.09099	0.04539	0.46703	-0.95600	-0.07691	173.93744	356.04820	14.81348	152.41725	-311.99657	-25.09970	0.13952	0.16107	0.60549	3.92206	431.03577	140.23885	0.75452	0.24548	19.54369	45.49631	1.00000	0.66882	3529.59951	2479.58663	1900.03558	1.42346	1.85765	1.30502	6.74057	1.10382	1.10382	2038.13612	45.14572	12.67879	2177.18644	46.66033	12.96080	5192.06442	72.05598	17.31596	304.47256	623.25226	25.93057	266.80206	-546.14114	-43.93632	37.67049	1169.39340	69.86689	0.53297	1.09099	0.04539	0.46703	-0.95600	-0.07691	173.93744	356.04820	14.81348	152.41725	-311.99657	-25.09970	0.13952	0.16107	0.60549	3.92206	431.03577	140.23885	0.75452	0.24548	1.75606	5.69912	5.93771	0.13112	0.42553	0.41123	0.45178	0.44523	13.39289	54.27474	127.09235	0.08251	1.30824	11.85000	34.96985	-0.32984	0.28572	3.58982	11.16059	2	2	2	2	0	0	0	2	0	0	0	0.21424	112	1278	32	5.58496	294.26743	75.63000	1.00000	0.66882	0.50000	0.00000	0.00000	0.00000	0.00000	8.98680	17.30585	0.00000	6.26121	0.00000	0.00000	0.81433	1.14471	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.32639	9.47461	6.09418	0.12500	863.07000	0.36111	438	0.00000	0.00000	0.00000	0.15137	0.30205	0.00000	0.00000	0.00000	0.05183	0.10011	0	0	2	11	1	1	1	0	0	1471.14419	1682.51993	2240.46528	2250.30705	1931.63950	41.88376	29.89637	43.68121	48.06781	47.34322	0.60000	-0.26986	-0.12068	0.19417	-0.21541	0
acemetacin	3.12100	415.08226	0	8	2.89000	2	18	6	31	0	47	16	15	4.61130	21.26409	105.80910	0.22846	94.83000	1	5	429.76038	1032.98488	35.70706	338.12682	-812.73171	-65.58531	91.63357	1845.71659	101.29237	0.55967	1.34523	0.04650	0.44033	-1.05840	-0.08541	330.00750	793.21587	27.41899	259.64326	-624.08628	-50.36212	0.11881	0.14504	3.81877	2.84606	530.72132	237.16588	0.69114	0.30886	28.78373	57.05427	1.00000	0.64175	7003.86923	6455.35690	2706.27095	1.08497	2.58801	2.38533	8.66944	1.41164	1.41164	2599.68839	50.98714	13.75014	2784.36147	52.76705	14.06831	6114.19745	78.19333	18.28577	429.76038	1032.98488	35.70706	338.12682	-812.73171	-65.58531	91.63357	1845.71659	101.29237	0.55967	1.34523	0.04650	0.44033	-1.05840	-0.08541	330.00750	793.21587	27.41899	259.64326	-624.08628	-50.36212	0.11881	0.14504	3.81877	2.84606	530.72132	237.16588	0.69114	0.30886	2.55593	5.98268	10.61482	0.13345	0.31236	0.45147	0.30197	0.43909	19.15343	105.92713	287.39509	0.16565	1.19253	11.85000	34.96885	-0.34879	0.28579	3.60290	11.40011	3	3	2	2	0	0	1	2	0	0	0	0.22846	150	2238	47	5.95420	354.58736	94.83000	1.00000	0.64175	0.50000	0.14286	3.27974	4.45711	0.00000	7.89698	23.86596	0.00000	12.12003	0.00000	0.00000	1.04908	1.51102	0.14286	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	2	0	2	0	0	7	0	0	0	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.65869	10.54339	5.62663	0.19048	1589.08000	0.34043	629	0.00000	0.00000	0.06415	0.38864	0.74891	0.00000	0.00000	0.02795	0.14580	0.24213	0	0	3	11	3	2	1	0	0	1944.25624	2322.12175	3373.43755	3534.09551	3288.13645	41.71974	36.10705	53.49359	56.27222	53.59788	0.85757	-0.44477	-0.04046	0.18455	-0.17741	1
