comparing_sets	compound_name	max_tc	mean_tc
all vs all	fluconazole	0.86000	0.31061
all vs all	calcifediol	0.92683	0.30636
all vs all	enoxacin	0.95385	0.38847
all vs all	digoxin	0.98039	0.34584
all vs all	potassium_chloride	1.00000	0.04819
all vs all	lithium_citrate	1.00000	0.20437
all vs all	nintedanib	0.79747	0.41241
all vs all	topotecan	0.79268	0.40489
all vs all	inosine_pranobex	0.78205	0.40479
all vs all	arginine	0.81250	0.25028
all vs all	bosutinib	0.83333	0.39034
all vs all	atazanavir	0.73611	0.37716
all vs all	dicyclomine	0.85000	0.31694
all vs all	urapidil	0.81690	0.39161
all vs all	pristinamycin	0.87654	0.43494
all vs all	venlafaxine	0.93023	0.34482
all vs all	ferric_hydroxide	0.81818	0.10646
all vs all	6-aminocaproic_acid	0.82759	0.25452
all vs all	levocetirizine	1.00000	0.36160
all vs all	lovastatin	0.93182	0.32060
all vs all	sevelamer	0.40541	0.19425
all vs all	terazosin	0.95588	0.39856
all vs all	alprenolol	0.81395	0.33002
all vs all	oxacillin	0.93939	0.34266
all vs all	fluprednidene	0.96000	0.32652
all vs all	treprostinil	0.79070	0.34924
all vs all	vigabatrin	0.65385	0.22288
all vs all	sertindole	0.87931	0.35164
all vs all	dexamethasone	0.86792	0.34726
all vs all	doripenem	0.73171	0.34065
all vs all	canrenoate	1.00000	0.33028
all vs all	norfloxacin	0.95385	0.39190
all vs all	nizatidine	0.53608	0.28729
all vs all	calcium_acetate	0.78947	0.15507
all vs all	diphenidol	0.94444	0.32515
all vs all	gonadorelin	0.94805	0.40545
all vs all	clonazepam	0.91228	0.30677
all vs all	ambenonium	0.66154	0.34688
all vs all	magnesium_hydroxide	0.72727	0.09639
all vs all	fleroxacin	0.96721	0.38385
all vs all	miglitol	0.90000	0.36293
all vs all	moxifloxacin	0.85526	0.40204
all vs all	celecoxib	0.79104	0.25854
all vs all	pyrimethamine	0.78571	0.25737
all vs all	thiamphenicol	0.69118	0.29441
all vs all	calcium_gluconate	1.00000	0.22586
all vs all	chloroxine	0.96429	0.25600
all vs all	meclofenamate	0.69444	0.26720
all vs all	calcium_carbonate	1.00000	0.12237
all vs all	glycerin	0.90909	0.19950
all vs all	loxoprofen	0.63889	0.28209
all vs all	mebeverine	0.78846	0.37836
all vs all	penbutolol	0.83673	0.34795
all vs all	conivaptan	0.69492	0.34541
all vs all	chlormadinone	0.95455	0.30656
all vs all	clozapine	0.88235	0.29851
all vs all	nabilone	0.77273	0.32021
all vs all	mometasone	0.97826	0.32973
all vs all	diphenoxylate	0.83721	0.32947
all vs all	promethazine	0.88372	0.28814
all vs all	citrulline	0.78378	0.27352
all vs all	pipemidate	0.91045	0.38997
all vs all	teriflunomide	0.56818	0.26745
all vs all	iothalamate	1.00000	0.29072
all vs all	glipizide	0.77333	0.31826
all vs all	lamotrigine	0.78947	0.22966
all vs all	isocarboxazid	0.58929	0.29527
all vs all	dronedarone	0.82895	0.36702
all vs all	nicergoline	0.74648	0.39439
all vs all	sodium_fluoride	0.75000	0.04581
all vs all	ioxaglate	0.73016	0.35545
all vs all	eflornithine	0.83871	0.26391
all vs all	dexchlorpheniramine	0.94118	0.28253
all vs all	megestrol	1.00000	0.30083
all vs all	levocabastine	0.75510	0.35000
all vs all	mitotane	0.66667	0.12918
all vs all	ethambutol	0.68293	0.28170
all vs all	esmolol	0.91111	0.35533
all vs all	ceftizoxime	0.92000	0.33767
all vs all	gemeprost	0.97500	0.31629
all vs all	bromhexine	0.64706	0.28959
all vs all	vitamin_d	1.00000	0.27906
all vs all	piretanide	0.77215	0.34305
all vs all	selenite	0.83333	0.10319
all vs all	tolvaptan	0.73016	0.39041
all vs all	sufentanil	0.75410	0.36720
all vs all	tiagabine	0.72000	0.34320
all vs all	coumarin	0.76923	0.22828
all vs all	tacrine	0.62963	0.24461
all vs all	erlotinib	0.74194	0.36090
all vs all	diosmin	0.93182	0.33159
all vs all	tolterodine	0.78049	0.32379
all vs all	allylestrenol	0.91429	0.27267
all vs all	methanol	0.78571	0.18496
all vs all	tacalcitol	1.00000	0.31024
all vs all	trifluridine	0.92308	0.36799
all vs all	zuclopenthixol	0.90566	0.32061
all vs all	rizatriptan	0.66667	0.30157
all vs all	phentolamine	0.69643	0.35442
all vs all	cholecalciferol	1.00000	0.27906
all vs all	risperidone	0.88889	0.34597
all vs all	dexketoprofen	1.00000	0.22288
all vs all	simvastatin	0.93182	0.32690
all vs all	alprazolam	0.97674	0.26063
all vs all	vitamin_d3	0.92683	0.30945
all vs all	ebastine	0.78261	0.36064
all vs all	irinotecan	0.79268	0.40957
all vs all	calcium_chloride	1.00000	0.04759
all vs all	etidronate	0.80769	0.17256
all vs all	encainide	0.75926	0.39385
all vs all	pemirolast	0.63934	0.27202
all vs all	eltrombopag	0.71186	0.35207
all vs all	cloxacillin	1.00000	0.34004
all vs all	methoxsalen	0.69697	0.27646
all vs all	piperazine	0.68571	0.23499
all vs all	lincomycin	0.95385	0.39153
all vs all	eprazinone	0.73469	0.35687
all vs all	benserazide	0.69643	0.33493
all vs all	mycophenolic_acid	0.88235	0.35197
all vs all	imiquimod	0.65306	0.28854
all vs all	salsalate	0.87500	0.26559
all vs all	amphotericin_b	1.00000	0.36480
all vs all	alfuzosin	0.81818	0.41749
all vs all	zolmitriptan	0.65672	0.37254
all vs all	vitamin_b6	1.00000	0.32456
all vs all	disulfiram	0.51515	0.18346
all vs all	cimetidine	0.58824	0.27695
all vs all	methotrexate	0.81667	0.37974
all vs all	carnitine	1.00000	0.27405
all vs all	glutathione	0.78947	0.29641
all vs all	moexipril	0.88333	0.42286
all vs all	sofosbuvir	0.71429	0.37034
all vs all	iloperidone	0.74286	0.38483
all vs all	fondaparinux	0.82192	0.32774
all vs all	talc	0.61905	0.11267
all vs all	nabumetone	0.70370	0.26690
all vs all	procaterol	0.75472	0.35228
all vs all	amcinonide	0.94444	0.33769
all vs all	vilazodone	0.77778	0.35667
all vs all	tenofovir_disoproxil	0.78571	0.35429
all vs all	carbidopa	0.80000	0.32295
all vs all	hyaluronate	0.76271	0.35806
all vs all	citicoline	0.74468	0.36944
all vs all	moxalactam	0.91566	0.36566
all vs all	timolol	0.72043	0.38533
all vs all	zoledronic_acid	0.67347	0.29796
all vs all	ambrisentan	0.61905	0.31870
all vs all	zanamivir	0.68750	0.32893
all vs all	dasatinib	0.70130	0.38174
all vs all	enzalutamide	0.63934	0.31911
all vs all	dipivefrin	0.80000	0.34843
all vs all	exenatide	0.92593	0.40874
all vs all	prednisone	1.00000	0.33868
all vs all	erdosteine	0.69767	0.32884
all vs all	linaclotide	0.88732	0.41333
all vs all	tixocortol	0.84783	0.33260
all vs all	mitomycin	0.75641	0.38144
all vs all	nitrazepam	0.91228	0.30104
all vs all	fosfomycin	0.67742	0.19761
all vs all	dexbrompheniramine	1.00000	0.27927
