index1	index2	feature_jaccard_similarity
O00408_pIC50	O00519_pIC50	0.045454545454545456
O00408_pIC50	O14672_pIC50	0.0
O00408_pIC50	O14684_pIC50	0.02702702702702703
O00408_pIC50	O14746_pEC50	0.1
O00408_pIC50	O14757_pKi	0.1
O00408_pIC50	O14920_pIC50	0.037037037037037035
O00408_pIC50	O14939_pIC50	0.0
O00408_pIC50	O14965_pIC50	0.0425531914893617
O00408_pIC50	O15379_pIC50	0.058823529411764705
O00408_pIC50	O15530_pIC50	0.0
O00408_pIC50	O43353_pIC50	0.0
O00408_pIC50	O43570_pKi	0.01818181818181818
O00408_pIC50	O43613_pEC50	0.0
O00408_pIC50	O43614_pEC50	0.0
O00408_pIC50	O60218_pIC50	0.0
O00408_pIC50	O60341_pIC50	0.1111111111111111
O00408_pIC50	O60674_pIC50	0.016129032258064516
O00408_pIC50	O60725_pIC50	0.05263157894736842
O00408_pIC50	O75116_pIC50	0.046511627906976744
O00408_pIC50	O75173_pIC50	0.034482758620689655
O00408_pIC50	O75469_pEC50	0.05263157894736842
O00408_pIC50	O75908_pIC50	0.0
O00408_pIC50	O76074_pIC50	0.0392156862745098
O00408_pIC50	O94925_pIC50	0.024390243902439025
O00408_pIC50	O95399_pEC50	0.0
O00408_pIC50	O95822_pIC50	0.04
O00408_pIC50	O96017_pIC50	0.05555555555555555
O00408_pIC50	P00374_pKi	0.0
O00408_pIC50	P00519_pKi	0.07692307692307693
O00408_pIC50	P00533_pIC50	0.02666666666666667
O00408_pIC50	P00734_pKi	0.037037037037037035
O00408_pIC50	P00740_pKi	0.0
O00408_pIC50	P00742_pKi	0.013513513513513514
O00408_pIC50	P00747_pIC50	0.0
O00408_pIC50	P00748_pKi	0.0
O00408_pIC50	P00749_pIC50	0.08333333333333333
O00408_pIC50	P00750_pKi	0.0
O00408_pIC50	P00797_pKi	0.0
O00408_pIC50	P00915_pKi	0.015873015873015872
O00408_pIC50	P00918_pIC50	0.0
O00408_pIC50	P01375_pIC50	0.0
O00408_pIC50	P03372_pIC50	0.012658227848101266
O00408_pIC50	P03951_pIC50	0.03333333333333333
O00408_pIC50	P03952_pKi	0.125
O00408_pIC50	P03956_pKi	0.0
O00408_pIC50	P04035_pIC50	0.11764705882352941
O00408_pIC50	P04054_pIC50	0.14285714285714285
O00408_pIC50	P04150_pKi	0.043478260869565216
O00408_pIC50	P04626_pIC50	0.07407407407407407
O00408_pIC50	P04818_pKi	0.0
O00408_pIC50	P05067_pIC50	0.125
O00408_pIC50	P05129_pIC50	0.0
O00408_pIC50	P05186_pIC50	0.0
O00408_pIC50	P05412_pIC50	0.0
O00408_pIC50	P06213_pIC50	0.043478260869565216
O00408_pIC50	P06239_pIC50	0.046511627906976744
O00408_pIC50	P06401_pKi	0.025
O00408_pIC50	P06493_pIC50	0.01818181818181818
O00408_pIC50	P07099_pIC50	0.0
O00408_pIC50	P07339_pKi	0.0
O00408_pIC50	P07384_pIC50	0.0
O00408_pIC50	P07477_pKi	0.05
O00408_pIC50	P07550_pIC50	0.06896551724137931
O00408_pIC50	P07711_pKi	0.020833333333333332
O00408_pIC50	P07858_pIC50	0.0
O00408_pIC50	P07900_pKd	0.0
O00408_pIC50	P07949_pIC50	0.03636363636363636
O00408_pIC50	P08069_pIC50	0.021052631578947368
O00408_pIC50	P08172_pKi	0.011494252873563218
O00408_pIC50	P08183_pEC50	0.0
O00408_pIC50	P08238_pIC50	0.041666666666666664
O00408_pIC50	P08246_pKi	0.03278688524590164
O00408_pIC50	P08253_pIC50	0.03389830508474576
O00408_pIC50	P08254_pIC50	0.02666666666666667
O00408_pIC50	P08311_pIC50	0.05555555555555555
O00408_pIC50	P08473_pIC50	0.10526315789473684
O00408_pIC50	P08514_pIC50	0.0
O00408_pIC50	P08581_pIC50	0.03278688524590164
O00408_pIC50	P08588_pIC50	0.058823529411764705
O00408_pIC50	P08684_pKi	0.0
O00408_pIC50	P08709_pKi	0.0196078431372549
O00408_pIC50	P08842_pIC50	0.0
O00408_pIC50	P08908_pEC50	0.038461538461538464
O00408_pIC50	P08912_pKi	0.0
O00408_pIC50	P08913_pKi	0.029411764705882353
O00408_pIC50	P09237_pIC50	0.06666666666666667
O00408_pIC50	P09467_pIC50	0.030303030303030304
O00408_pIC50	P09619_pIC50	0.02857142857142857
O00408_pIC50	P09871_pKi	0.0
O00408_pIC50	P09874_pIC50	0.0
O00408_pIC50	P09917_pIC50	0.015625
O00408_pIC50	P09958_pKi	0.0
O00408_pIC50	P0DMS8_pIC50	0.0
O00408_pIC50	P10275_pEC50	0.07142857142857142
O00408_pIC50	P10415_pEC50	0.0
O00408_pIC50	P10721_pIC50	0.017543859649122806
O00408_pIC50	P10826_pKi	0.0
O00408_pIC50	P10827_pIC50	0.0
O00408_pIC50	P10828_pIC50	0.0
O00408_pIC50	P11086_pKi	0.0
O00408_pIC50	P11229_pEC50	0.041666666666666664
O00408_pIC50	P11309_pKi	0.09090909090909091
O00408_pIC50	P11387_pEC50	0.0
O00408_pIC50	P11473_pIC50	0.0
O00408_pIC50	P11597_pIC50	0.0
O00408_pIC50	P11712_pIC50	0.0
O00408_pIC50	P11802_pIC50	0.0625
O00408_pIC50	P12821_pIC50	0.0
O00408_pIC50	P12931_pIC50	0.06451612903225806
O00408_pIC50	P13497_pIC50	0.0
O00408_pIC50	P13612_pIC50	0.023809523809523808
O00408_pIC50	P13631_pKi	0.0
O00408_pIC50	P13726_pIC50	0.0
O00408_pIC50	P13866_pIC50	0.0
O00408_pIC50	P13945_pEC50	0.03125
O00408_pIC50	P14324_pIC50	0.0
O00408_pIC50	P14416_pIC50	0.024390243902439025
O00408_pIC50	P14555_pIC50	0.0
O00408_pIC50	P14780_pIC50	0.043478260869565216
O00408_pIC50	P14867_pEC50	0.25
O00408_pIC50	P14902_pIC50	0.034482758620689655
O00408_pIC50	P14920_pIC50	0.14285714285714285
O00408_pIC50	P15056_pIC50	0.023255813953488372
O00408_pIC50	P15121_pIC50	0.0
O00408_pIC50	P15144_pIC50	0.0
O00408_pIC50	P15538_pIC50	0.045454545454545456
O00408_pIC50	P16109_pIC50	0.043478260869565216
O00408_pIC50	P16455_pIC50	0.0
O00408_pIC50	P16581_pIC50	0.16666666666666666
O00408_pIC50	P17252_pKi	0.0
O00408_pIC50	P17612_pIC50	0.08333333333333333
O00408_pIC50	P17706_pIC50	0.0
O00408_pIC50	P18031_pKi	0.0
O00408_pIC50	P18084_pIC50	0.0
O00408_pIC50	P18405_pIC50	0.0
O00408_pIC50	P19320_pIC50	0.25
O00408_pIC50	P19438_pIC50	0.14285714285714285
O00408_pIC50	P19634_pIC50	0.06451612903225806
O00408_pIC50	P19793_pIC50	0.0
O00408_pIC50	P20292_pIC50	0.0
O00408_pIC50	P20309_pKi	0.016129032258064516
O00408_pIC50	P20648_pIC50	0.05555555555555555
O00408_pIC50	P20701_pIC50	0.043478260869565216
O00408_pIC50	P20839_pKi	0.0
O00408_pIC50	P21397_pKi	0.05
O00408_pIC50	P21452_pKi	0.0
O00408_pIC50	P21453_pEC50	0.016129032258064516
O00408_pIC50	P21462_pIC50	0.0
O00408_pIC50	P21554_pIC50	0.021739130434782608
O00408_pIC50	P21728_pKi	0.05263157894736842
O00408_pIC50	P21731_pKd	0.06666666666666667
O00408_pIC50	P21918_pKi	0.0
O00408_pIC50	P22303_pKi	0.0
O00408_pIC50	P22460_pIC50	0.015625
O00408_pIC50	P22748_pKi	0.0
O00408_pIC50	P22894_pKi	0.0
O00408_pIC50	P23280_pKi	0.0
O00408_pIC50	P23443_pIC50	0.058823529411764705
O00408_pIC50	P23458_pKi	0.3333333333333333
