target_measurement	structure_features
O00329_pIC50	FP21,FP24,FP25,FP26,FP32,FP33,FP36,FP37,FP38,FP41,FP42,FP45,FP47,FP49,FP52,FP53,FP57,FP59,FP62,FP64,FP65,FP70,FP73,FP74,FP75,FP76,FP78,FP79,FP80,FP81,FP82,FP83,FP84,FP85,FP87,FP88,FP89,FP93,FP94,FP95,FP96,FP97,FP98,FP99,FP100,FP105,FP106,FP107,FP108,FP109,FP111,FP112,FP113,FP114,FP116,FP119,FP124,FP125,FP127,FP128,FP130,FP131,FP132,FP134,FP135,FP139,FP140,FP143,FP144,FP145,FP149,FP150,FP151,FP152,FP153,FP154,FP155,FP157,FP160
O00408_pIC50	FP8,FP11,FP22,FP25,FP37,FP38,FP51,FP52,FP55,FP58,FP61,FP62,FP67,FP69,FP73,FP74,FP75,FP78,FP80,FP82,FP83,FP85,FP86,FP89,FP92,FP94,FP95,FP96,FP97,FP100,FP102,FP105,FP106,FP107,FP113,FP114,FP115,FP116,FP117,FP119,FP122,FP125,FP126,FP127,FP129,FP130,FP132,FP133,FP134,FP135,FP136,FP139,FP140,FP141,FP143,FP149,FP150,FP151,FP154,FP155,FP157,FP158,FP160
O00444_pIC50	FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP20,FP21,FP23,FP24,FP25,FP26,FP29,FP30,FP31,FP32,FP34,FP35,FP36,FP39,FP40,FP41,FP43,FP44,FP47,FP48,FP49,FP51,FP52,FP55,FP56,FP58,FP59,FP60,FP61,FP64,FP67,FP68,FP69,FP73,FP78,FP80,FP84,FP88,FP98,FP101,FP105,FP106,FP120,FP125,FP127,FP137,FP143,FP145,FP154,FP162,FP163,FP164,FP165,FP166
O00519_pIC50	FP8,FP11,FP23,FP24,FP25,FP36,FP37,FP38,FP41,FP42,FP47,FP49,FP52,FP54,FP56,FP57,FP59,FP62,FP63,FP64,FP65,FP66,FP71,FP72,FP73,FP77,FP78,FP79,FP80,FP81,FP82,FP83,FP86,FP88,FP89,FP90,FP91,FP92,FP93,FP95,FP96,FP97,FP98,FP99,FP102,FP103,FP104,FP105,FP106,FP108,FP109,FP110,FP113,FP116,FP117,FP118,FP119,FP120,FP123,FP125,FP126,FP127,FP128,FP129,FP132,FP133,FP135,FP136,FP139,FP140,FP142,FP143,FP144,FP145,FP146,FP147,FP150,FP151,FP152,FP153,FP154,FP155,FP157,FP158,FP159,FP162,FP163
O14672_pIC50	FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP29,FP30,FP31,FP34,FP35,FP37,FP39,FP40,FP41,FP43,FP44,FP45,FP46,FP48,FP49,FP50,FP53,FP54,FP56,FP63,FP68,FP70,FP71,FP84,FP101,FP125,FP137,FP139,FP145,FP156,FP158,FP161,FP163,FP164,FP165,FP166
O14684_pIC50	FP17,FP22,FP25,FP32,FP33,FP37,FP38,FP41,FP42,FP46,FP47,FP50,FP51,FP52,FP53,FP55,FP57,FP58,FP59,FP60,FP61,FP62,FP64,FP65,FP66,FP67,FP69,FP73,FP74,FP75,FP76,FP77,FP79,FP80,FP81,FP82,FP83,FP85,FP86,FP87,FP88,FP92,FP93,FP94,FP95,FP96,FP97,FP98,FP99,FP102,FP103,FP104,FP105,FP106,FP110,FP111,FP112,FP115,FP117,FP118,FP120,FP121,FP123,FP124,FP125,FP126,FP127,FP130,FP131,FP133,FP135,FP136,FP137,FP139,FP140,FP142,FP143,FP144,FP145,FP146,FP148,FP150,FP151,FP152,FP154,FP157,FP159,FP164
O14757_pKi	FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP9,FP12,FP13,FP16,FP18,FP20,FP21,FP28,FP29,FP30,FP31,FP35,FP37,FP39,FP40,FP41,FP42,FP43,FP44,FP48,FP50,FP58,FP64,FP65,FP74,FP76,FP80,FP89,FP90,FP92,FP98,FP99,FP101,FP105,FP121,FP125,FP132,FP133,FP137,FP142,FP144,FP145,FP146,FP149,FP151,FP156,FP157,FP158,FP159,FP161,FP162,FP165,FP166
O14842_pIC50	FP1,FP2,FP38,FP39,FP40,FP44,FP48,FP50,FP52,FP53,FP54,FP66,FP68,FP74,FP78,FP80,FP85,FP86,FP90,FP91,FP93,FP94,FP101,FP102,FP104,FP124,FP128,FP130,FP133,FP135,FP141,FP159
O14920_pIC50	FP11,FP22,FP25,FP37,FP38,FP41,FP42,FP43,FP52,FP53,FP57,FP62,FP65,FP72,FP74,FP75,FP76,FP77,FP79,FP80,FP81,FP82,FP83,FP84,FP85,FP86,FP87,FP88,FP89,FP90,FP91,FP93,FP94,FP95,FP97,FP99,FP100,FP103,FP104,FP105,FP106,FP107,FP109,FP111,FP113,FP116,FP118,FP120,FP122,FP123,FP125,FP127,FP129,FP130,FP131,FP132,FP134,FP136,FP138,FP139,FP140,FP143,FP144,FP146,FP148,FP149,FP150,FP152,FP154,FP155,FP159,FP160
O14965_pIC50	FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32,FP33,FP34,FP35,FP38,FP39,FP40,FP41,FP42,FP44,FP45,FP46,FP47,FP48,FP49,FP51,FP52,FP53,FP54,FP55,FP56,FP58,FP59,FP60,FP61,FP62,FP63,FP64,FP66,FP67,FP68,FP70,FP72,FP73,FP75,FP77,FP79,FP80,FP81,FP82,FP83,FP84,FP87,FP88,FP89,FP90,FP91,FP92,FP94,FP95,FP96,FP97,FP98,FP100,FP102,FP103,FP104,FP105,FP106,FP107,FP110,FP111,FP112,FP117,FP118,FP120,FP121,FP122,FP123,FP124,FP125,FP128,FP129,FP130,FP131,FP132,FP133,FP134,FP135,FP136,FP137,FP139,FP140,FP142,FP144,FP145,FP146,FP147,FP148,FP149,FP150,FP151,FP152,FP154,FP155,FP156,FP157,FP159,FP160,FP161,FP162,FP163,FP164,FP165,FP166
